cluster_lat,cluster_lon,geometry,latitude,longitude,rwi,error,closest_rwi_geom,distance
3.45570056699,39.5159939261,POINT (39.5159939261 3.45570056699),3.4366581,39.5178223,-0.634,0.36,POINT (39.5178223 3.4366581),1646.063649036244
3.54993726091,39.1842340255,POINT (39.1842340255 3.54993726091),3.5463174,39.1662598,-0.536,0.383,POINT (39.1662598 3.5463174),2022.8537077043784
3.8642429801,39.1013658071,POINT (39.1013658071 3.8642429801),3.8532931,39.0563965,-0.318,0.356,POINT (39.0563965 3.8532931),5088.90392720332
3.98293116381,38.4913678893,POINT (38.4913678893 3.98293116381),3.9629009,38.4851074,-0.21,0.364,POINT (38.4851074 3.9629009),1877.2067703418008
4.04819412104,41.9309280688,POINT (41.9309280688 4.04819412104),4.0286586,41.9348145,-0.836,0.373,POINT (41.9348145 4.0286586),1672.784218658966
4.2353408846,38.3859126851,POINT (38.3859126851 4.2353408846),4.2478122,38.3972168,-0.52,0.367,POINT (38.3972168 4.2478122),1661.723590536644
4.28184427047,41.8750755047,POINT (41.8750755047 4.28184427047),4.2916356,41.8908691,-0.187,0.378,POINT (41.8908691 4.2916356),1934.210095188808
4.76768886663,39.2697492018,POINT (39.2697492018 4.76768886663),4.7735207,39.2321777,-0.316,0.372,POINT (39.2321777 4.7735207),4207.832009539254
4.8070976028,36.0818398582,POINT (36.0818398582 4.8070976028),4.8173122,36.0681152,-0.239,0.391,POINT (36.0681152 4.8173122),1780.947172228154
4.86583201441,39.1736734474,POINT (39.1736734474 4.86583201441),4.8173122,39.1662598,-0.793,0.36,POINT (39.1662598 4.8173122),4263.1952840722515
4.87905466671,39.1953787271,POINT (39.1953787271 4.87905466671),4.8173122,39.1662598,-0.793,0.36,POINT (39.1662598 4.8173122),6229.393070672371
4.98817917691,36.4805486186,POINT (36.4805486186 4.98817917691),4.9924497,36.4855957,-0.609,0.395,POINT (36.4855957 4.9924497),678.7711367008136
5.06617360457,39.8033863219,POINT (39.8033863219 5.06617360457),5.080001,39.7595215,-0.747,0.364,POINT (39.7595215 5.080001),5018.6241160178215
5.21350249941,40.0351534251,POINT (40.0351534251 5.21350249941),5.2113056,40.045166,-0.592,0.381,POINT (40.045166 5.2113056),1128.9464486953796
5.22299798627,41.0432055896,POINT (41.0432055896 5.22299798627),5.233187,41.0778809,-0.549,0.363,POINT (41.0778809 5.233187),3949.221616962416
5.25295513188,37.4271768268,POINT (37.4271768268 5.25295513188),5.2550677,37.4304199,-0.46,0.366,POINT (37.4304199 5.2550677),406.00461842010725
5.29947726643,37.4826182904,POINT (37.4826182904 5.29947726643),5.2988268,37.4743652,-0.341,0.381,POINT (37.4743652 5.2988268),919.4950588542201
5.49534488804,37.5518429316,POINT (37.5518429316 5.49534488804),5.4957038,37.5622559,0.061,0.377,POINT (37.5622559 5.4957038),1158.3014170679012
5.51248465997,37.6022764827,POINT (37.6022764827 5.51248465997),5.5175751,37.5622559,0.023,0.401,POINT (37.5622559 5.5175751),4472.6363578052205
5.52570615347,38.7620666963,POINT (38.7620666963 5.52570615347),5.5175751,38.770752,-0.294,0.367,POINT (38.770752 5.5175751),1195.6835278441295
5.5541668341,37.8416513316,POINT (37.8416513316 5.5541668341),5.5613152,37.8259277,-0.407,0.374,POINT (37.8259277 5.5613152),1857.677182287775
5.59568261612,38.2936192427,POINT (38.2936192427 5.59568261612),5.605052,38.2873535,-0.266,0.39,POINT (38.2873535 5.605052),1074.2743412350762
5.60315524467,37.6030634072,POINT (37.6030634072 5.60315524467),5.605052,37.6062012,-0.46,0.397,POINT (37.6062012 5.605052),386.8530301931292
5.63928393085,37.3823169626,POINT (37.3823169626 5.63928393085),5.6487856,37.3864746,0.283,0.397,POINT (37.3864746 5.6487856),958.3814376090539
5.64655886803,37.3818910811,POINT (37.3818910811 5.64655886803),5.6487856,37.3864746,0.283,0.397,POINT (37.3864746 5.6487856),546.3185076130085
5.74709706037,37.8508868358,POINT (37.8508868358 5.74709706037),5.7362428,37.8479004,-0.232,0.372,POINT (37.8479004 5.7362428),1009.2284649630084
5.80379577019,36.5810919609,POINT (36.5810919609 5.80379577019),5.8018269,36.5734863,0.386,0.457,POINT (36.5734863 5.8018269),863.7919498080344
5.82562469489,38.6725076713,POINT (38.6725076713 5.82562469489),5.8236865,38.6828613,-0.299,0.377,POINT (38.6828613 5.8236865),1163.5001278330512
5.83633941337,36.6070302097,POINT (36.6070302097 5.83633941337),5.8455454,36.6174316,-0.361,0.37,POINT (36.6174316 5.8455454),1418.7463655302636
5.85184911518,37.8832189758,POINT (37.8832189758 5.85184911518),5.8455454,37.8918457,0.592,0.465,POINT (37.8918457 5.8455454),1107.330830625533
5.87254139533,36.5547616695,POINT (36.5547616695 5.87254139533),5.8674033,36.5515137,-0.162,0.365,POINT (36.5515137 5.8674033),584.0137794529129
5.90110061304,36.5785635622,POINT (36.5785635622 5.90110061304),5.9111167,36.5734863,-0.248,0.414,POINT (36.5734863 5.9111167),1057.6846944586696
5.94525407784,38.322510837,POINT (38.322510837 5.94525407784),5.9548266,38.3312988,-0.133,0.378,POINT (38.3312988 5.9548266),1285.3523672712822
5.94989088571,37.1552324163,POINT (37.1552324163 5.94989088571),5.9548266,37.1447754,-0.231,0.391,POINT (37.1447754 5.9548266),1242.3310691022389
