"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs1aq8_1","cs1aq8_3a","cs1aq8_3b","cs1aq8_3c","cs1aq9_1","cs1aq9_3a","cs1aq9_3b","cs1aq9_3c","cs1aq12_1","cs1aq12_3a","cs1aq12_3b","cs1aq12_3c","cs1aq14_a","cs1aq14_b","cs1aq14_c","cs1aq15_a","cs1aq15_b","cs1aq16_a","cs1aq16_b","cs1aq17_a","cs1aq17_b"
"010101088801601","01010101601",1,1,1,8,88,16,1,"**CONFIDENTIAL**",14,6,2008,"**CONFIDENTIAL**",19,7,2008,"**CONFIDENTIAL**",7,11,2008,14,6,2008,2,15,3,10,"**CONFIDENTIAL**",24
"010102088801403","01010201403",1,1,2,8,88,14,3,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",17,7,2008,"**CONFIDENTIAL**",7,11,2008,17,6,2008,4,30,6,0,"**CONFIDENTIAL**",24
"010103010100106","01010300106",1,1,3,1,1,1,6,"**CONFIDENTIAL**",4,6,2008,"**CONFIDENTIAL**",10,7,2008,"**CONFIDENTIAL**",8,11,2008,4,6,2008,3,0,5,15,"**CONFIDENTIAL**",24
"010103088801804","01010301804",1,1,3,8,88,18,4,"**CONFIDENTIAL**",7,6,2008,"**CONFIDENTIAL**",14,7,2008,"**CONFIDENTIAL**",6,11,2008,11,6,2008,10,30,11,15,"**CONFIDENTIAL**",24
"010105088800204","01010500204",1,1,5,8,88,2,4,"**CONFIDENTIAL**",9,6,2008,"**CONFIDENTIAL**",14,7,2008,"**CONFIDENTIAL**",7,11,2008,9,6,2008,9,30,10,0,"**CONFIDENTIAL**",24
"010106088800402","01010600402",1,1,6,8,88,4,2,"**CONFIDENTIAL**",7,7,2008,"**CONFIDENTIAL**",11,7,2008,"**CONFIDENTIAL**",8,11,2008,7,7,2008,10,0,10,45,"**CONFIDENTIAL**",24
"010107010100116","01010700116",1,1,7,1,1,1,16,"**CONFIDENTIAL**",1,7,2008,"**CONFIDENTIAL**",9,7,2008,"**CONFIDENTIAL**",7,11,2008,1,7,2008,10,45,11,50,"**CONFIDENTIAL**",24
"010201088800207","01020100207",1,2,1,8,88,2,7,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",7,11,2008,12,6,2008,2,45,6,15,"**CONFIDENTIAL**",20
"010202020100107","01020200107",1,2,2,2,1,1,7,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010202088800802","01020200802",1,2,2,8,88,8,2,"**CONFIDENTIAL**",17,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,11,7,2008,2,45,6,30,"**CONFIDENTIAL**",20
"010203088801001","01020301001",1,2,3,8,88,10,1,"**CONFIDENTIAL**",7,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,7,6,2008,3,20,6,50,"**CONFIDENTIAL**",20
"010204088801702","01020401702",1,2,4,8,88,17,2,"**CONFIDENTIAL**",10,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",8,11,2008,10,6,2008,2,30,8,45,"**CONFIDENTIAL**",20
