"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs2q01","cs2q02","cs2q03","cs2q04","cs2q05_a","cs2q05_b","cs2q05_oth","cs2q06","cs2q07","cs2q07_oth"
"010101088801601","01010101601",1,1,1,8,88,16,1,1,"**CONFIDENTIAL**",1,58,1,,,45,3,
"010101088801601","01010101601",1,1,1,8,88,16,1,2,"**CONFIDENTIAL**",1,27,11,,,1,6,
"010101088801601","01010101601",1,1,1,8,88,16,1,3,"**CONFIDENTIAL**",1,32,6,,,5,6,
"010101088801601","01010101601",1,1,1,8,88,16,1,4,"**CONFIDENTIAL**",2,37,7,,,7,6,
"010102088801403","01010201403",1,1,2,8,88,14,3,1,"**CONFIDENTIAL**",1,28,1,,,1,6,
"010102088801403","01010201403",1,1,2,8,88,14,3,2,"**CONFIDENTIAL**",2,27,2,,,27,4,
"010102088801403","01010201403",1,1,2,8,88,14,3,3,"**CONFIDENTIAL**",1,62,1,,,37,1,
"010102088801403","01010201403",1,1,2,8,88,14,3,4,"**CONFIDENTIAL**",2,26,7,,,2,6,
"010102088801403","01010201403",1,1,2,8,88,14,3,5,"**CONFIDENTIAL**",1,28,6,,,3,6,
"010103010100106","01010300106",1,1,3,1,1,1,6,1,"**CONFIDENTIAL**",1,26,10,,,3,7,
"010103010100106","01010300106",1,1,3,1,1,1,6,2,"**CONFIDENTIAL**",1,46,1,,,15,5,
"010103010100106","01010300106",1,1,3,1,1,1,6,3,"**CONFIDENTIAL**",1,44,3,,,14,5,
"010103010100106","01010300106",1,1,3,1,1,1,6,4,"**CONFIDENTIAL**",1,37,1,,,13,6,
"010103010100106","01010300106",1,1,3,1,1,1,6,5,"**CONFIDENTIAL**",1,44,3,,,15,3,
"010103010100106","01010300106",1,1,3,1,1,1,6,6,"**CONFIDENTIAL**",1,61,3,,,37,3,
"010103010100106","01010300106",1,1,3,1,1,1,6,7,"**CONFIDENTIAL**",1,52,3,,,47,5,
"010103010100106","01010300106",1,1,3,1,1,1,6,8,"**CONFIDENTIAL**",2,55,8,,,55,5,
"010103010100106","01010300106",1,1,3,1,1,1,6,9,"**CONFIDENTIAL**",1,52,11,,,30,2,
"010103010100106","01010300106",1,1,3,1,1,1,6,10,"**CONFIDENTIAL**",2,50,3,,,26,2,
"010103088801804","01010301804",1,1,3,8,88,18,4,1,"**CONFIDENTIAL**",1,24,6,,,1,6,
"010103088801804","01010301804",1,1,3,8,88,18,4,2,"**CONFIDENTIAL**",1,25,2,,,0,6,
"010103088801804","01010301804",1,1,3,8,88,18,4,3,"**CONFIDENTIAL**",1,32,11,,,32,4,
"010103088801804","01010301804",1,1,3,8,88,18,4,4,"**CONFIDENTIAL**",1,24,5,,,2,6,
"010103088801804","01010301804",1,1,3,8,88,18,4,5,"**CONFIDENTIAL**",1,25,6,,,1,6,
"010103088801804","01010301804",1,1,3,8,88,18,4,6,"**CONFIDENTIAL**",1,35,1,,,35,5,
"010103088801804","01010301804",1,1,3,8,88,18,4,7,"**CONFIDENTIAL**",1,29,4,,,1,6,
"010103088801804","01010301804",1,1,3,8,88,18,4,8,"**CONFIDENTIAL**",1,25,11,,,25,2,
"010105088800204","01010500204",1,1,5,8,88,2,4,1,"**CONFIDENTIAL**",1,24,6,,,2,6,
