"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04a_oth","cs3q04_b","cs3q04_c","cs3q04c_oth","cs3q04_d","cs3q04_e","cs3q04e_oth","cs3q04_f","cs3q06","cs3q07","cs3q07_oth","cs3q08","cs3q09","cs3q10","scsq11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"140903010900303",,14,9,3,1,9,3,3,1,7000,675,1,,420,3,,160,2,,90,0,3,,5,0,0,0,2,295,1,200,3,180
"150101010100253",,15,1,1,1,1,2,53,1,170000,85000,1,,80000,4,,60000,3,,30000,20,3,,1,0,5,0,1,85000,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,3,19115,3164,1,,3044,4,,120,,,,2,2,,2,5,0,20,1,50,2,50,,
"010102088801403","01010201403",1,1,2,8,88,14,3,3,7478,1657,1,,1577,4,,80,,,,5,2,,1,10,0,24,1,95,2,5,,
"010103010100106","01010300106",1,1,3,1,1,1,6,1,9000,1650,1,,1150,4,,500,,,,2,4,,5,0,0,5,2,70,3,30,,
"010103088801804","01010301804",1,1,3,8,88,18,4,2,8500,1779,1,,1700,4,,79,,,,0,2,,4,20,0,20,3,100,,,,
"010105088800204","01010500204",1,1,5,8,88,2,4,1,5656,1174,1,,1100,4,,74,,,,1,2,,4,45,0,25,1,100,,,,
"010106088800402","01010600402",1,1,6,8,88,4,2,1,8380,1380,1,,1380,,,,,,,1,2,,5,15,0,5,1,80,2,20,,
"010107010100116","01010700116",1,1,7,1,1,1,16,1,14420,3277,1,,2185,4,,1092,,,,5,3,,1,0,0,5,2,98,2,2,,
"010201088800207","01020100207",1,2,1,8,88,2,7,2,7181,1430,1,,7181,,,,,,,1,2,,5,5,0,10,3,95,1,5,,
"010202020100107","01020200107",1,2,2,2,1,1,7,1,9920,2196,1,,1464,4,,732,,,,17,7,"yetekararebu yale plan yetegenebu  bethoch.",5,0,25,2,1,60,2,30,3,10
"010202088800802","01020200802",1,2,2,8,88,8,2,2,6316,1224,1,,6316,,,,,,,8,2,,2,23,0,17,1,999,2,224,,
"010203088801001","01020301001",1,2,3,8,88,10,1,2,7775,1342,1,,7775,,,,,,,2,2,,4,32,0,17,1,90,3,10,,
"010204088801702","01020401702",1,2,4,8,88,17,2,2,5703,1243,1,,5703,,,,,,,10,2,,5,40,0,5,3,80,1,15,2,5
"010206088801301","01020601301",1,2,6,8,88,13,1,2,13670,2180,1,,10000,4,,3670,,,,10,2,,1,40,0,15,3,75,1,25,,
"010207010100101","01020700101",1,2,7,1,1,1,1,1,2776,877,1,,8200,4,,5424,,,,5,3,,1,2,0,1,3,75,1,20,2,5
"010208088800603","01020800603",1,2,8,8,88,6,3,2,7500,7,1,,7500,,,,,,,10,2,,4,20,70,10,1,999,2,50,3,30
"010209088800602","01020900602",1,2,9,8,88,6,2,2,12560,5,1,,12560,,,,,,,30,2,,3,0,64,35,1,999,3,190,,
"010212010100416","01021200416",1,2,12,1,1,4,16,1,9190,2850,1,,1940,4,,810,2,,100,2,3,,5,2,0,5,3,70,1,25,2,5
"010301088800204","01030100204",1,3,1,8,88,2,4,4,8752,1814,1,,1412,2,,230,4,,172,12.6791620254517,2,,1,5,0,10,1,30,2,20,3,50
"010303010100111","01030300111",1,3,3,1,1,1,11,1,3400,950,1,,830,4,,114,2,,6,3,3,,5,5,3,0,2,60,3,30,1,10
"010303088800605","01030300605",1,3,3,8,88,6,5,2,5500,2620,1,,2620,,,,,,,10,2,,5,5,0,40,1,999,2,70,,
"010304088800101","01030400101",1,3,4,8,88,1,1,1,6040,1375,1,,1254,4,,121,,,,0,2,,2,10,0,90,1,780,2,595,,
"010305088801202","01030501202",1,3,5,8,88,12,2,2,4497,922,1,,920,4,,2,,,,0,2,,1,32,0,0,1,85,3,10,2,5
"010306088800608","01030600608",1,3,6,8,88,6,8,2,10987,2486,1,,2481,4,,5,,,,0,2,,5,0,0,13,1,70,2,7,3,23
"010307088800116","01030700116",1,3,7,8,88,1,16,2,13500,2500,1,,2400,4,,75,3,,25,0,3,,5,0,2,0,1,95,3,5,,
"010307088800709","01030700709",1,3,7,8,88,7,9,2,8514,2143,1,,2143,,,,,,,0,2,,3,3,1,83,2,70,1,21,3,9
"010309010100101","01030900101",1,3,9,1,1,1,1,1,15452,3309,1,,2184,4,,1092,3,,33,2,3,,1,0,0,2,2,98,3,2,1,0
"010401088801204","01040101204",1,4,1,8,88,12,4,1,7026,1620,1,,1620,,,,,,,0,2,,1,3,0,3,1,999,2,620,,
