"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs4q01","cs4q02_1","cs4q03","cs4q04_1","cs4q04_2","cs4q04_3","cs4q04_4","cs4q04_5","cs4q04_6","cs4q04_7","cs4q04_8","cs4q04_9","cs4q04_10","cs4q04_11","cs4q04_12","cs4q05_1","cs4q05_2","cs4q05_3","cs4q05_4","cs4q05_5","cs4q05_6","cs4q05_7","cs4q05_8","cs4q05_9","cs4q05_10","cs4q05_11","cs4q05_12","cs4q06","cs4q07_a","cs4q07_b","cs4q08","cs4q09","cs4q10","cs4q11","cs4q12_a","cs4q12_b1","cs4q13","cs4q14","cs4q15","cs4q16","cs4q17","cs4q18","cs4q19","cs4q20","cs4q21","cs4q22","cs4q23","cs4q24","cs4q25","cs4q26","cs4q27","cs4q28","cs4q29","cs4q30","cs4q31","cs4q32","cs4q33","cs4q34","cs4q34_oth","cs4q35","cs4q36","cs4q37","cs4q38","cs4q39","cs4q40","cs4q40_oth","cs4q41","cs4q42","cs4q43","cs4q44_a","cs4q44_b","cs4q44_c","cs4q44_d","cs4q44_e","cs4q44_f","cs4q44_oth","cs4q45","cs4q46","cs4q47","cs4q48","cs4q49","cs4q50","cs4q51","csdq52","csdq53","csdq54","csdq55","csdq56","csdq57","csdq58","csdq59"
"150101010100253",,15,1,1,1,1,2,53,1,2,1,13,,,,,,,,,,,,13,,,,,,,,,,,,3,50,2,1,,,1,,,,1,,1,,11,14,1,1,1,1,1,2,0,10,2,1,,1,,1,1,,1,1,1,1,,1,,1,24,2,,,,,,,,1,,1,,1,50,1500,1,,2,,1,,1,
"140903010900303",,14,9,3,1,9,3,3,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,7,,1,1,,,1,,,,1,,1,,4,,0,1,1,0,2,2,,,,,,1,,1,1,,1,1,1,1,,1,,2,,1,1,1,1,1,1,2,,1,,1,,1,500,1200,1,,2,,1,,1,
"010101088801601","01010101601",1,1,1,8,88,16,1,4,18,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,6,3,2,18,10,2,"SHRARO",18,48,1,,,,9,0,0,1,1,18,1,0,0,0,0,1,,1,,1,1,,1,1,1,1,,1,,1,0,1,1,1,1,1,1,2,,2,18,2,18,2,,,2,108,1,,2,108,2,18
"010102088801403","01010201403",1,1,2,8,88,14,3,4,4,1,0,,,,,,,,,,,,0,,,,,,,,,,,,5,7,3,2,5,5,2,"SHRE",40,18,2,5,,,7,1,0,1,2,5,1,0,0,0,0,2,5,1,,1,1,,1,2,,,5,1,,1,0,1,1,2,2,1,2,2,,2,5,2,5,2,,,2,40,1,,2,40,2,5
"010103010100106","01010300106",1,1,3,1,1,1,6,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,15,2,1,,,2,"SHRE",30,12,1,,,,4,2,0,1,1,2,1,0,0,0,0,1,,2,4,2,1,,2,1,1,1,,1,,1,0,2,,,,,,,,1,,1,,1,20,2500,2,30,1,,1,,2,30
"010103088801804","01010301804",1,1,3,8,88,18,4,3,56,1,13,,,,,,,,,,,,13,,,,,,,,,,,,24,9,2,2,61,30,2,"SHRE",65,25,2,24,,,7,1,0,1,1,24,1,0,0,0,0,2,24,1,,1,1,,1,2,,,65,1,,1,0,2,,,,,,,,2,24,2,24,2,,,2,65,1,,2,65,2,65
"010105088800204","01010500204",1,1,5,8,88,2,4,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,20,2,2,37,25,2,"SHRE",46,25,1,,,,7,0,0,1,1,18,1,0,0,0,0,1,,1,,1,1,,1,1,1,2,,4,,1,0,2,,,,,,,,2,46,2,18,2,,,2,46,1,,2,46,2,46
"010106088800402","01010600402",1,1,6,8,88,4,2,4,5,1,13,,,,,,,,,,,,0,,,,,,,,,,,,5,3,2,2,5,10,2,"SHRE",95,40,2,5,,,7,0,0,2,2,5,1,0,0,0,0,2,5,2,5,1,1,,1,2,,,5,1,,1,0,2,,,,,,,,2,5,2,5,2,,,2,95,1,,2,5,2,5
"010107010100116","01010700116",1,1,7,1,1,1,16,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,1,200,1,1,,,1,,,,1,,,,2,2,0,1,1,1.5,1,0,0,0,0,2,0,,,,,,,2,,,500,1,,2,,1,1,1,1,1,1,,,1,,2,1,1,6,1000,2,0,2,2,2,1,2,1
"010201088800207","01020100207",1,2,1,8,88,2,7,4,38,1,13,,,,,,,,,,,,0,,,,,,,,,,,,15,3,3,2,113,35,2,"AXISUM",54,45,1,,,,7,0,0,1,2,15,1,0,0,0,0,1,,1,,1,1,,2,2,,,54,1,,2,,2,,,,,,,,2,15,2,15,2,,,2,54,2,15,2,54,2,54
