"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q01_oth","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q05_a_other","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11","cs5q08_a_other"
"140903010900303",,14,9,3,1,9,3,3,4,11,11,,1,30,1,4,11,,1,1,10,7,1,20,30,
"150101010100253",,15,1,1,1,1,2,53,4,3,10,,1,5,1,4,9,,1,1,11,9,1,10,20,
"010101088801601","01010101601",1,1,1,8,88,16,1,1,4,5,,1,6,2,1,4,,1,1,1,11,2,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,1,4,5,,1,10,1,1,,,2,,,,2,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,4,1,6,,1,30,1,1,9,,1,1,1,,1,10,10,
"010103088801804","01010301804",1,1,3,8,88,18,4,1,9,10,,1,5,1,1,9,,1,1,9,,1,2,1,
"010105088800204","01010500204",1,1,5,8,88,2,4,1,4,9,,1,5,2,4,1,,1,1,4,9,1,5,1,
"010106088800402","01010600402",1,1,6,8,88,4,2,1,9,10,,2,,,,,,1,1,9,,1,13,44,
"010107010100116","01010700116",1,1,7,1,1,1,16,4,11,,,1,1,3,11,,,1,1,11,,1,14,16,
"010201088800207","01020100207",1,2,1,8,88,2,7,1,,,,1,25,1,1,,,2,,,,2,,,
"010202020100107","01020200107",1,2,2,2,1,1,7,1,4,5,,1,1,3,1,4,,1,1,4,9,1,17,25,
"010202088800802","01020200802",1,2,2,8,88,8,2,1,6,,,1,4,2,4,6,,2,,,,2,,,
"010203088801001","01020301001",1,2,3,8,88,10,1,1,4,5,,1,5,2,11,,,2,,,,2,,,
"010204088801702","01020401702",1,2,4,8,88,17,2,1,4,5,,1,1,2,9,1,,2,,,,2,,,
"010206088801301","01020601301",1,2,6,8,88,13,1,1,5,6,,1,33,1,1,11,,2,,,,1,5,0,
"010207010100101","01020700101",1,2,7,1,1,1,1,4,6,9,,1,33,1,9,1,,1,1,4,9,1,33,25,
"010208088800603","01020800603",1,2,8,8,88,6,3,1,,,,1,20,2,8,5,,2,,,,2,,,
"010209088800602","01020900602",1,2,9,8,88,6,2,1,,,,1,5,2,6,4,,2,,,,2,,,
"010212010100416","01021200416",1,2,12,1,1,4,16,1,4,6,,2,,,,,,1,1,4,6,1,50,33,
"010301088800204","01030100204",1,3,1,8,88,2,4,1,4,5,,1,10,3,1,2,,2,,,,2,,,
"010303010100111","01030300111",1,3,3,1,1,1,11,1,4,,,1,5,3,1,4,,1,1,4,9,1,33,25,
"010303088800605","01030300605",1,3,3,8,88,6,5,1,4,5,,1,30,3,11,,,1,1,11,4,1,10,15,
"010304088800101","01030400101",1,3,4,8,88,1,1,1,5,,,1,5,2,4,1,,2,,,,2,,,
"010305088801202","01030501202",1,3,5,8,88,12,2,1,,,,2,,,,,,2,,,,2,,,
"010306088800608","01030600608",1,3,6,8,88,6,8,1,4,5,,1,0,3,11,9,,2,,,,2,,,
"010307088800116","01030700116",1,3,7,8,88,1,16,4,9,10,,1,5,2,11,9,,2,,,,1,20,5,
"010307088800709","01030700709",1,3,7,8,88,7,9,1,4,7,,1,15,1,9,11,,2,,,,2,,,
"010309010100101","01030900101",1,3,9,1,1,1,1,4,5,10,,1,45,3,1,11,"hgewet sra",1,2,4,9,1,33,40,
"010401088801204","01040101204",1,4,1,8,88,12,4,1,4,,,2,,,,,,2,,,,1,50,50,
"010403020100109","01040300109",1,4,3,2,1,1,9,1,4,5,,1,1,3,11,9,,1,1,11,9,1,80,20,
"010403088800404","01040300404",1,4,3,8,88,4,4,1,4,5,,1,1,2,11,9,,2,,,,2,,,
"010404088800103","01040400103",1,4,4,8,88,1,3,1,,,,1,2,2,11,,,2,,,,2,,,
"010405088800701","01040500701",1,4,5,8,88,7,1,1,5,4,,1,5,2,11,4,,2,,,,2,,,
"010406088800803","01040600803",1,4,6,8,88,8,3,1,4,3,,1,10,3,11,9,,1,1,1,11,1,5,5,
"010408088800402","01040800402",1,4,8,8,88,4,2,1,5,,,1,400,2,11,,,2,,,,2,,,
"010409010100306","01040900306",1,4,9,1,1,3,6,4,,,,2,,,,,,1,1,4,6,1,80,20,
"010501088800105","01050100105",1,5,1,8,88,1,5,1,4,5,,1,20,2,9,1,,1,1,1,9,2,,,
"010501020100105","01050100105",1,5,1,2,1,1,5,1,4,3,,1,4,2,10,11,,1,1,11,1,1,45,55,
"010502088800201","01050200201",1,5,2,8,88,2,1,1,4,5,,2,,,,,,1,1,1,11,2,,,
"010502088800712","01050200712",1,5,2,8,88,7,12,1,4,5,,1,2,1,1,4,,1,1,1,6,2,,,
"010502088801503","01050201503",1,5,2,8,88,15,3,1,4,5,,2,,,,,,2,,,,2,,,
"010503088801501","01050301501",1,5,3,8,88,15,1,1,4,5,,1,1,2,4,1,,1,1,1,4,2,,,
"010503088802304","01050302304",1,5,3,8,88,23,4,1,4,5,,1,5,1,1,4,,1,1,1,5,2,,,
"010601010100224","01060100224",1,6,1,1,1,2,24,4,,,,2,,,,,,1,1,4,6,1,65,35,
"010601010100303","01060100303",1,6,1,1,1,3,3,4,9,10,,2,,,,,,2,,,,2,,,
"010601010100315","01060100315",1,6,1,1,1,3,15,4,5,,,2,,,,,,1,2,4,9,1,40,35,
