"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q07_b","cs6q07_c","cs6q08","cs6q09","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"010101088801601","01010101601",1,1,1,8,88,16,1,1,,,,10,11,9,2,3,4,3,2,1,,,1,,1,1420,3,3,3,1,1,1,1,1,5,5,5,5,2,2,4,5,5,5,5,5
"010102088801403","01010201403",1,1,2,8,88,14,3,1,,,,11,10,9,3,2,4,3,2,1,,,1,,1,326,3,3,3,1,1,1,1,1,5,5,5,5,1,1,1,1,5,1,4,5
"010103010100106","01010300106",1,1,3,1,1,1,6,1,7,2,46,11,10,11,3,3,7,3,3,1,,,1,,1,80,3,1,1,1,1,,1,,1,2,2,2,2,2,2,3,4,1,1,1
"010103088801804","01010301804",1,1,3,8,88,18,4,1,2,3,7,9,8,11,4,3,2,2,3,1,,,1,,1,340,1,1,1,1,2,2,2,2,1,1,1,1,4,4,4,2,2,4,2,3
"010105088800204","01010500204",1,1,5,8,88,2,4,1,6,3,27,10,9,11,3,2,2,3,3,2,,,1,,1,701,3,3,3,1,1,1,1,1,1,2,1,1,1,1,5,2,4,5,1,2
"010106088800402","01010600402",1,1,6,8,88,4,2,1,3,6,2,9,10,10,2,3,2,3,3,1,,,2,5,1,140,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,2,4,3
"010107010100116","01010700116",1,1,7,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010201088800207","01020100207",1,2,1,8,88,2,7,1,,,,10,9,11,3,3,2,3,3,1,,,1,,2,,1,1,1,1,3,1,1,3,4,4,3,4,1,2,4,4,3,1,3,3
"010202020100107","01020200107",1,2,2,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010202088800802","01020200802",1,2,2,8,88,8,2,1,7,2,3,10,11,,2,3,,3,3,1,,,,,1,183,1,1,1,1,3,1,1,3,1,1,3,1,4,4,3,3,4,2,4,3
