"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs8q00","cs8q0a","cs8q00_oth","cs8q01","cs8q02","cs8q03","cs8q04","cs8q05_a","cs8q05_b","cs8q05_c","cs8q05_d","cs8q05_e","cs8q05_f","cs8q05_g","cs8q05_h","cs8q06","cs8q07","cs8q08","cs8q09","cs8q10","cs8q10_oth","cs8q11_a","cs8q11_b","cs8q11_c","cs8q11d_oth","cs8q11_d"
"010101088801601","01010101601",1,1,1,8,88,16,1,1,"Road/Bridge: Construction & Maintenance",,1,1,1,1,1,2,1,2,2,2,2,2,1,2,0,,,,1,2,2,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,2,"Primary School: Construction/Maintenance",,1,1,1,1,1,1,1,2,1,2,1,2,1,2,600000,600000,1,,1,2,1,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,3,"Secondary School: Construction/Maintenance",,1,1,1,1,1,1,1,1,1,2,2,2,1,2,96000,96000,1,,1,1,1,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,4,"Health Center/Clinic/Post: Construction & Maintenance",,1,1,1,1,1,2,1,2,2,2,1,2,1,1,0,,,,1,1,1,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,5,"Piped Water/Boreholes/Wells: Construction/Maintenance",,1,1,1,1,1,1,1,1,2,2,1,2,1,2,215000,215000,1,,1,1,2,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,6,"Natural Resource Conservation (soil, water, afforestation)",,1,1,1,1,1,1,1,2,2,2,2,2,1,1,72000,72000,1,,1,1,2,,2
"010101088801601","01010101601",1,1,1,8,88,16,1,7,"Grain Mill: Construction/ Maintenance/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,8,"Public Transportation: Initiation/Improvement",,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,9,"Agricultural/Fishery/ Livestock Extension Services",,1,1,1,1,2,2,1,2,2,2,2,2,1,4,,,,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,10,"Law Enforcement: Initiation/ Improvement",,1,1,1,1,1,2,2,2,2,2,2,2,1,4,,,,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,11,"Other (Specify)",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,1,"Road/Bridge: Construction & Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,2,"Primary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,3,"Secondary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,4,"Health Center/Clinic/Post: Construction & Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,5,"Piped Water/Boreholes/Wells: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,6,"Natural Resource Conservation (soil, water, afforestation)",,2,1,1,1,1,2,2,2,2,2,2,1,1,2,0,,,,1,1,2,,1
"010102088801403","01010201403",1,1,2,8,88,14,3,7,"Grain Mill: Construction/ Maintenance/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,8,"Public Transportation: Initiation/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010102088801403","01010201403",1,1,2,8,88,14,3,9,"Agricultural/Fishery/ Livestock Extension Services",,1,1,1,1,1,2,2,2,2,2,2,2,1,2,0,,,,1,1,2,,2
"010102088801403","01010201403",1,1,2,8,88,14,3,10,"Law Enforcement: Initiation/ Improvement",,1,1,1,1,1,2,2,2,2,2,2,2,1,2,0,,,,1,1,2,,2
"010102088801403","01010201403",1,1,2,8,88,14,3,11,"Other (Specify)",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,1,"Road/Bridge: Construction & Maintenance",,1,1,1,1,1,1,1,2,2,2,2,2,1,1,300000,4000,1,,1,1,2,,1
"010103010100106","01010300106",1,1,3,1,1,1,6,2,"Primary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,3,"Secondary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,4,"Health Center/Clinic/Post: Construction & Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,5,"Piped Water/Boreholes/Wells: Construction/Maintenance",,1,1,1,1,1,1,1,2,1,2,2,2,1,1,0,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,6,"Natural Resource Conservation (soil, water, afforestation)",,1,1,1,1,1,1,1,2,1,2,2,2,1,1,18000,1200,1,,1,1,2,,2
"010103010100106","01010300106",1,1,3,1,1,1,6,7,"Grain Mill: Construction/ Maintenance/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,8,"Public Transportation: Initiation/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,9,"Agricultural/Fishery/ Livestock Extension Services",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103010100106","01010300106",1,1,3,1,1,1,6,10,"Law Enforcement: Initiation/ Improvement",,1,1,1,1,1,1,1,2,1,2,2,2,1,1,30000,6000,1,,1,1,2,,2
"010103010100106","01010300106",1,1,3,1,1,1,6,11,"Other (Specify)",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103088801804","01010301804",1,1,3,8,88,18,4,1,"Road/Bridge: Construction & Maintenance",,1,1,1,1,1,2,1,2,2,2,2,2,1,1,0,,,,1,2,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,2,"Primary School: Construction/Maintenance",,1,1,1,1,1,2,1,1,2,2,2,2,1,1,0,,,,1,1,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,3,"Secondary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010103088801804","01010301804",1,1,3,8,88,18,4,4,"Health Center/Clinic/Post: Construction & Maintenance",,1,1,1,1,1,2,1,1,2,2,2,2,1,1,0,,,,1,1,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,5,"Piped Water/Boreholes/Wells: Construction/Maintenance",,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,,,,1,1,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,6,"Natural Resource Conservation (soil, water, afforestation)",,1,1,1,1,1,2,1,2,2,2,2,2,1,1,0,,,,1,1,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,7,"Grain Mill: Construction/ Maintenance/Improvement",,1,1,1,1,1,2,1,2,,2,2,2,1,5,,,,,,,,,
"010103088801804","01010301804",1,1,3,8,88,18,4,8,"Public Transportation: Initiation/Improvement",,1,1,1,1,1,2,1,2,2,2,2,2,1,5,,,,,,,,,
"010103088801804","01010301804",1,1,3,8,88,18,4,9,"Agricultural/Fishery/ Livestock Extension Services",,1,1,1,1,1,2,1,2,2,2,2,2,1,1,0,,,,1,2,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,10,"Law Enforcement: Initiation/ Improvement",,1,1,1,1,1,2,1,2,2,2,2,2,1,1,0,,,,1,1,2,,2
"010103088801804","01010301804",1,1,3,8,88,18,4,11,"Other (Specify)",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010105088800204","01010500204",1,1,5,8,88,2,4,1,"Road/Bridge: Construction & Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010105088800204","01010500204",1,1,5,8,88,2,4,2,"Primary School: Construction/Maintenance",,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,,,,1,1,1,,2
"010105088800204","01010500204",1,1,5,8,88,2,4,3,"Secondary School: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010105088800204","01010500204",1,1,5,8,88,2,4,4,"Health Center/Clinic/Post: Construction & Maintenance",,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,,,,1,1,1,,2
"010105088800204","01010500204",1,1,5,8,88,2,4,5,"Piped Water/Boreholes/Wells: Construction/Maintenance",,2,2,2,,,,,,,,,,,,,,,,,,,,
"010105088800204","01010500204",1,1,5,8,88,2,4,6,"Natural Resource Conservation (soil, water, afforestation)",,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,,,,1,1,2,,2
"010105088800204","01010500204",1,1,5,8,88,2,4,7,"Grain Mill: Construction/ Maintenance/Improvement",,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,,,,1,1,2,,2
"010105088800204","01010500204",1,1,5,8,88,2,4,8,"Public Transportation: Initiation/Improvement",,2,2,2,,,,,,,,,,,,,,,,,,,,
