"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs9q01","cs9q02_a","cs9q02_b","cs9q02_c","cs9q03","cs9q04","cs9q05","cs9q06","cs9q07","cs9q08","cs9q09","cs9q10","cs9q11","cs9q12_a","cs9q12_b","cs9q13","cs9q14"
"010101088801601","01010101601",1,1,1,8,88,16,1,1,1,1,1,2,1,2,1,2,2,,1,1,1,2008,380,35
"010102088801403","01010201403",1,1,2,8,88,14,3,1,1,1,1,2,1,4,1,2,2,,1,2,1,2008,467,40
"010103010100106","01010300106",1,1,3,1,1,1,6,1,1,1,1,4,1,21,1,2,1,2,1,2,2,2008,800,25
"010103088801804","01010301804",1,1,3,8,88,18,4,1,1,1,1,1,3,1,1,2,1,2,1,2,2,2008,738,69
"010105088800204","01010500204",1,1,5,8,88,2,4,2,,,,,,,,,,,,,,,,
"010106088800402","01010600402",1,1,6,8,88,4,2,1,1,1,1,3,5,7,1,2,1,2,1,2,12,2007,155,100
"010107010100116","01010700116",1,1,7,1,1,1,16,2,,,,,,,,,,,,,,,,
"010201088800207","01020100207",1,2,1,8,88,2,7,1,1,2,1,25,25,50,1,2,1,1,1,1,2,2008,10,45
"010202020100107","01020200107",1,2,2,2,1,1,7,2,,,,,,,,,,,,,,,,
"010202088800802","01020200802",1,2,2,8,88,8,2,1,1,2,1,4,2,3,2,,1,2,1,1,3,2008,78,27
"010203088801001","01020301001",1,2,3,8,88,10,1,1,2,1,1,1,1,3,1,2,1,2,1,1,3,2007,1021,87
"010204088801702","01020401702",1,2,4,8,88,17,2,1,1,1,1,3,5,0,1,1,1,2,1,1,1,2008,750,80
"010206088801301","01020601301",1,2,6,8,88,13,1,1,2,2,1,25,0,75,2,,1,1,1,1,1,2008,35,75
"010207010100101","01020700101",1,2,7,1,1,1,1,2,,,,,,,,,,,,,,,,
"010208088800603","01020800603",1,2,8,8,88,6,3,1,1,2,2,99,3,,1,2,1,2,1,1,5,1994,1400,999
"010209088800602","01020900602",1,2,9,8,88,6,2,1,1,2,2,7,6,0,1,1,1,1,1,1,1,2008,1299,999
"010212010100416","01021200416",1,2,12,1,1,4,16,2,,,,,,,,,,,,,,,,
"010301088800204","01030100204",1,3,1,8,88,2,4,1,1,1,1,5,2,7,1,2,1,1,1,1,2,2008,170,5
"010303010100111","01030300111",1,3,3,1,1,1,11,2,,,,,,,,,,,,,,,,
"010303088800605","01030300605",1,3,3,8,88,6,5,1,1,1,1,2,1,4,1,1,1,1,2,,,,124,10
"010304088800101","01030400101",1,3,4,8,88,1,1,1,1,1,1,1,1,44,,1,1,1,1,1,1,2008,962,95
"010305088801202","01030501202",1,3,5,8,88,12,2,1,1,1,1,3,1,8,1,2,1,2,1,2,11,2008,1780,82
"010306088800608","01030600608",1,3,6,8,88,6,8,1,1,1,1,3,1,8,1,2,1,2,1,1,11,2008,3433,45
"010307088800116","01030700116",1,3,7,8,88,1,16,1,1,1,1,11,0,4,1,2,1,2,1,2,12,2007,800,52
"010307088800709","01030700709",1,3,7,8,88,7,9,1,1,1,1,3,1,8,1,2,1,2,1,1,2,2008,456,63
"010309010100101","01030900101",1,3,9,1,1,1,1,2,,,,,,,,,,,,,,,,
"010401088801204","01040101204",1,4,1,8,88,12,4,1,1,,1,2,1,30,1,1,1,1,1,1,3,2006,803,15
"010403020100109","01040300109",1,4,3,2,1,1,9,1,1,1,1,3,1,9,1,1,1,2,1,2,4,2008,32,1
"010403088800404","01040300404",1,4,3,8,88,4,4,1,1,2,1,4,1,10,1,2,1,2,1,2,2,2006,110,25
"010404088800103","01040400103",1,4,4,8,88,1,3,1,1,1,1,2,1,10,1,1,1,2,1,2,1,2008,38,10
"010405088800701","01040500701",1,4,5,8,88,7,1,1,1,1,1,15,2,28,1,1,1,1,1,1,2,2008,831,46
