"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs10a2q01","cs10a2q02","item_others","cs10a2q03","cs10a2q03_a","other_unit","cs10a2q04","cs10a2q05"
"040601020100102",,,,,,,,,,,,,,,,
"040806088800802",,,,,,,,,,,,,,,,
"030906020100105",,,,,,,,,,,,,,,,
"040605088801004",,,,,,,,,,,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Axe (Gejera)",42,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Banana",15,,"Kilogram",1,,1,12
"010101088801601","01010101601",1,1,1,8,88,16,1,"Barley",3,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Batteries",28,,"Other(Specify)",99,,1,16
"010101088801601","01010101601",1,1,1,8,88,16,1,"Beer",205,,"Littere",4,,300,12
"010101088801601","01010101601",1,1,1,8,88,16,1,"Bicycle",38,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Boya/Yam",171,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Bula",26,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Bula",260,,"Pices",10,,1,7
"010101088801601","01010101601",1,1,1,8,88,16,1,"Butter/ghee",201,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Cassava",172,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Charcoal",30,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Chat/Kat",24,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Cheese",200,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Chemical fertilizer",33,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Chick pea",8,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Cigarettes",37,,"Pices",10,,3,1
"010101088801601","01010101601",1,1,1,8,88,16,1,"Coffee",23,,"Kilogram",1,,1,80
"010101088801601","01010101601",1,1,1,8,88,16,1,"Eggs",20,,"Pices",10,,1,3
"010101088801601","01010101601",1,1,1,8,88,16,1,"Field pea",9,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Firewood",31,,"Other(Specify)",99,,1,30
"010101088801601","01010101601",1,1,1,8,88,16,1,"Godere",173,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Green chili pepper (",141,,"Kilogram",1,,1,40
"010101088801601","01010101601",1,1,1,8,88,16,1,"Greens (kale, cabbag",143,,"Kilogram",1,,1,8
"010101088801601","01010101601",1,1,1,8,88,16,1,"Haricot beans",11,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Herbicides/Fungicide",35,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Horsebeans",7,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Kerosene",32,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Kocho",17,,,,,,
"010101088801601","01010101601",1,1,1,8,88,16,1,"Laundry soap",250,,"Pices",10,,1,7
