"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s14q00","hh_s14q02_a","hh_s14q02_b","hh_s14q03_a","hh_s14q03_b","hh_s14q04","hh_s14q05_a","hh_s14q05_b","hh_s14q05b","hh_s14q06","hh_s14q07_a","hh_s14q07_b","hh_s14q08_a","hh_s14q08_b","hh_s14q08_c"
"01010101601064","010101088801601064",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,64,1,"**CONFIDENTIAL**",7,1,,4,7,2007,3,2,7,2010,20000,1800,21800
"01010101601101","010101088801601101",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,101,1,"**CONFIDENTIAL**",7,1,2,4,7,2007,6,2,7,2008,12000,2000,14000
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,1,"**CONFIDENTIAL**",7,4,,4,11,2007,6,2,11,2012,8000,1200,9200
"01010101601146","010101088801601146",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,146,1,"**CONFIDENTIAL**",2,1,3,2,11,2007,3,1,,,1000,960,1960
"01010300106100","010103010100106100",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,100,1,"**CONFIDENTIAL**",7,2,1,1,2,2007,3,2,2,2010,20000,1666,21666
"01010301804069","010103088801804069",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,69,1,"**CONFIDENTIAL**",1,1,,2,11,2007,6,1,,,400,0,400
"01010500204025","010105088800204025",1,3921.96020507813,"01010500204","010105088800204",1,1,5,8,88,2,4,25,1,"**CONFIDENTIAL**",1,1,,2,1,2008,7,1,,,2000,0,2000
"01010600402112","010106088800402112",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,112,1,"**CONFIDENTIAL**",10,1,2,2,9,2007,6,2,9,2010,1500,300,1800
"01010700116081","010107010100116081",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,81,1,"**CONFIDENTIAL**",7,1,,5,1,2007,3,2,12,2009,10000,2340,12340
"01020100207092","010201088800207092",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,92,1,"**CONFIDENTIAL**",7,1,2,7,9,2007,6,2,9,2009,2500,350,2850
