"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s5cq00","hh_s5cq0a","hh_s5cq04","hh_s5cq05"
"01010101601116","010101088801601116",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,116,"A","Children 0-5 yea",0,0
"01010101601116","010101088801601116",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,116,"B","Children 6-15 ye",0,0
"01010101601116","010101088801601116",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,116,"C","Adults 16-65 yea",7,63
"01010101601116","010101088801601116",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,116,"D","Adults over 65 y",0,0
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,"A","Children 0-5 yea",2,2
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,"B","Children 6-15 ye",3,27
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,"C","Adults 16-65 yea",2,12
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,"D","Adults over 65 y",5,45
"01010201403031","010102088801403031",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,31,"A","Children 0-5 yea",0,0
"01010201403031","010102088801403031",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,31,"B","Children 6-15 ye",0,0
"01010201403031","010102088801403031",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,31,"C","Adults 16-65 yea",3,20
"01010201403031","010102088801403031",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,31,"D","Adults over 65 y",0,0
"01010201403046","010102088801403046",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,46,"A","Children 0-5 yea",0,0
"01010201403046","010102088801403046",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,46,"B","Children 6-15 ye",0,0
"01010201403046","010102088801403046",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,46,"C","Adults 16-65 yea",2,2
"01010201403046","010102088801403046",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,46,"D","Adults over 65 y",0,0
"01010201403061","010102088801403061",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,61,"A","Children 0-5 yea",0,0
"01010201403061","010102088801403061",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,61,"B","Children 6-15 ye",1,1
"01010201403061","010102088801403061",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,61,"C","Adults 16-65 yea",1,1
"01010201403061","010102088801403061",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,61,"D","Adults over 65 y",0,0
"01010201403106","010102088801403106",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,106,"A","Children 0-5 yea",0,0
"01010201403106","010102088801403106",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,106,"B","Children 6-15 ye",0,0
"01010201403106","010102088801403106",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,106,"C","Adults 16-65 yea",2,1
"01010201403106","010102088801403106",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,106,"D","Adults over 65 y",0,0
"01010201403136","010102088801403136",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,136,"A","Children 0-5 yea",0,0
"01010201403136","010102088801403136",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,136,"B","Children 6-15 ye",1,1
"01010201403136","010102088801403136",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,136,"C","Adults 16-65 yea",0,0
"01010201403136","010102088801403136",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,136,"D","Adults over 65 y",0,0
"01010300106112","010103010100106112",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,112,"A","Children 0-5 yea",0,0
"01010300106112","010103010100106112",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,112,"B","Children 6-15 ye",3,3
"01010300106112","010103010100106112",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,112,"C","Adults 16-65 yea",0,0
"01010300106112","010103010100106112",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,112,"D","Adults over 65 y",0,0
"01010300106136","010103010100106136",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,136,"A","Children 0-5 yea",7,14
"01010300106136","010103010100106136",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,136,"B","Children 6-15 ye",7,14
"01010300106136","010103010100106136",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,136,"C","Adults 16-65 yea",6,8
"01010300106136","010103010100106136",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,136,"D","Adults over 65 y",3,9
"01010301804034","010103088801804034",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,34,"A","Children 0-5 yea",2,2
"01010301804034","010103088801804034",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,34,"B","Children 6-15 ye",2,2
"01010301804034","010103088801804034",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,34,"C","Adults 16-65 yea",4,4
"01010301804034","010103088801804034",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,34,"D","Adults over 65 y",2,2
"01010301804051","010103088801804051",1,778.776794433594,"01010301804","010103088801804",1,1,3,8,88,18,4,51,"A","Children 0-5 yea",0,0
"01010301804051","010103088801804051",1,778.776794433594,"01010301804","010103088801804",1,1,3,8,88,18,4,51,"B","Children 6-15 ye",0,0
"01010301804051","010103088801804051",1,778.776794433594,"01010301804","010103088801804",1,1,3,8,88,18,4,51,"C","Adults 16-65 yea",2,6
"01010301804051","010103088801804051",1,778.776794433594,"01010301804","010103088801804",1,1,3,8,88,18,4,51,"D","Adults over 65 y",0,0
