"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s11q01","ph_s11q01b_1","ph_s11q01b_2","ph_s11q01c_1","ph_s11q01c_2","ph_s11q02_a","ph_s11q02_b","ph_s11q03_a","ph_s11q03_b","ph_s11q04","ph_s11q05_a","ph_s11q05_b","ph_s11q06_a","ph_s11q06_b","ph_s11q07","ph_s11q08","ph_s11q09","ph_s11q10a_1","ph_s11q10a_2","ph_s11q10_1","ph_s11q10_2","ph_s11q11_1","ph_s11q11_2","ph_s11q12_1","ph_s11q12_2","ph_s11q14_1","ph_s11q14_2","ph_s11q15_1","ph_s11q15_2","ph_s11q15_4","ph_s11q16_a","ph_s11q16_b","ph_s11q17","ph_s11q18","ph_s11q18_others","ph_s11q19_a","ph_s11q19_b","ph_s11q20_a","ph_s11q20_b","ph_s11q21_a","ph_s11q21_b","ph_s11q22_a","ph_s11q22_b","ph_s11q22_c","ph_s11q22_d","ph_s11q22_e","ph_s11q22_f","ph_s11q22_g","obs"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,"01010101601",1,1,1,16,1,2,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,12,181,0,,0,,0,,0,,0,,0,,,2,,,,,,,6,,100,0,0,0,0,0,100,1
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,"01010101601",1,1,1,16,1,2,1,"SORGHUM",6,1,1,,1,,"N01",,100,1,550,1,,5,2008,2,6,0,45,1,0,,0,,0,,8,181,0,,0,,,1,3,,2,3,1,,1,3,75,0,0,1,24,0,100,2
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,18,181,0,,0,,0,,6,181,0,,0,,,1,3,,6,181,5,,3,,67,0,0,33,0,0,100,1
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"MILLET",3,2,,,,,,,,,,,,,,,,,0,,0,,0,,0,,24,181,0,,0,,,1,3,,24,181,5,,1,3,50,0,0,50,0,0,100,2
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"SORGHUM",6,1,1,2,1,,"N01",,7,3,3850,1,2,4,2008,10,6,0,3,3,0,,0,,0,,1,3,0,,0,,,1,3,,19,3,5,,1,3,66,0,0,1,33,0,100,3
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"SESAME",27,1,1,2,1,,"N01",,100,1,1850,1,2,4,2008,2,6,0,0,,0,,0,,0,,0,,0,,0,,,2,,,,,,,6,,0,0,0,0,100,0,100,4
"0101010160104901","01010101601049","010101088801601049",1,2897.15502929688,"01010101601",1,1,1,16,1,49,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,2,181,0,,0,,0,,1,181,0,,0,,,1,3,,1,181,5,,3,1,75,0,0,25,0,0,100,1
"0101010160106401","01010101601064","010101088801601064",1,2897.15502929688,"01010101601",1,1,1,16,1,64,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,15,181,0,,0,,0,,1,181,0,,0,,,1,3,,4,181,5,,1,3,99,0,0,1,0,0,100,1
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,"01010101601",1,1,1,16,1,80,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,0,,0,,0,,0,,1,1,0,,0,,,1,3,,4,1,5,,3,1,89,0,0,11,0,0,100,2
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,"01010101601",1,1,1,16,1,80,1,"SESAME",27,2,,,,,,,,,,,,,,,,,0,,0,,0,,0,,1.5,1,0,,0,,,2,,,,,,,3,,0,0,0,100,0,0,100,1
"0101010160108701","01010101601087","010101088801601087",1,2445.65063476563,"01010101601",1,1,1,16,1,87,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,21,182,0,,0,,0,,3,182,0,,0,,,1,3,,24,182,5,,1,3,90,0,5,5,0,0,100,1
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,"01010101601",1,1,1,16,1,101,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,25,1,0,,0,,0,,1,1,0,,0,,,1,3,,14,1,5,,1,3,99,0,0,1,0,0,100,1
