"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s12q02_a","ph_s12q02_b","ph_s12q02_c","ph_s12q02_d","ph_s12q03_a","ph_s12q03_b","ph_s12q03b","ph_s12q04","ph_s12q05","ph_s12q06","ph_s12q07","ph_s12q0b","ph_s12q08","ph_s12q08a_1","ph_s12q08a_2","ph_s12q09_a","ph_s12q09_b","ph_s12q10a_1","ph_s12q10a_2","ph_s12q10","ph_s12q11","ph_s12q12","ph_s12q13","ph_s12q14","ph_s12q15a","ph_s12q15b","ph_s12q16","ph_s12q17","ph_s12q18","ph_s12q19_a","ph_s12q19_b","ph_s12q19_c","ph_s12q19_e","ph_s12q19_f","ph_s12q19_g","ph_s12q19_h","obs"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,"01010101601",1,1,1,16,1,2,1,"RED PEPPER",38,2008,1,2008,2,2,1,,2,,2,,,,,,,,2,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"RED PEPPER",38,2008,1,2008,2,24,181,,2,,2,,,,,,,,24,181,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,"01010101601",1,1,1,16,1,101,1,"RED PEPPER",38,2008,1,2008,3,1,82,,2,,2,,,,,,,,0.5,82,2,,,,1,0.5,82,4,1,5,100,0,0,0,0,0,100,1
"0101010160111601","01010101601116","010101088801601116",1,2897.15502929688,"01010101601",1,1,1,16,1,116,1,"RED PEPPER",38,2008,3,2008,3,1,121,,1,6,2,,,,,,,,0.5,121,2,,,,1,0.5,121,4,2,,99,1,0,0,0,0,100,1
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,"RED PEPPER",38,2007,12,2008,3,3,3,,2,,2,,,,,,,,1,83,2,,,,1,2,83,4,1,5,91,0,0,1,0,8,100,1
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"RED PEPPER",38,2007,11,2008,3,4,1,,1,6,2,,,,,,,,2,1,2,,,,1,2,1,4,2,,99,0,0,1,0,0,100,1
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,"01010201403",1,1,2,14,3,1,1,"RED PEPPER",38,2008,2,2008,3,1,121,,2,,2,,,,,,,,1,121,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140301101","01010201403011","010102088801403011",1,2492.767578125,"01010201403",1,1,2,14,3,11,1,"RED PEPPER",38,2008,2,2008,4,1,121,,1,4,2,,,,,,,,1,121,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140301101","01010201403011","010102088801403011",1,2492.767578125,"01010201403",1,1,2,14,3,11,1,"LEMONS",44,2007,6,2008,6,2,121,3,2,,1,2,121,200,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,2
"0101020140301101","01010201403011","010102088801403011",1,2492.767578125,"01010201403",1,1,2,14,3,11,1,"GESHO",75,2007,6,2008,6,3,123,7,2,,1,2.5,123,350,1,2,"N01",,0.5,123,2,,,,2,,,,,,5,0,0,0,95,0,100,3
"0101020140302601","01010201403026","010102088801403026",1,2492.767578125,"01010201403",1,1,2,14,3,26,1,"RED PEPPER",38,2008,2,2008,4,1,123,,1,4,2,,,,,,,,0.5,123,2,,,,1,0.5,123,1,2,,100,0,0,0,0,0,100,1
"0101020140303101","01010201403031","010102088801403031",1,2492.767578125,"01010201403",1,1,2,14,3,31,1,"RED PEPPER",38,2008,2,2008,4,1,123,,1,4,2,,,,,,,,1,123,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140303101","01010201403031","010102088801403031",1,2492.767578125,"01010201403",1,1,2,14,3,31,1,"LEMONS",44,2007,6,2008,6,1,123,1,2,,1,1,123,200,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,2
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,"01010201403",1,1,2,14,3,36,1,"RED PEPPER",38,2008,2,2008,4,1,122,,1,4,2,,,,,,,,1,122,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,"01010201403",1,1,2,14,3,46,1,"RED PEPPER",38,2008,1,2008,4,2,113,,1,4,2,,,,,,,,2,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,"01010201403",1,1,2,14,3,46,1,"GESHO",75,2007,8,2008,5,1,121,2,2,,2,,,,,,,,1,121,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,"RED PEPPER",38,2008,2,2008,4,2,83,,1,6,2,,,,,,,,2,83,2,,,,1,1,123,4,2,,95,0,0,5,0,0,100,1
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,"LEMONS",44,2007,7,2008,6,2,81,6,2,,1,1,81,300,1,2,"N02",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,3
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,"GESHO",75,2007,7,2008,5,4,82,10,2,,1,1,82,200,1,2,"N02",,3,83,2,,,,2,,,,,,25,0,0,0,75,0,100,2
"0101020140309101","01010201403091","010102088801403091",1,2492.767578125,"01010201403",1,1,2,14,3,91,1,"RED PEPPER",38,2008,1,2008,3,1,123,,1,4,2,,,,,,,,1,123,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140310601","01010201403106","010102088801403106",1,2492.767578125,"01010201403",1,1,2,14,3,106,1,"RED PEPPER",38,2008,2,2008,3,1,111,,1,4,2,,,,,,,,0.5,111,2,,,,1,0.5,111,4,2,,100,0,0,0,0,0,100,1
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"RED PEPPER",38,2008,2,2008,5,2,122,,1,4,2,,,,,,,,1,122,2,,,,1,1,122,4,2,,100,0,0,0,0,0,100,1
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"LEMONS",44,2007,3,2008,6,2,122,10,1,4,1,2,122,500,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,2
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"MANGOS",46,2007,4,2008,6,2,122,15,1,4,1,2,122,2000,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,4
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"SWEET POTATO",62,2008,2,2008,10,2,122,,2,,2,,,,,,,,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,6
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"GUAVA",65,2007,5,2008,7,2,122,6,1,4,1,2,122,150,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,5
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"GESHO",75,2007,2,2008,8,4,3,120,1,4,1,4,3,2500,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,3
"0101020140313601","01010201403136","010102088801403136",1,2492.767578125,"01010201403",1,1,2,14,3,136,1,"LEMONS",44,2007,7,2008,3,1,123,1,1,4,2,,,,,,,,1,123,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101020140313601","01010201403136","010102088801403136",1,2492.767578125,"01010201403",1,1,2,14,3,136,1,"GESHO",75,2007,9,2008,4,1,123,1,2,,2,,,,,,,,1,123,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0101030010600401","01010300106004","010103010100106004",2,1352.4267578125,"01010300106",1,1,3,1,6,4,1,"PAPAYA",48,2007,7,2007,7,1,1,1,1,4,2,,,,,,,,1,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030010605201","01010300106052","010103010100106052",2,1352.4267578125,"01010300106",1,1,3,1,6,52,1,"PAPAYA",48,2007,5,2007,7,8,1,2,2,,2,,,,,,,,8,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030010613601","01010300106136","010103010100106136",2,1352.4267578125,"01010300106",1,1,3,1,6,136,1,"GESHO",75,2007,6,2007,6,200,182,31,1,6,1,50,182,250,2,,"N01",,20,182,2,,,,1,110,182,4,2,,20,0,0,0,25,55,100,2
"0101030010613601","01010300106136","010103010100106136",2,1352.4267578125,"01010300106",1,1,3,1,6,136,1,"KAZMIR",112,2007,6,2007,6,3,1,3,2,,2,,,,,,,,3,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180400401","01010301804004","010103088801804004",1,3971.76220703125,"01010301804",1,1,3,18,4,4,1,"RED PEPPER",38,2008,3,2008,4,2,182,,1,6,2,,,,,,,,2,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180401901","01010301804019","010103088801804019",1,3971.76220703125,"01010301804",1,1,3,18,4,19,1,"RED PEPPER",38,2008,2,2008,4,4,182,,1,6,2,,,,,,,,4,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180403401","01010301804034","010103088801804034",1,3971.76220703125,"01010301804",1,1,3,18,4,34,1,"GESHO",75,2008,4,2008,4,1,182,6,1,6,2,,,,,,,,1,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180404901","01010301804049","010103088801804049",1,3971.76220703125,"01010301804",1,1,3,18,4,49,1,"RED PEPPER",38,2008,3,2008,4,6,182,,1,6,2,,,,,,,,4,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,"01010301804",1,1,3,18,4,69,1,"RED PEPPER",38,2008,3,2008,3,2,182,,1,6,2,,,,,,,,1,182,2,,,,1,1,182,5,1,5,100,0,0,0,0,0,100,2
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,"01010301804",1,1,3,18,4,69,1,"GARLIC",55,2008,3,2008,4,1,1,,1,6,2,,,,,,,,1,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180410001","01010301804100","010103088801804100",1,3971.76220703125,"01010301804",1,1,3,18,4,100,1,"RED PEPPER",38,2008,3,2008,3,5,182,,1,6,2,,,,,,,,3,182,2,,,,1,2,182,5,2,,100,0,0,0,0,0,100,1
"0101030180411501","01010301804115","010103088801804115",1,3971.76220703125,"01010301804",1,1,3,18,4,115,1,"RED PEPPER",38,2008,2,2008,2,4,182,,2,,2,,,,,,,,4,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101030180411501","01010301804115","010103088801804115",1,3971.76220703125,"01010301804",1,1,3,18,4,115,1,"LEMONS",44,2008,1,2008,1,2,2,1,2,,2,,,,,,,,2,2,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0101030180411501","01010301804115","010103088801804115",1,3971.76220703125,"01010301804",1,1,3,18,4,115,1,"GESHO",75,2008,1,2008,1,1,122,6,2,,2,,,,,,,,1,122,2,,,,2,,,,,,100,0,0,0,0,0,100,3
"0101030180414501","01010301804145","010103088801804145",1,3971.76220703125,"01010301804",1,1,3,18,4,145,1,"GESHO",75,2008,3,2008,4,1,121,3,1,3,2,,,,,,,,1,121,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101050020402501","01010500204025","010105088800204025",1,3921.96020507813,"01010500204",1,1,5,2,4,25,1,"RED PEPPER",38,2007,12,2008,1,30,182,,1,6,2,,,,,,,,20,182,2,,,,1,10,182,4,2,,50,0,0,0,0,50,100,1
"0101050020404901","01010500204049","010105088800204049",1,3921.96020507813,"01010500204",1,1,5,2,4,49,1,"RED PEPPER",38,2007,12,2008,1,15,182,,1,6,2,,,,,,,,4,182,2,,,,2,,,,,,90,0,0,0,0,10,100,1
"0101050020407301","01010500204073","010105088800204073",1,3921.96020507813,"01010500204",1,1,5,2,4,73,1,"RED PEPPER",38,2007,12,2008,1,7,182,,1,6,2,,,,,,,,4,182,2,,,,1,3,182,4,2,,90,0,0,0,0,10,100,1
"0101050020421701","01010500204217","010105088800204217",1,3921.96020507813,"01010500204",1,1,5,2,4,217,1,"RED PEPPER",38,2007,13,2008,1,15,182,,1,6,2,,,,,,,,2,182,2,,,,1,10,182,4,2,,95,0,0,0,0,5,100,1
"0101060040200201","01010600402002","010106088800402002",1,3426.1669921875,"01010600402",1,1,6,4,2,2,1,"RED PEPPER",38,2008,2,2008,2,20,182,,1,6,2,,,,,,,,20,182,2,,,,2,,,,,,95,0,0,5,0,0,100,1
"0101060040202101","01010600402021","010106088800402021",1,3426.1669921875,"01010600402",1,1,6,4,2,21,1,"RED PEPPER",38,2008,1,2008,3,10,182,,2,,2,,,,,,,,10,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101060040203901","01010600402039","010106088800402039",1,3426.1669921875,"01010600402",1,1,6,4,2,39,1,"RED PEPPER",38,2008,1,2008,2,3,181,,1,6,2,,,,,,,,3,181,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0101060040205701","01010600402057","010106088800402057",1,3426.1669921875,"01010600402",1,1,6,4,2,57,1,"RED PEPPER",38,2008,1,2008,3,30,182,,1,6,2,,,,,,,,30,182,2,,,,2,,,,,,100,0,0,0,0,0,100,1
