"holder_id","household_id","household_id2","rural","pw_w3","parcel_id","field_id","crop_code","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s9q00","ph_s9q0a","ph_s9q01_a","ph_s9q01_b","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","obs"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,1,2,2,"01010101601",1,1,1,16,1,2,1,1,2,"MAIZE",2,4,2,1,340,19,2,1,250,1
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,1,2,2,"01010101601",1,1,1,16,1,17,1,1,2,"MAIZE",2,5,2,0,420,20,2,0,410,1
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,1,4,3,"01010101601",1,1,1,16,1,17,1,1,4,"MILLET",3,22,2,0,360,7,3,0,340,2
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,2,1,6,"01010101601",1,1,1,16,1,17,1,2,1,"SORGHUM",6,30,2,1,50,15,3,1,30,3
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,1,4,2,"01010101601",1,1,1,16,1,80,1,1,4,"MAIZE",2,8,2,0,700,23,2,0,600,1
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,1,2,2,"01010101601",1,1,1,16,1,101,1,1,2,"MAIZE",2,15,2,1,50,30,2,0,960,1
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,1,3,6,"01010101601",1,1,1,16,1,101,1,1,3,"SORGHUM",6,10,3,2,370,25,3,2,350,2
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,1,4,3,"01010101601",1,1,1,16,1,101,1,1,4,"MILLET",3,15,2,0,630,30,2,0,620,3
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,2,1,6,"01010101601",1,1,1,16,1,101,1,2,1,"SORGHUM",6,13,3,2,0,28,3,1,980,4
"0101010160111601","01010101601116","010101088801601116",1,2897.15502929688,1,2,2,"01010101601",1,1,1,16,1,116,1,1,2,"MAIZE",2,10,2,1,310,25,2,1,230,1
"0101010160111601","01010101601116","010101088801601116",1,2897.15502929688,2,1,3,"01010101601",1,1,1,16,1,116,1,2,1,"MILLET",3,15,2,0,720,30,2,0,700,2
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,1,4,2,"01010101601",1,1,1,16,1,131,2,1,4,"MAIZE",2,18,2,2,170,3,3,2,100,1
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,2,1,3,"01010101601",1,1,1,16,1,131,2,2,1,"MILLET",3,22,2,1,0,7,3,0,880,2
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,3,1,3,"01010101601",1,1,1,16,1,131,2,3,1,"MILLET",3,25,2,0,870,10,3,0,860,3
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,1,5,3,"01010101601",1,1,1,16,1,146,1,1,5,"MILLET",3,25,2,0,700,10,3,0,690,1
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,1,7,1,"01010201403",1,1,2,14,3,1,1,1,7,"BARLEY",1,13,2,1,150,28,2,1,130,2
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,1,8,23,"01010201403",1,1,2,14,3,1,1,1,8,"LINESEED",23,13,2,1,250,28,2,1,200,3
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,4,1,7,"01010201403",1,1,2,14,3,1,1,4,1,"TEFF",7,8,3,1,200,23,3,1,180,1
