"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_snrq00","ph_snrq01","ph_snrq02","ph_snrq03","obs"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,"01010101601",1,1,1,16,1,2,1,"N01","YEGL NEGADE WEYM YEAKABABI",11,2,1
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,"01010101601",1,1,1,16,1,17,1,"N01","YEGL NEGADE WEYM YEAKABABI",11,2,1
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,"01010101601",1,1,1,16,1,101,1,"N01","YEGL NEGADE",11,1,1
"0101010160111601","01010101601116","010101088801601116",1,2897.15502929688,"01010101601",1,1,1,16,1,116,1,"N01","GEBEYA",12,2,1
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,"N01","GEBEYA",1,1,1
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"N01","YEGL NEGADE",11,1,1
"0101020140301101","01010201403011","010102088801403011",1,2492.767578125,"01010201403",1,1,2,14,3,11,1,"N01","BEWANA GEBYA YEGL NEGADE",14,3,1
"0101020140301601","01010201403016","010102088801403016",1,2492.767578125,"01010201403",1,1,2,14,3,16,1,"N01","BEWANA GEBYA YEGA NEGADE",14,3,1
"0101020140303101","01010201403031","010102088801403031",1,2492.767578125,"01010201403",1,1,2,14,3,31,1,"N01","BEWANA GEBYA YEGL NEGADE",14,3,1
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,"01010201403",1,1,2,14,3,36,1,"N01","BEWANAW GEBYA YEGL NEGADE",14,3,1
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,"01010201403",1,1,2,14,3,36,1,"N02","WANA GEBYA",13,2,2
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,"01010201403",1,1,2,14,3,36,1,"N03","YEAKABABI GEBYA",10,2,3
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,"01010201403",1,1,2,14,3,46,1,"N01","WANA GEBYA",13,3,1
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,"N01","BEWANAW GEBYA YEGL NEGADE",14,3,1
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,"01010201403",1,1,2,14,3,61,1,"N02","WANA GEBYA",13,3,2
"0101020140309101","01010201403091","010102088801403091",1,2492.767578125,"01010201403",1,1,2,14,3,91,1,"N01","BEWANA GEBYA YEGL NEGADE",14,5,1
"0101020140310601","01010201403106","010102088801403106",1,2492.767578125,"01010201403",1,1,2,14,3,106,1,"N01","BEWANA GEBYA YEGL NEGADE",14,3,1
"0101020140312101","01010201403121","010102088801403121",1,2492.767578125,"01010201403",1,1,2,14,3,121,1,"N01","WANA GEBYA YEGL NEGADE",14,3,1
"0101030010613601","01010300106136","010103010100106136",2,1352.4267578125,"01010300106",1,1,3,1,6,136,1,"N01","YAKABABI GEBEYA",10,2,1
"0101050020404901","01010500204049","010105088800204049",1,3921.96020507813,"01010500204",1,1,5,2,4,49,1,"N01","GIDEY GOYTOAOM",11,1,1
"0101050020407301","01010500204073","010105088800204073",1,3921.96020507813,"01010500204",1,1,5,2,4,73,1,"N01","YEGL NEGADE",11,2,1
"0101050020414501","01010500204145","010105088800204145",1,3921.96020507813,"01010500204",1,1,5,2,4,145,1,"N01","BEWANAWE GBEYA YEGL NEGADE",14,2,1
"0101050020416901","01010500204169","010105088800204169",1,3921.96020507813,"01010500204",1,1,5,2,4,169,1,"N01","GIDEY GOYTOAOM,",11,1,1
"0101060040202101","01010600402021","010106088800402021",1,3426.1669921875,"01010600402",1,1,6,4,2,21,1,"N01","WANA GEBEYA",13,3,1
"0101060040202101","01010600402021","010106088800402021",1,3426.1669921875,"01010600402",1,1,6,4,2,21,1,"N02","BEWANAW GEBEYA YEGL NEGADE",14,3,2
"0101060040203901","01010600402039","010106088800402039",1,3426.1669921875,"01010600402",1,1,6,4,2,39,1,"N01","NGSTI HAFTE",8,1,1
"0101060040203901","01010600402039","010106088800402039",1,3426.1669921875,"01010600402",1,1,6,4,2,39,1,"N02","WANA GEBEYA",13,3,2
"0101060040205701","01010600402057","010106088800402057",1,3426.1669921875,"01010600402",1,1,6,4,2,57,1,"N01","BEWANA GEBEYA",13,3,1
"0101060040205701","01010600402057","010106088800402057",1,3426.1669921875,"01010600402",1,1,6,4,2,57,1,"N02","BEWANA GEBEYAW YEGL NEGADE",14,3,2
"0101060040207501","01010600402075","010106088800402075",1,3426.1669921875,"01010600402",1,1,6,4,2,75,1,"N01","MENGED DAR",8,2,1
"0101060040207501","01010600402075","010106088800402075",1,3426.1669921875,"01010600402",1,1,6,4,2,75,1,"N02","WANA GEBEYA",13,3,2
"0101060040207501","01010600402075","010106088800402075",1,3426.1669921875,"01010600402",1,1,6,4,2,75,1,"N03","YEGL NEGADE",11,3,3
"0101060040207501","01010600402075","010106088800402075",1,3426.1669921875,"01010600402",1,1,6,4,2,75,1,"N04","WANA GEBEYA",13,3,4
"0101060040211201","01010600402112","010106088800402112",1,3426.1669921875,"01010600402",1,1,6,4,2,112,1,"N01","WANA GEBEYA",13,3,1
"0101060040211201","01010600402112","010106088800402112",1,3426.1669921875,"01010600402",1,1,6,4,2,112,1,"N02","MENGED DER",8,1,2
"0101060040213001","01010600402130","010106088800402130",1,3426.1669921875,"01010600402",1,1,6,4,2,130,1,"N01","BEWANAW GEBEYA YEGL NEGADE",14,3,1
"0101060040213001","01010600402130","010106088800402130",1,3426.1669921875,"01010600402",1,1,6,4,2,130,1,"N02","WANA GEBEYA",13,3,2
"0101060040214801","01010600402148","010106088800402148",1,3426.1669921875,"01010600402",1,1,6,4,2,148,1,"N01","YEGL NEGADE",11,3,1
"0101060040214801","01010600402148","010106088800402148",1,3426.1669921875,"01010600402",1,1,6,4,2,148,1,"N02","BEWANA GEBEYA",13,3,2
"0101060040214801","01010600402148","010106088800402148",1,3426.1669921875,"01010600402",1,1,6,4,2,148,1,"N03","MENGED DER",8,2,3
"0101060040216701","01010600402167","010106088800402167",1,3426.1669921875,"01010600402",1,1,6,4,2,167,1,"N01","WANA GEBEYA",13,3,1
"0101060040216701","01010600402167","010106088800402167",1,3426.1669921875,"01010600402",1,1,6,4,2,167,1,"N02","YEAKABABI GEBEYA",10,3,2
"0102010020702701","01020100207027","010201088800207027",1,3320.48193359375,"01020100207",1,2,1,2,7,27,1,"N01","WANA GEBYA",13,3,1
"0102020080200201","01020200802002","010202088800802002",1,3558.80615234375,"01020200802",1,2,2,8,2,2,1,"N01","ENTCHO",13,4,1
"0102020080204801","01020200802048","010202088800802048",1,3558.80615234375,"01020200802",1,2,2,8,2,48,1,"N01","ENTECHO",13,4,1
"0102020080206301","01020200802063","010202088800802063",1,3558.80615234375,"01020200802",1,2,2,8,2,63,1,"N01","DEBDEBO",10,2,1
"0102020080207801","01020200802078","010202088800802078",1,3558.80615234375,"01020200802",1,2,2,8,2,78,1,"N01","ENTECHO",13,4,1
"0102020080212001","01020200802120","010202088800802120",1,397.631958007813,"01020200802",1,2,2,8,2,120,1,"N01","DEBDEBO",10,2,1
"0102020080213901","01020200802139","010202088800802139",1,3558.80615234375,"01020200802",1,2,2,8,2,139,1,"N01","DEBDEBO GEBYA",10,2,1
"0102030100100201","01020301001002","010203088801001002",1,3237.32836914063,"01020301001",1,2,3,10,1,2,1,"N01","YAKEBABI YGEL NEGAD",11,2,1
"0102030100101701","01020301001017","010203088801001017",1,3237.32836914063,"01020301001",1,2,3,10,1,17,1,"N01","YAKEBABI YGEL NEGAD",11,3,1
"0102030100103201","01020301001032","010203088801001032",1,3237.32836914063,"01020301001",1,2,3,10,1,32,1,"N01","YAKEBABI YGEL NEGADE",11,2,1
"0102030100106201","01020301001062","010203088801001062",1,3237.32836914063,"01020301001",1,2,3,10,1,62,1,"N01","YAKEBABI GEBEYA",10,2,1
"0102030100106201","01020301001062","010203088801001062",1,3237.32836914063,"01020301001",1,2,3,10,1,62,1,"N02","YGEL NEGAD",11,3,2
"0102030100111101","01020301001111","010203088801001111",1,3237.32836914063,"01020301001",1,2,3,10,1,111,1,"N01","YAKEBABW YGEL NEGAD",11,2,1
"0102030100111101","01020301001111","010203088801001111",1,3237.32836914063,"01020301001",1,2,3,10,1,111,1,"N02","YAKEBABIW MAHEBRSW",33,2,2
"0102030100115201","01020301001152","010203088801001152",1,1126.91821289063,"01020301001",1,2,3,10,1,152,1,"N01","YAKEBABIW MAHEBRSH",33,2,1
"0102040170200201","01020401702002","010204088801702002",1,4059.95434570313,"01020401702",1,2,4,17,2,2,1,"N01","WANA GEBYA",13,4,1
"0102040170201801","01020401702018","010204088801702018",1,4059.95434570313,"01020401702",1,2,4,17,2,18,1,"N01","ADWA KETMA GEBYA",13,4,1
"0102040170203301","01020401702033","010204088801702033",1,4059.95434570313,"01020401702",1,2,4,17,2,33,1,"N01","YKEBLEW GEBYA",10,4,1
"0102040170204801","01020401702048","010204088801702048",1,4059.95434570313,"01020401702",1,2,4,17,2,48,1,"N01","ADEWA KETMA GEBYA",13,4,1
"0102040170204801","01020401702048","010204088801702048",1,4059.95434570313,"01020401702",1,2,4,17,2,48,1,"N02","YGEL NEGAD",12,1,2
"0102040170207801","01020401702078","010204088801702078",1,4059.95434570313,"01020401702",1,2,4,17,2,78,1,"N01","WANA GEBYA    ADWA",13,4,1
"0102040170209301","01020401702093","010204088801702093",1,4059.95434570313,"01020401702",1,2,4,17,2,93,1,"N01","WANA GEBEYA",13,2,1
"0102040170210801","01020401702108","010204088801702108",1,4059.95434570313,"01020401702",1,2,4,17,2,108,1,"N01","YWERDA KETMA ADWA GEBYA",11,4,1
"0102060130109701","01020601301097","010206088801301097",1,3835.10131835938,"01020601301",1,2,6,13,1,97,1,"N01","YAKBABI GEBYA",10,2,1
"0102070010108701","01020700101087","010207010100101087",2,2459.8681640625,"01020700101",1,2,7,1,1,87,1,"N01","BWANA GEBYAW  YGEL NEGAD",14,4,1
"0103030060502701","01030300605027","010303088800605027",1,2445.58471679688,"01030300605",1,3,3,6,5,27,1,"N01","WANA GEBYA",13,3,1
"0103030060507801","01030300605078","010303088800605078",1,2445.58471679688,"01030300605",1,3,3,6,5,78,1,"N01","GOREBET",2,1,1
"0103030060513101","01030300605131","010303088800605131",1,2445.58471679688,"01030300605",1,3,3,6,5,131,1,"N01","YAKEBABI GEBYA",10,3,1
"0103040010110401","01030400101104","010304088800101104",1,2473.31469726563,"01030400101",1,3,4,1,1,104,1,"N01","YAKEBABI GEBEYA",10,2,1
"0103040010112002","01030400101120","010304088800101120",1,2473.31469726563,"01030400101",1,3,4,1,1,120,2,"N01","YAKEBABI GEBYA",10,3,1
"0103050120200101","01030501202001","010305088801202001",1,1774.88024902344,"01030501202",1,3,5,12,2,1,1,"N01","WANA GEBEYA",13,4,1
"0103050120203601","01030501202036","010305088801202036",1,1774.88024902344,"01030501202",1,3,5,12,2,36,1,"N01","YEAKEBABI NEGADE",10,4,1
"0103050120206501","01030501202065","010305088801202065",1,1774.88024902344,"01030501202",1,3,5,12,2,65,1,"N01","GOREBET /G/MESKEL",2,4,1
"0103050120208601","01030501202086","010305088801202086",1,1774.88024902344,"01030501202",1,3,5,12,2,86,1,"N01","YEAKEBABI NEGADE",11,4,1
"0103050120208601","01030501202086","010305088801202086",1,1774.88024902344,"01030501202",1,3,5,12,2,86,1,"N02","GOREBETOCH",8,1,2
"0103050120213001","01030501202130","010305088801202130",1,1774.88024902344,"01030501202",1,3,5,12,2,130,1,"N01","YEAKEBABI GEBEYA",10,4,1
"0103050120215201","01030501202152","010305088801202152",1,1774.88024902344,"01030501202",1,3,5,12,2,152,1,"N01","WANA GEBEYA",13,4,1
"0103050120217401","01030501202174","010305088801202174",1,1774.88024902344,"01030501202",1,3,5,12,2,174,1,"N01","WANA GEBEYA",13,4,1
"0103060060813301","01030600608133","010306088800608133",1,1562.90051269531,"01030600608",1,3,6,6,8,133,1,"N01","WANA GEBEYA",13,4,1
"0103060060817401","01030600608174","010306088800608174",1,1562.90051269531,"01030600608",1,3,6,6,8,174,1,"N01","WANA GEBEYA",13,4,1
"0103060060819601","01030600608196","010306088800608196",1,1562.90051269531,"01030600608",1,3,6,6,8,196,1,"N01","WANA GEBEYA",13,4,1
"0103070070904301","01030700709043","010307088800709043",1,2441.37475585938,"01030700709",1,3,7,7,9,43,1,"N01","WANA GEBEYA",13,4,1
"0103070070907901","01030700709079","010307088800709079",1,2441.37475585938,"01030700709",1,3,7,7,9,79,1,"N01","WANA GEBWYA",13,4,1
"0103070070909701","01030700709097","010307088800709097",1,2441.37475585938,"01030700709",1,3,7,7,9,97,1,"N01","WANA GEBEYA",13,4,1
"0103070070909701","01030700709097","010307088800709097",1,2441.37475585938,"01030700709",1,3,7,7,9,97,1,"N02","WANA GEBEYA",13,4,2
"0103070070909701","01030700709097","010307088800709097",1,2441.37475585938,"01030700709",1,3,7,7,9,97,1,"N03","YEGL NEGADE",11,4,3
"0103070070911501","01030700709115","010307088800709115",1,2441.37475585938,"01030700709",1,3,7,7,9,115,1,"N01","WANA GEBEYA",13,4,1
"0103070070917101","01030700709171","010307088800709171",1,2441.37475585938,"01030700709",1,3,7,7,9,171,1,"N01","WANA GEBRYA",13,4,1
"0103070070917101","01030700709171","010307088800709171",1,2441.37475585938,"01030700709",1,3,7,7,9,171,1,"N02","WANA GEBEYA",13,4,2
