"holder_id","household_id","household_id2","rural","pw_w3","crop_code","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s5q0a","pp_s5q00","pp_s5q01","pp_s5q01b","pp_s5q02","pp_s5q03","pp_s5q04_a","pp_s5q04_b","pp_s5q05_a","pp_s5q05_b","pp_s5q06","pp_s5q07","pp_s5q08","pp_s5q09","pp_s5q10","pp_s5q11","pp_s5q12_a","pp_s5q12_b","pp_s5q13","pp_s5q14_a","pp_s5q14_b","pp_s5q15_a","pp_s5q15_b","pp_s5q16","pp_s5q17","pp_s5q18_a","pp_s5q18_b","pp_s5q19_a","pp_s5q19_b","obs","STRUCTURE_ERROR","hh_saq01","hh_saq02","hh_saq03","hh_saq04","hh_saq05","hh_saq06","hh_saq07","hh_saq08"
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,2,"01010101601",1,1,1,16,1,2,1,"MAIZE",2,1,,3,2,,,,,,,,,,,,,2,,,,,,1,0,500,0,500,1,,1,1,1,8,88,16,1,2
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,6,"01010101601",1,1,1,16,1,2,1,"SORGHUM",6,1,,3,2,,,,,,,,,,,,,2,,,,,,1,8,0,8,0,3,,1,1,1,8,88,16,1,2
"0101010160100201","01010101601002","010101088801601002",1,2897.15502929688,38,"01010101601",1,1,1,16,1,2,1,"RED PEPPER",38,1,,3,2,,,,,,,,,,,,,2,,,,,,1,0,0,0,0,2,,1,1,1,8,88,16,1,2
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,2,"01010101601",1,1,1,16,1,17,1,"MAIZE",2,1,,3,2,,,,,,,,,,,,,2,,,,,,1,2,0,2,0,1,,1,1,1,8,88,16,1,17
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,3,"01010101601",1,1,1,16,1,17,1,"MILLET",3,1,,3,2,,,,,,,,,,,,,2,,,,,,1,2,0,2,0,3,,1,1,1,8,88,16,1,17
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,6,"01010101601",1,1,1,16,1,17,1,"SORGHUM",6,1,,3,2,,,,,,,,,,,,,2,,,,,,1,80,0,80,0,4,,1,1,1,8,88,16,1,17
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,27,"01010101601",1,1,1,16,1,17,1,"SESAME",27,1,,3,2,,,,,,,,,,,,,2,,,,,,1,3,0,3,0,5,,1,1,1,8,88,16,1,17
"0101010160101701","01010101601017","010101088801601017",1,2897.15502929688,38,"01010101601",1,1,1,16,1,17,1,"RED PEPPER",38,1,,3,2,,,,,,,,,,,,,2,,,,,,1,0,500,0,500,2,,1,1,1,8,88,16,1,17
"0101010160104901","01010101601049","010101088801601049",1,2897.15502929688,2,"01010101601",1,1,1,16,1,49,1,"MAIZE",2,1,,2,2,,,,,,,,,,,,,1,0,400,"N1",,0,2,,,0,400,1,,1,1,1,8,88,16,1,49
"0101010160106401","01010101601064","010101088801601064",1,2897.15502929688,2,"01010101601",1,1,1,16,1,64,1,"MAIZE",2,1,,3,2,,,,,,,,,,,,,2,,,,,,1,1,0,1,0,1,,1,1,1,8,88,16,1,64
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,2,"01010101601",1,1,1,16,1,80,1,"MAIZE",2,1,,3,2,,,,,,,,,,,,,1,2,0,"N3",,0,2,,,2,0,2,,1,1,1,8,88,16,1,80
"0101010160108001","01010101601080","010101088801601080",1,2897.15502929688,27,"01010101601",1,1,1,16,1,80,1,"SESAME",27,1,,3,2,,,,,,,,,,,,,1,0,500,"N3",,0,2,,,0,500,1,,1,1,1,8,88,16,1,80
"0101010160108701","01010101601087","010101088801601087",1,2445.65063476563,2,"01010101601",1,1,1,16,1,87,1,"MAIZE",2,1,,3,1,"N1",,1,0,1,0,4,1,,,,,2,,,,,,2,,,1,0,1,,1,1,1,8,88,16,1,87
"0101010160110101","01010101601101","010101088801601101",1,2897.15502929688,2,"01010101601",1,1,1,16,1,101,1,"MAIZE",2,1,,3,2,,,,,,,,,,,,,2,,,,,,1,1,0,1,0,1,,1,1,1,8,88,16,1,101
