"ea_id","ea_id2","household_id2","water_id","ess3_saq01","saq01","saq02","saq03","saq06","saq07","pw_w3","wq_c04","wq_a01","wq_a02","wq_a02_other","wq_a03","wq_a04","wq_a04_other","wq_a04b","wq_a05","wq_a05_oth","wq_a06","wq_a06b","wq_a07","wq_a08a","wq_a08b","wq_a08b_other","wq_a09","wq_a10a","wq_a10b","wq_a11","wq_a12","wq_a13_hour","wq_a13_minute","wq_a13_dayNight","wq_a14","wq_a15","wq_a16","wq_a18","wq_a20","wq_a21","wq_a22","wq_a23","wq_a24_hour","wq_a24_minute","wq_a24_dayNight","wq_a25","wq_a26","wq_a26_oth","wq_a27","wq_b01","wq_b02","wq_b03","wq_b04","wq_b05","wq_b06","wq_b07","wq_b08","wq_b09","wq_b10","wq_b11","wq_b12","wq_b13","wq_b14","wq_b15","wq_b16","wq_b17","wq_b18","wq_b19","wq_b20","wq_b21","wq_b22","wq_a1_hour","wq_addlblank","wq_b05_adj","wq_b06_adj","wq_b10_adj","wq_b15_adj","wq_b16_adj","barcode","hhpart","srcpart","h20fetch_HHtottime","h20fetch_trips","labElectricalConductivityµScm","labTotalIronmglFe2Fe","labTotalHardnessmglCaCO3","labFluoridemglF","labNo"
"01010101601","010101088801601","010101088801601002",1001,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,2,8,,4,2,1,1,1,,1,1,,2,1,9,25,1,,2,,,,,,,,,,1002,,,,1,"wq_b02.jpg",0,0,36,95,,,,,1,"wq_b12.jpg",83,64,101,101,,,,,,,,,36,95,,101,101,,1,,0,0,,,,,
"01010101601","010101088801601","010101088801601017",1002,1,1,1,1,16,1,2897.15502929688,1,1,,,1,8,,2,8,,4,2,1,1,1,,1,1,,2,1,9,25,1,,1,"wq_a16.jpg",1,1,,480,3,9,25,1,,,,,1,"wq_b02.jpg",68,9,101,101,,,,,1,"wq_b12.jpg",83,64,101,101,,,,,,,,,101,101,,101,101,"00001969",1,0.5,40,1,147,0.520850002765656,76,0.459322810173035,1624
"01010101601","010101088801601","010101088801601034",1003,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,2,4,,4,2,2,2,,,1,1,,2,1,9,25,1,,1,"wq_a16.jpg",2,1,,0.72,1,9,25,1,,,,,1,"wq_b02.jpg",26,0,101,101,,,,,1,"wq_b12.jpg",0,0,0,3,,,,,,,,,101,101,,0,3,"00001990",1,1,0,0,692,0.260430008172989,304,1.19466841220856,1625
"01010101601","010101088801601","010101088801601049",1004,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,1,4,,4,2,2,2,,,1,1,,2,1,9,25,1,,2,,,,,,,,,,1003,,,,1,"wq_b02.jpg",39,0,101,101,,,,,1,"wq_b12.jpg",0,0,0,3,,,,,,,,,101,101,,0,3,,1,,350,2,,,,,
"01010101601","010101088801601","010101088801601064",1005,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,1,4,,4,2,2,2,,,1,1,,1,1,9,25,1,,2,,,,,,,,,,1003,,,1,1,"wq_b02.jpg",0,0,32,15,,,,,1,"wq_b12.jpg",0,0,0,3,1,"wq_b18.jpg",0,0,0,0,,,32,15,,0,3,,1,,0,0,,,,,
"01010101601","010101088801601","010101088801601080",1006,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,2,4,,4,2,2,2,,,1,1,,2,1,9,25,1,,2,,,,,,,,,,1003,,,,1,"wq_b02.jpg",101,5,101,101,,,,,1,"wq_b12.jpg",0,0,0,3,,,,,,,,,101,101,,0,3,,1,,180,1,,,,,
"01010101601","010101088801601","010101088801601087",1007,1,1,1,1,16,1,2445.65063476563,1,1,,,2,,,2,4,,4,2,2,2,,,1,1,,2,1,9,25,1,,2,,,,,,,,,,1003,,,,1,"wq_b02.jpg",2,0,101,45,,,,,1,"wq_b12.jpg",0,0,0,3,,,,,,,,,101,45,,0,3,,1,,60,2,,,,,
"01010101601","010101088801601","010101088801601101",1008,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,2,4,,4,2,2,2,,,1,1,,1,1,7,10,1,,1,"wq_a16.jpg",1,1,,0.5,1,7,10,1,,,,,1,"wq_b02.jpg",55,2,101,50,,,,,1,"wq_b12.jpg",0,0,9,7,,,,,,,,,101,50,,9,7,"00002032",1,1,75,1,586,0.390639990568161,300,0.749004423618317,1626
"01010101601","010101088801601","010101088801601116",1009,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,3,4,,4,2,1,1,1,,1,1,,2,1,7,10,1,,1,"wq_a16.jpg",1,1,,1.1,1,7,10,1,,,,,1,"wq_b02.jpg",39,0,101,101,,,,,1,"wq_b12.jpg",4,0,101,6,,,,,,,,,101,101,,101,6,"00001045",1,1,120,2,609,0.520850002765656,276,0.921699225902557,1627
"01010101601","010101088801601","010101088801601131",1010,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,1,6,,4,2,2,2,,,1,1,,2,1,7,45,1,,1,"wq_a16.jpg",1,1,,21.7,1,7,45,1,,,,,1,"wq_b02.jpg",101,101,101,101,,,,,1,"wq_b12.jpg",101,11,101,101,,,,,,,,,101,101,,101,101,"00002557",1,1,240,3,707,0.390639990568161,240,1.3729339838028,1628
"01010101601","010101088801601","010101088801601146",1011,1,1,1,1,16,1,2897.15502929688,1,1,,,2,,,1,5,,4,2,2,2,,,1,1,1,2,1,7,45,1,,2,,,,,,,,,,1010,,,,1,"wq_b02.jpg",101,12,101,101,1,"wq_b08.jpg",101,101,1,"wq_b12.jpg",101,11,101,101,,,,,,,,,101,101,101,101,101,,1,,105,2,,,,,
"01010201403","010102088801403","010102088801403001",1012,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,7,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1014,,,,1,"wq_b02.jpg",101,1,101,53,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,53,,101,43,,1,,15,1,,,,,
"01010201403","010102088801403","010102088801403011",1013,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,7,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1014,,,,1,"wq_b02.jpg",6,0,101,20,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,20,,101,43,,1,,30,2,,,,,
"01010201403","010102088801403","010102088801403016",1014,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,2,7,,4,1,2,2,,,1,1,,1,1,1,15,2,,1,"wq_a16.jpg",1,1,,1.68,1,1,15,2,,,,,1,"wq_b02.jpg",47,26,101,101,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,101,,101,43,"00000099",1,1,15,1,579,0.204019993543625,351.75,0.668559789657593,1323
"01010201403","010102088801403","010102088801403026",1015,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,7,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1014,,,,1,"wq_b02.jpg",16,0,101,20,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,20,,101,43,,1,,30,1,,,,,
"01010201403","010102088801403","010102088801403031",1016,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,1,"wq_a16.jpg",1,1,,4.39,1,1,15,2,,,,2,1,"wq_b02.jpg",101,16,101,101,,,,,1,"wq_b12.jpg",101,24,101,101,1,"wq_b18.jpg",0,0,0,0,,,101,101,,101,101,"00000434",1,1,62,3,359,0.204019993543625,225.12,0.297071814537048,1324
