unique_q_number,variable_name
1,region1
1,region2
1,region4
1,region5
2,hh_size1
2,hh_size2
3,hhead_hproblem1
4,hhead_medassist1
5,hhead_readwrite1
6,hhead_attended1
7,hhead_maxgrade1
8,hhead_sex1
9,hhead_age1
10,hhead_maritals1
11,hh_readwrite1
12,hh_attended1
13,hh_hproblem1
14,hh_medassist1
15,consumed011
16,consumed021
17,consumed031
18,consumed041
19,consumed051
20,consumed071
21,consumed081
22,consumed111
23,consumed151
24,consumed161
25,consumed171
26,consumed181
27,consumed201
28,consumed211
29,consumed261
30,consumed271
31,consumed281
32,consumed321
33,purchased031
34,purchased051
35,purchased071
36,purchased081
37,purchased091
38,purchase051
39,purchase061
40,purchase081
41,hh_fs11
42,hh_fs2a1
43,hh_fs2b1
44,hh_fs2c1
45,hh_fs2d1
46,hh_fs60
46,hh_fs61
47,hh_status1
48,hh_rooms1
49,hh_walls1
50,hh_roof1
51,hh_floor1
52,hh_kitchen1
53,hh_oventype1
54,hh_toilet1
55,hh_toiletshared1
55,hh_toiletshared2
56,hh_wash1
56,hh_wash2
57,hh_disposal1
58,hh_water0
58,hh_water1
59,hh_light1
60,hh_cook1
61,hmany031
62,hmany041
62,hmany042
63,hmany051
63,hmany052
64,hmany061
65,hmany091
66,hmany111
67,hmany121
68,hmany131
69,hmany201
70,hmany211
71,hmany261
72,hmany271
73,hmany301
73,hmany302
74,hmany311
75,hmany321
76,hmany331
