"","Mean_coeff","frequency","variable_name","unique_q_number","max_freq"
"1",-0.0541152678348522,1,1,"region1",1
"2",-0.578760245859029,1,1,"region2",1
"3",-0.381802803825191,1,1,"region4",1
"4",-0.480849920378712,1,1,"region5",1
"5",-0.0875269252955974,0.779,2,"hh_size1",0.779
"6",0,0,2,"hh_size2",0.779
"7",0,0,3,"hhead_sex2",0
"8",-4.64083997872268e-05,0.002,4,"hhead_age1",0.002
"9",0,0,4,"hhead_age3",0.002
"10",-0.00012113517222113,0.004,5,"hh_readwrite1",0.004
"11",0,0,5,"hh_readwrite2",0.004
"12",-0.00522302810755929,0.104,6,"hhead_readwrite1",0.104
"13",0,0,7,"hh_attended1",0
"14",-0.00225711415204679,0.061,8,"hhead_attended1",0.061
"15",-0.00872683395363172,0.177,9,"hh_primary1",0.177
"16",-0.0148680485127629,0.303,10,"hhead_primary1",0.303
"17",0,0,11,"hh_spent_schoolfees1",0
"18",0,0,12,"hh_spent_schoolsup0",0
"19",0,0,13,"hhead_jobagri0",0
"20",0,0,14,"hhead_jobbusiness1",0
"21",0,0,15,"hhead_jobcasual0",0
"22",0,0,16,"hhead_jobwage1",0
"23",0,0,17,"hhead_jobunpaid1",0
"24",-0.0075205697506923,0.152,18,"hh_account1",0.152
"25",-0.0115638232625054,0.222,19,"hh_savings1",0.222
"26",-0.00293699891960687,0.072,20,"hh_openaccount1",0.072
"27",-3.02028339680755e-05,0.002,21,"hh_consumed011",0.002
"28",-9.70839112370943e-05,0.005,22,"hh_consumed021",0.005
"29",-0.0178897636357289,0.331,23,"hh_consumed031",0.331
"30",-0.00356051088412262,0.094,24,"hh_consumed41",0.094
"31",0,0,25,"hh_consumed51",0
"32",-0.000454676893953383,0.01,26,"hh_consumed61",0.01
"33",0,0,27,"hh_consumed71",0
"34",-0.000560101560650256,0.025,28,"hh_consumed81",0.025
"35",-0.00743538920584336,0.163,29,"hh_consumed91",0.163
"36",-0.000177881015048113,0.01,30,"hh_consumed101",0.01
"37",0,0,31,"hh_consumed111",0
"38",-0.000199299339742447,0.006,32,"hh_consumed120",0.006
"39",-0.00214547856133447,0.064,33,"hh_consumed131",0.064
"40",0,0,34,"hh_consumed140",0
"41",-0.041681360592685,0.522,35,"hh_consumed151",0.522
"42",-9.90350869136583e-05,0.005,36,"hh_consumed160",0.005
"43",-0.00172617509416706,0.041,37,"hh_consumed171",0.041
"44",-0.00629361966193206,0.114,38,"hh_consumed181",0.114
"45",-0.0832001707328219,0.638,39,"hh_consumed191",0.638
"46",-0.000269643819602745,0.009,40,"hh_consumed201",0.009
"47",-0.0243678677591899,0.347,41,"hh_consumed211",0.347
"48",0,0,42,"hh_consumed221",0
"49",0,0,43,"hh_consumed231",0
"50",-0.000148617879159167,0.003,44,"hh_consumed241",0.003
"51",0,0,45,"hh_consumed251",0
"52",0,0,46,"hh_consumed260",0
"53",-0.16029990460323,0.915,47,"hh_consumed271",0.915
"54",0,0,48,"hh_consumed281",0
"55",-0.252954266205558,0.994,49,"hh_consumed291",0.994
"56",0,0,50,"hh_consumed301",0
"57",-0.00308138708785822,0.076,51,"hh_consumed311",0.076
"58",-0.0291763402508511,0.442,52,"hh_consumed321",0.442
"59",-0.00134452753005332,0.027,53,"hh_purchased011",0.027
"60",0,0,54,"hh_purchased20",0
"61",-0.00172624290157087,0.065,55,"hh_purchased31",0.065
"62",-0.0103295868326514,0.21,56,"hh_purchased51",0.21
"63",-0.024731450199626,0.408,57,"hh_purchased61",0.408
"64",-0.0144428109942608,0.23,58,"hh_purchased71",0.23
"65",0,0,59,"hh_purchased81",0
"66",0,0,60,"hh_purchased90",0
"67",-0.0300119355497724,0.449,61,"hh_purchased111",0.449
"68",0,0,62,"hh_purchased121",0
"69",-9.38371763895046e-06,0.001,63,"hh_purchase011",0.001
"70",-0.00110865222016927,0.027,64,"hh_purchase21",0.027
"71",-8.05136436787624e-06,0.001,65,"hh_purchase30",0.001
"72",0,0,66,"hh_purchase40",0
"73",-0.000138660718625476,0.008,67,"hh_purchase51",0.008
"74",-0.00180436290363622,0.049,68,"hh_purchase61",0.049
"75",0,0,69,"hh_purchase80",0
"76",-0.0021878063973963,0.047,70,"hh_purchase91",0.047
"77",-2.75881494458325e-05,0.002,71,"hh_purchase101",0.002
"78",-0.00435166327246603,0.091,72,"hh_purchase111",0.091
"79",0,0,73,"hh_purchase120",0
"80",0,0,74,"hh_status2",0
"81",0,0,75,"hh_rooms2",0
"82",0,0,76,"hh_walls1",0
"83",-0.0473962012299488,0.499,77,"hh_roof1",0.499
"84",-0.00253318609723402,0.057,78,"hh_floor1",0.057
"85",-0.00245466271239863,0.053,79,"hh_kitchen1",0.053
"86",0,0,80,"hh_oventype1",0
"87",-0.016507464338617,0.275,81,"hh_toilet1",0.275
"88",0,0,82,"hh_toiletshared1",0.005
"89",-8.90238681118029e-05,0.005,82,"hh_toiletshared2",0.005
"90",0,0,83,"hh_wash1",0
"91",0,0,83,"hh_wash2",0
"92",-0.00408673540322035,0.084,84,"hh_disposal1",0.084
"93",0.000742226324008027,0.041,85,"hh_water0",0.074
"94",-0.00177688255022963,0.074,85,"hh_water1",0.074
"95",-0.122716971218635,0.839,86,"hh_light1",0.839
"96",-0.0605243499282978,0.678,87,"hh_cook1",0.678
"97",0,0,88,"hmany031",0
"98",0,0,89,"hmany041",0.098
"99",-0.00459373198723383,0.098,89,"hmany042",0.098
"100",0,0,90,"hmany051",0.018
"101",-0.000922389449587715,0.018,90,"hmany052",0.018
"102",-7.28930027110791e-05,0.003,91,"hmany061",0.003
"103",-0.00102241483418434,0.03,92,"hmany081",0.03
"104",0,0,92,"hmany082",0.03
"105",-0.00177514347550335,0.049,93,"hmany091",0.049
"106",-0.000576805558710277,0.02,94,"hmany101",0.02
"107",0,0,95,"hmany131",0
"108",0,0,96,"hmany201",0
"109",0,0,97,"hmany211",0
"110",-9.73916952513143e-05,0.005,98,"hmany261",0.005
"111",-0.000726558998730329,0.021,99,"hmany271",0.021
"112",0,0,100,"hmany301",0.001
"113",-8.12781433947739e-06,0.001,100,"hmany302",0.001
"114",0,0,101,"hmany331",0
