unique_q_number,variable_name
1,region1
1,region2
1,region4
1,region5
2,hh_size1
2,hh_size2
3,hhead_sex2
4,hhead_age1
4,hhead_age3
5,hh_readwrite1
5,hh_readwrite2
6,hhead_readwrite1
7,hh_attended1
8,hhead_attended1
9,hh_primary1
10,hhead_primary1
11,hh_spent_schoolfees1
12,hh_spent_schoolsup0
13,hhead_jobagri0
14,hhead_jobbusiness1
15,hhead_jobcasual0
16,hhead_jobwage1
17,hhead_jobunpaid1
18,hh_account1
19,hh_savings1
20,hh_openaccount1
21,hh_consumed011
22,hh_consumed021
23,hh_consumed031
24,hh_consumed41
25,hh_consumed51
26,hh_consumed61
27,hh_consumed71
28,hh_consumed81
29,hh_consumed91
30,hh_consumed101
31,hh_consumed111
32,hh_consumed120
33,hh_consumed131
34,hh_consumed140
35,hh_consumed151
36,hh_consumed160
37,hh_consumed171
38,hh_consumed181
39,hh_consumed191
40,hh_consumed201
41,hh_consumed211
42,hh_consumed221
43,hh_consumed231
44,hh_consumed241
45,hh_consumed251
46,hh_consumed260
47,hh_consumed271
48,hh_consumed281
49,hh_consumed291
50,hh_consumed301
51,hh_consumed311
52,hh_consumed321
53,hh_purchased011
54,hh_purchased20
55,hh_purchased31
56,hh_purchased51
57,hh_purchased61
58,hh_purchased71
59,hh_purchased81
60,hh_purchased90
61,hh_purchased111
62,hh_purchased121
63,hh_purchase011
64,hh_purchase21
65,hh_purchase30
66,hh_purchase40
67,hh_purchase51
68,hh_purchase61
69,hh_purchase80
70,hh_purchase91
71,hh_purchase101
72,hh_purchase111
73,hh_purchase120
74,hh_status2
75,hh_rooms2
76,hh_walls1
77,hh_roof1
78,hh_floor1
79,hh_kitchen1
80,hh_oventype1
81,hh_toilet1
82,hh_toiletshared1
82,hh_toiletshared2
83,hh_wash1
83,hh_wash2
84,hh_disposal1
85,hh_water0
85,hh_water1
86,hh_light1
87,hh_cook1
88,hmany031
89,hmany041
89,hmany042
90,hmany051
90,hmany052
91,hmany061
92,hmany081
92,hmany082
93,hmany091
94,hmany101
95,hmany131
96,hmany201
97,hmany211
98,hmany261
99,hmany271
100,hmany301
100,hmany302
101,hmany331
