,household_id2_int64,random_data_split_group,poor_npl1
0,10101088801601002,test,0.0
1,10101088801601017,train,1.0
2,10101088801601034,train,0.0
3,10101088801601049,train,0.0
4,10101088801601064,train,0.0
5,10101088801601080,test,0.0
6,10101088801601087,train,1.0
7,10101088801601101,train,0.0
8,10101088801601116,train,0.0
9,10101088801601131,train,0.0
10,10101088801601146,test,0.0
11,10102088801403001,train,0.0
12,10102088801403011,train,0.0
13,10102088801403016,test,0.0
14,10102088801403026,test,0.0
15,10102088801403031,train,0.0
16,10102088801403036,train,0.0
17,10102088801403046,test,0.0
18,10102088801403061,train,0.0
19,10102088801403091,train,0.0
20,10102088801403106,train,0.0
21,10102088801403121,test,1.0
22,10102088801403136,train,0.0
23,10103010100106004,train,1.0
24,10103010100106016,test,0.0
25,10103010100106040,train,0.0
26,10103010100106052,train,0.0
27,10103010100106064,train,0.0
28,10103010100106076,train,1.0
29,10103010100106088,test,0.0
30,10103010100106100,train,0.0
31,10103010100106112,test,0.0
32,10103010100106124,train,0.0
33,10103010100106136,train,0.0
34,10103088801804004,test,1.0
35,10103088801804019,train,1.0
36,10103088801804034,train,1.0
37,10103088801804049,train,1.0
38,10103088801804051,test,0.0
39,10103088801804069,test,1.0
40,10103088801804085,train,0.0
41,10103088801804100,train,1.0
42,10103088801804115,train,1.0
43,10103088801804130,train,1.0
44,10103088801804145,test,1.0
45,10105088800204001,test,0.0
46,10105088800204025,train,0.0
47,10105088800204049,train,1.0
48,10105088800204073,train,0.0
49,10105088800204097,train,0.0
50,10105088800204121,test,0.0
51,10105088800204142,test,0.0
52,10105088800204145,train,0.0
53,10105088800204169,train,0.0
54,10105088800204193,train,0.0
55,10105088800204217,test,0.0
56,10106088800402002,train,0.0
57,10106088800402014,train,0.0
58,10106088800402021,train,0.0
59,10106088800402039,test,1.0
60,10106088800402057,test,0.0
61,10106088800402075,train,1.0
62,10106088800402094,train,1.0
63,10106088800402112,train,0.0
64,10106088800402130,train,0.0
65,10106088800402148,train,0.0
66,10106088800402160,test,1.0
67,10106088800402167,test,0.0
68,10107010100116012,train,0.0
69,10107010100116035,test,0.0
70,10107010100116058,train,0.0
71,10107010100116081,test,0.0
72,10107010100116104,train,0.0
73,10107010100116127,train,0.0
74,10107010100116150,train,0.0
75,10107010100116173,train,0.0
76,10107010100116196,test,0.0
77,10107010100116219,train,0.0
78,10107010100116242,train,0.0
79,10107010100116265,test,0.0
80,10107010100116288,test,0.0
81,10107010100116311,train,0.0
