unique_q_number,variable_name
1,region1
1,region2
1,region4
1,region5
2,radiance_around_1_kms
3,radiance_around_5_kms
4,radiance_around_10_kms
5,radiance_around_1_kms_sq
6,radiance_around_5_kms_sq
7,radiance_around_10_kms_sq
8,hh_size1
8,hh_size2
9,hhead_readwrite1
10,hhead_attended1
11,hhead_maxgrade1
12,consumed181
13,consumed201
14,purchased071
15,purchase061
16,hh_roof1
17,hh_kitchen1
18,hh_toilet1
19,hh_toiletshared1
19,hh_toiletshared2
20,hh_disposal1
21,hh_light1
22,hh_cook1
23,hmany041
23,hmany042
24,hmany051
24,hmany052
25,hmany061
26,hmany091
27,hmany311
