"","Mean_coeff","frequency","variable_name","unique_q_number","max_freq"
"1",-0.184374579014733,1,1,"region1",1
"2",-0.76590476841267,1,1,"region2",1
"3",-0.523959690585634,1,1,"region4",1
"4",-0.39845499418974,1,1,"region5",1
"5",-0.66569402078933,1,2,"relativewi",1
"6",-0.254162743300743,1,3,"hh_size1",1
"7",0,0,3,"hh_size2",1
"8",-0.0057307566397042,0.172,4,"hhead_readwrite1",0.172
"9",-0.000374394844046419,0.025,5,"hhead_attended1",0.025
"10",-0.122119280075916,0.97,6,"hhead_maxgrade1",0.97
"11",-0.0521925956471782,0.702,7,"consumed181",0.702
"12",-0.00310035108723801,0.115,8,"consumed201",0.115
"13",-0.0223762071548244,0.476,9,"purchased071",0.476
"14",-0.027911554317618,0.609,10,"purchase061",0.609
"15",-0.107143704290074,0.937,11,"hh_roof1",0.937
"16",-0.0155690026880405,0.362,12,"hh_kitchen1",0.362
"17",-0.0333552289969182,0.617,13,"hh_toilet1",0.617
"18",0,0,14,"hh_toiletshared1",0
"19",0,0,14,"hh_toiletshared2",0
"20",-0.00395354131345974,0.151,15,"hh_disposal1",0.151
"21",-0.203864644886454,0.999,16,"hh_light1",0.999
"22",-0.032221398430685,0.596,17,"hh_cook1",0.596
"23",0,0,18,"hmany041",0.772
"24",-0.0546920265709721,0.772,18,"hmany042",0.772
"25",0,0,19,"hmany051",0.2
"26",-0.0058030313300942,0.2,19,"hmany052",0.2
"27",-0.000627702215735646,0.029,20,"hmany061",0.029
"28",-0.021640490628288,0.496,21,"hmany091",0.496
"29",-0.0306688470416713,0.602,22,"hmany311",0.602
