"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.14727590417236","9.37076270557719","1.38033737931285","100","rural","poor_npl1"
"-7.48968835556301","7.04121728603905","1.55622995371109","150","rural","poor_npl1"
"-6.66007428148566","6.35846992521827","1.3285299562755","200","rural","poor_npl1"
"-5.54964052220476","5.38611620455999","1.52931670346121","250","rural","poor_npl1"
"-4.99291107078884","4.72770489904684","1.3023721417019","300","rural","poor_npl1"
"-4.52267879266113","4.3310384815818","1.2971889846035","350","rural","poor_npl1"
"-3.94583798823008","3.90014491757139","1.36096000600223","400","rural","poor_npl1"
"-3.4519801536622","3.73612944532298","1.40134411035274","450","rural","poor_npl1"
"-3.20528196461432","3.03969641760793","1.4224769123057","500","rural","poor_npl1"
"-5.27939866879861","4.62149585404184","-1.61392154262894","100","urban","poor_npl1"
"-3.98412300849464","3.88449617955153","-1.54037572692102","150","urban","poor_npl1"
"-3.36925522225044","3.24849142164416","-1.5628535592967","200","urban","poor_npl1"
"-2.93665394446474","2.65464656179928","-1.49523516928122","250","urban","poor_npl1"
"-2.28555094412789","2.17637420949245","-1.54337780441683","300","urban","poor_npl1"
"-1.89599020400326","2.04525563179946","-1.56540014429672","350","urban","poor_npl1"
"-1.5071985230061","1.53412780447304","-1.4637109736583","400","urban","poor_npl1"
"-1.09306924999636","1.22725385004694","-1.50407131300423","450","urban","poor_npl1"
"-0.749161278114681","0.908559839825405","-1.53895814075499","500","urban","poor_npl1"
"-9.19261239974787","8.03848351871378","0.53762599683276","100","full","poor_npl1"
"-7.07732467833176","6.59155262082081","0.525469343062599","150","full","poor_npl1"
"-6.74398672491233","6.16551764488906","0.447629819441897","200","full","poor_npl1"
"-5.95904085341799","5.18073641557915","0.608617567937898","250","full","poor_npl1"
"-4.64132294673419","4.69755222813844","0.626845171954601","300","full","poor_npl1"
"-4.4810083142958","4.13514591417241","0.635174522495288","350","full","poor_npl1"
"-4.1481248705844","3.82988882303377","0.668795662431451","400","full","poor_npl1"
"-3.57928551845187","3.80764756637158","0.563626372941873","450","full","poor_npl1"
"-3.36895366709923","3.22781044326425","0.559667052871875","500","full","poor_npl1"
