"","stable_coef_names","poor_npl1"
"1","consumed181",5
"2","consumed201",6
"3","hh_cook1",5
"4","hh_disposal1",3
"5","hh_kitchen1",4
"6","hh_light1",4
"7","hh_roof1",3
"8","hh_size1",13
"9","hh_size2",8
"10","hh_toilet1",5
"11","hh_toiletshared1",0
"12","hh_toiletshared2",0
"13","hhead_maxgrade1",6
"14","hhead_readwrite1",3
"15","hmany041",5
"16","hmany042",6
"17","hmany051",4
"18","hmany052",5
"19","hmany061",5
"20","hmany091",5
"21","hmany311",6
"22","purchase061",6
"23","purchased071",4
"24","region1",1
"25","region2",5
"26","region4",5
"27","region5",1
