"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.958333333333333","0.964285714285714","1","1","1","0","0","0","0","0","100","rural","poor_npl1"
"3","10","0.904761904761905","0.916666666666667","1","1","1","0","0","0","0","0","100","rural","poor_npl1"
"4","15","0.863636363636364","0.875","0.958333333333333","1","1","0","0","0","0.0144927536231884","0.024405487804878","100","rural","poor_npl1"
"5","20","0.818181818181818","0.846153846153846","0.931034482758621","1","1","0","0","0","0.0277777777777778","0.0307692307692308","100","rural","poor_npl1"
"6","25","0.705882352941177","0.730769230769231","0.851851851851852","0.956521739130435","0.964285714285714","0","0.0126503164556962","0.0394736842105263","0.0769230769230769","0.0845130102649797","100","rural","poor_npl1"
"7","30","0.48","0.516129032258065","0.666666666666667","0.8","0.827586206896552","0.0405405405405405","0.051249594287569","0.103896103896104","0.16","0.173333333333333","100","rural","poor_npl1"
"8","35","0.28","0.304347826086957","0.461538461538462","0.625231481481481","0.650054347826087","0.116883116883117","0.135135135135135","0.205479452054795","0.281272007042254","0.297327551432029","100","rural","poor_npl1"
"9","40","0.128931451612903","0.153846153846154","0.285714285714286","0.444444444444444","0.472222222222222","0.253516431924883","0.267605633802817","0.357675906183369","0.441195569136746","0.462686567164179","100","rural","poor_npl1"
"10","45","0.0416666666666667","0.0526315789473684","0.157072368421053","0.277888888888889","0.307692307692308","0.386615384615385","0.408450704225352","0.5","0.59157709414381","0.616438356164384","100","rural","poor_npl1"
"11","50","0","0","0.0526315789473684","0.150192307692308","0.166666666666667","0.546636363636364","0.557133815551537","0.647887323943662","0.735334967320261","0.753623188405797","100","rural","poor_npl1"
"12","55","0","0","0.0344827586206897","0.0938244047619047","0.115384615384615","0.679411764705882","0.698630136986301","0.780821917808219","0.853333333333333","0.86490990990991","100","rural","poor_npl1"
"13","60","0","0","0","0.0400833333333333","0.0454545454545455","0.780786663980661","0.791666666666667","0.857142857142857","0.917655116841257","0.926497229326513","100","rural","poor_npl1"
"14","65","0","0","0","0.0357142857142857","0.04","0.849315068493151","0.859375","0.916666666666667","0.96","0.972231735159817","100","rural","poor_npl1"
"15","70","0","0","0","0","0","0.897435897435897","0.907894736842105","0.954545454545455","0.986842105263158","0.98780487804878","100","rural","poor_npl1"
"16","75","0","0","0","0","0","0.928545548654244","0.934210526315789","0.972602739726027","1","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.961026144907724","0.971407867494824","0.987179487179487","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.971428571428571","0.972602739726027","1","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.974667105046852","0.985294117647059","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","0.986111111111111","0.986666666666667","1","1","1","100","rural","poor_npl1"
"21","5","0.991596638655462","0.991799891613602","1","1","1","0","0","0","0","0","500","rural","poor_npl1"
"22","10","0.957261904761905","0.96","0.976653343023256","0.992125984251969","0.992593954248366","0","0","0","0","0","500","rural","poor_npl1"
"23","15","0.923649442160893","0.927536231884058","0.952755905511811","0.976009523809524","0.977447817304455","0","0","0.00275482093663912","0.00804289544235925","0.00817438692098093","500","rural","poor_npl1"
"24","20","0.896825396825397","0.902968564258354","0.931297709923664","0.958017917910966","0.96296977124183","0.0026246719160105","0.00268817204301075","0.00813008130081301","0.0137362637362637","0.016","500","rural","poor_npl1"
"25","25","0.805970149253731","0.813005205591624","0.852713178294574","0.894384729429207","0.900913589645984","0.0240641711229947","0.0263054830287206","0.0385674931129477","0.0514905149051491","0.0531914893617021","500","rural","poor_npl1"
"26","30","0.609014383785551","0.62200548795037","0.669230769230769","0.722242497972425","0.729932800370757","0.0801024156576937","0.0857908847184987","0.105820105820106","0.125668449197861","0.129032258064516","500","rural","poor_npl1"
"27","35","0.403222680670168","0.411740986717268","0.466666666666667","0.519700787401575","0.529850746268657","0.178475207490956","0.184772128398611","0.210666666666667","0.235018419829035","0.240448638471782","500","rural","poor_npl1"
