"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-10.3338282030982","9.97046129545116","2.61412412360557","100","rural","poor_npl1"
"-8.14304119372805","7.77166892313961","2.71464268080226","150","rural","poor_npl1"
"-6.50569073197539","6.25460060893878","2.64165847086341","200","rural","poor_npl1"
"-6.05509010130553","5.34061183610149","2.730478160261","250","rural","poor_npl1"
"-5.37675089709382","5.37015603312765","2.7179500307459","300","rural","poor_npl1"
"-4.59151460259564","4.50838936005246","2.70470707202884","350","rural","poor_npl1"
"-4.03029252778751","4.42324975468052","2.67804641036919","400","rural","poor_npl1"
"-3.7740751004226","3.43476255493699","2.68352462207728","450","rural","poor_npl1"
"-3.42566554688486","3.6169866015386","2.66968626976768","500","rural","poor_npl1"
"-4.98168677790579","4.68252167602538","-1.13562406956466","100","urban","poor_npl1"
"-3.92929928251086","3.83058174428427","-1.06273295365636","150","urban","poor_npl1"
"-3.16853141833235","3.178746205653","-0.89893024087979","200","urban","poor_npl1"
"-2.6872149570038","2.58476105888697","-0.963562445281427","250","urban","poor_npl1"
"-2.22163268211981","2.24050532650613","-1.05017166380896","300","urban","poor_npl1"
"-1.75407052904266","1.8024893926881","-0.961433856593338","350","urban","poor_npl1"
"-1.3956075188549","1.43713315615841","-0.988454513066083","400","urban","poor_npl1"
"-1.1085266274481","1.11712052188581","-1.00979255592118","450","urban","poor_npl1"
"-0.72516176652443","0.79414595524359","-1.01927365675755","500","urban","poor_npl1"
"-10.3184064002715","9.17790496086456","1.8658992281911","100","full","poor_npl1"
"-7.5155164651444","7.01120676366778","1.84376229646167","150","full","poor_npl1"
"-6.42000764626024","6.22847494910411","1.8456020730941","200","full","poor_npl1"
"-6.02707247125252","5.45839476831561","1.59393263471023","250","full","poor_npl1"
"-5.10305559991585","4.77263643507668","1.76208382880546","300","full","poor_npl1"
"-4.49153130511043","4.70771037430102","1.69539709900742","350","full","poor_npl1"
"-4.47226741643585","4.17069998074781","1.71767403788795","400","full","poor_npl1"
"-3.92189320466722","4.04866032083382","1.77553281379819","450","full","poor_npl1"
"-3.64191829024582","3.78123401575848","1.79336016647861","500","full","poor_npl1"
