"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.92","0.933333333333333","1","1","1","0","0","0","0","0","100","rural","poor_npl1"
"3","10","0.9","0.91304347826087","0.971428571428571","1","1","0","0","0","0.0140845070422535","0.0144927536231884","100","rural","poor_npl1"
"4","15","0.695652173913043","0.722222222222222","0.846153846153846","0.954545454545455","0.961538461538462","0","0","0.0142857142857143","0.0448100407055631","0.0540540540540541","100","rural","poor_npl1"
"5","20","0.578896761133603","0.61517094017094","0.75","0.871169354838709","0.888888888888889","0.0140796165884194","0.0256410256410256","0.0641025641025641","0.108108108108108","0.119417910447761","100","rural","poor_npl1"
"6","25","0.368301435406699","0.39277950310559","0.55718954248366","0.714285714285714","0.72736013986014","0.0666447368421053","0.081027027027027","0.140845070422535","0.205954088952654","0.219178082191781","100","rural","poor_npl1"
"7","30","0.218716032608696","0.257661290322581","0.40625","0.565217391304348","0.592621527777778","0.19712365099689","0.209641309581127","0.285714285714286","0.371428571428571","0.388963963963964","100","rural","poor_npl1"
"8","35","0.0909090909090909","0.119882352941176","0.25","0.384615384615385","0.409157754010695","0.305555555555556","0.325","0.412599206349206","0.513532282282282","0.532263301214914","100","rural","poor_npl1"
"9","40","0.041625","0.0526315789473684","0.16","0.285714285714286","0.310344827586207","0.444444444444444","0.465705190044376","0.557142857142857","0.644736842105263","0.662445887445887","100","rural","poor_npl1"
"10","45","0","0","0.0740740740740741","0.166666666666667","0.19047619047619","0.573524509803922","0.585714285714286","0.671232876712329","0.757142857142857","0.776160862354892","100","rural","poor_npl1"
"11","50","0","0","0.0434782608695652","0.130434782608696","0.148194444444444","0.697368421052632","0.708333333333333","0.789473684210526","0.861132478632479","0.878418918918919","100","rural","poor_npl1"
"12","55","0","0","0","0.0690886699507388","0.08","0.786666666666667","0.802816901408451","0.865671641791045","0.923076923076923","0.935897435897436","100","rural","poor_npl1"
"13","60","0","0","0","0.0476190476190476","0.0626041666666666","0.845070422535211","0.8610935302391","0.915492957746479","0.961038961038961","0.972602739726027","100","rural","poor_npl1"
"14","65","0","0","0","0","0","0.893924242424242","0.907894736842105","0.955223880597015","0.986666666666667","0.98780487804878","100","rural","poor_npl1"
"15","70","0","0","0","0","0","0.931506849315068","0.942028985507246","0.972972972972973","1","1","100","rural","poor_npl1"
"16","75","0","0","0","0","0","0.945205479452055","0.955882352941177","0.985507246376812","1","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.962488132911392","0.971830985915493","0.987341772151899","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.983870967741935","0.985294117647059","1","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.985294117647059","0.985915492957746","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"21","5","0.967993548387097","0.968992248062015","0.984251968503937","0.993201844496188","1","0","0","0","0","0","500","rural","poor_npl1"
"22","10","0.952371428571428","0.955849429323968","0.971929478971733","0.991935483870968","0.992481203007519","0","0","0.00268817204301075","0.00547945205479452","0.00554016620498615","500","rural","poor_npl1"
"23","15","0.790693746071653","0.798507462686567","0.841269841269841","0.881118881118881","0.887237593984962","0.0104159902597403","0.0108093538282218","0.0190735694822888","0.0274725274725275","0.0293372654155496","500","rural","poor_npl1"
"24","20","0.69171550199027","0.696969696969697","0.745901639344262","0.792592592592593","0.8","0.0440741077104713","0.0478723404255319","0.0634261765093111","0.0796813035449399","0.0826503356011141","500","rural","poor_npl1"
"25","25","0.488540602272044","0.5","0.553782581055308","0.611175710594315","0.622092393267355","0.116205547652916","0.119241192411924","0.140921409214092","0.163437544815718","0.16800054200542","500","rural","poor_npl1"
"26","30","0.338573992589162","0.346456692913386","0.4","0.455793197278912","0.465129593467069","0.253967215158315","0.258645421245421","0.288","0.317073170731707","0.322008573644699","500","rural","poor_npl1"
"27","35","0.188976377952756","0.198409418863964","0.246031746031746","0.291338582677165","0.299336734693878","0.37852912257702","0.3842","0.416216216216216","0.44865388934641","0.453831562433146","500","rural","poor_npl1"
"28","40","0.111111111111111","0.121914264597191","0.160444642558645","0.2","0.208963901423117","0.517426273458445","0.52445652173913","0.557640750670241","0.588390501319261","0.594524200913242","500","rural","poor_npl1"
"29","45","0.0413138463622815","0.047244094488189","0.0757575757575758","0.104","0.109380351027397","0.633683173097712","0.641062093265739","0.671177340911754","0.700013262599469","0.704735376044568","500","rural","poor_npl1"
"30","50","0.0229007633587786","0.0277650356778797","0.0518518518518519","0.0757864908628267","0.0814936247723133","0.758807588075881","0.763923887415267","0.790450928381963","0.817471279487854","0.821340540540541","500","rural","poor_npl1"
"31","55","0","0.00629139072847684","0.0161290322580645","0.0317460317460317","0.0342676039413602","0.83870083959346","0.843243243243243","0.865384615384615","0.887672697970845","0.891364902506964","500","rural","poor_npl1"
"32","60","0","0","0.00829889807162534","0.0225563909774436","0.0234375","0.892559761841287","0.89673457614768","0.914666666666667","0.9320744226464","0.936021052631579","500","rural","poor_npl1"
"33","65","0","0","0","0","0","0.934778166094065","0.937006795383454","0.950819672131147","0.964673913043478","0.967213114754098","500","rural","poor_npl1"
"34","70","0","0","0","0","0","0.959346831919406","0.961852861035422","0.97275204359673","0.983608790816099","0.984168865435356","500","rural","poor_npl1"
"35","75","0","0","0","0","0","0.970430107526882","0.9725989763661","0.980926430517711","0.989276139410188","0.991713845546718","500","rural","poor_npl1"
