"","stable_coef_names","poor_npl1"
"1","consumed031",8
"2","consumed041",6
"3","consumed151",6
"4","consumed181",3
"5","consumed211",3
"6","consumed271",6
"7","consumed321",6
"8","hh_cook1",4
"9","hh_fs11",5
"10","hh_fs60",2
"11","hh_fs61",3
"12","hh_light1",4
"13","hh_roof1",3
"14","hh_size1",11
"15","hh_size2",6
"16","hh_toilet1",4
"17","hhead_maxgrade1",5
"18","hmany041",5
"19","hmany042",5
"20","hmany311",4
"21","purchase061",5
"22","purchased051",4
"23","region1",0
"24","region2",4
"25","region4",2
"26","region5",1
