"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.58785953425345","9.60155409034006","1.56718397967419","100","rural","poor_npl1"
"-7.63255911972945","7.4164799108312","1.76474789466056","150","rural","poor_npl1"
"-6.88223445307093","6.46872724747257","1.54068695351247","200","rural","poor_npl1"
"-5.505866793826","5.26651461122531","1.74926860630467","250","rural","poor_npl1"
"-4.9347179300649","5.10226566049468","1.50831709934043","300","rural","poor_npl1"
"-4.58945766048473","4.40518879656838","1.50796163383118","350","rural","poor_npl1"
"-4.04407968147256","3.97732284094052","1.59382194498701","400","rural","poor_npl1"
"-3.43407576079437","3.76436726049047","1.61920118507355","450","rural","poor_npl1"
"-3.41925064115956","3.20883329863085","1.63000914153117","500","rural","poor_npl1"
"-5.4212358785613","4.82681314553248","-1.82027703968427","100","urban","poor_npl1"
"-4.08413404429206","3.92063151516815","-1.76390265375406","150","urban","poor_npl1"
"-3.46463680765259","3.35211510874642","-1.78886645621198","200","urban","poor_npl1"
"-3.07520989632134","2.80125946797875","-1.71932472814636","250","urban","poor_npl1"
"-2.31448555000875","2.3145915927803","-1.7545186258902","300","urban","poor_npl1"
"-1.96544548189388","2.13454967842216","-1.78758856246844","350","urban","poor_npl1"
"-1.53855691952613","1.64735533232313","-1.67473481329184","400","urban","poor_npl1"
"-1.14583848809925","1.28381576872271","-1.72009640403334","450","urban","poor_npl1"
"-0.770978643747471","0.935013963260808","-1.75356823057444","500","urban","poor_npl1"
"-9.84169263119325","8.21938402287623","0.592433007997187","100","full","poor_npl1"
"-7.3783645343462","6.51130578705372","0.581132165803597","150","full","poor_npl1"
"-7.34228511010139","6.14882724982134","0.494820201645723","200","full","poor_npl1"
"-5.86496707254519","5.48417260032275","0.724801385593734","250","full","poor_npl1"
"-4.95127142647676","4.98530589652677","0.72263135684302","300","full","poor_npl1"
"-4.60045812640843","4.24473342879048","0.738756821523231","350","full","poor_npl1"
"-4.22999398911833","4.06475276823975","0.76370237906098","400","full","poor_npl1"
"-3.63012139956053","3.81237562830413","0.648388336593454","450","full","poor_npl1"
"-3.48393746477584","3.28437890589393","0.655296571006089","500","full","poor_npl1"
"-6.7404435481094","4.78538674588112","-1.82056537337021","100","rural","poor_npl2"
"-5.11030225830817","4.16628586183736","-1.75445358624178","150","rural","poor_npl2"
"-4.18066691222784","3.45062933147785","-1.87566458044389","200","rural","poor_npl2"
"-3.37148171211773","3.26860391656216","-1.85939872864664","250","rural","poor_npl2"
"-3.18384467126536","2.77909657954704","-1.83516422092683","300","rural","poor_npl2"
"-2.90043625481336","2.6164891898857","-1.76987230077016","350","rural","poor_npl2"
"-2.46245242373981","2.32185054108588","-1.8365245305734","400","rural","poor_npl2"
"-2.16974857670519","2.02446364884101","-1.78811527347946","450","rural","poor_npl2"
"-1.92721043138989","1.87595811707542","-1.79434917001442","500","rural","poor_npl2"
"-2.99307008796028","1.92563265700052","-1.21699880208579","100","urban","poor_npl2"
"-2.05826675804096","1.77367839300285","-1.16022253680776","150","urban","poor_npl2"
"-1.82976920707444","1.46808043701711","-1.12360711646412","200","urban","poor_npl2"
"-1.33396759209248","1.31303329479426","-1.1911272192544","250","urban","poor_npl2"
"-1.10858864454634","1.06276759296517","-1.18715736136953","300","urban","poor_npl2"
"-0.87882678658842","0.964348049909667","-1.15589879108945","350","urban","poor_npl2"
"-0.697194673970683","0.819941875376968","-1.1588561559932","400","urban","poor_npl2"
"-0.462631702884413","0.641634606864727","-1.15636804223277","450","urban","poor_npl2"
"-0.247315233562287","0.495735542453008","-1.15319457558863","500","urban","poor_npl2"
"-6.23551423871362","4.34913931824153","-1.5918881874286","100","full","poor_npl2"
"-4.65948466144479","3.50789260280267","-1.59281567242896","150","full","poor_npl2"
"-3.68633015583838","3.28481428528517","-1.72639692818596","200","full","poor_npl2"
"-3.63881315545353","2.98344709844587","-1.6776774593543","250","full","poor_npl2"
"-3.17893403731277","2.76082445888501","-1.57429171150299","300","full","poor_npl2"
