"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-10.6084546465404","9.88197133059082","-0.732085549861783","100","rural","poor_npl1"
"-8.42494905985455","7.8677020498258","-0.777624050757384","150","rural","poor_npl1"
"-6.75337882773155","6.63905612689033","-0.937055728383963","200","rural","poor_npl1"
"-5.85538756202676","5.56599621487263","-0.956265319677334","250","rural","poor_npl1"
"-5.32327248733216","4.84051173019368","-0.874419444680274","300","rural","poor_npl1"
"-4.87520816425142","4.51315576710048","-1.0700820753469","350","rural","poor_npl1"
"-4.18131645797919","4.2810809433596","-0.938652283080866","400","rural","poor_npl1"
"-3.80204557179308","3.68200182753704","-0.943988866259703","450","rural","poor_npl1"
"-3.48152151711486","3.38590814458284","-0.937249716473034","500","rural","poor_npl1"
"-6.67993236963056","5.11450219744067","-2.16425178797596","100","urban","poor_npl1"
"-4.53499374818605","3.85373157106546","-2.0131031209935","150","urban","poor_npl1"
"-3.84566277196003","3.46854871407677","-2.046627624974","200","urban","poor_npl1"
"-2.92674241768409","2.88333412680477","-2.0714806205011","250","urban","poor_npl1"
"-2.35148920059976","2.36288467583438","-2.04679211986879","300","urban","poor_npl1"
"-2.0561534756186","1.94061183721599","-2.00305412725817","350","urban","poor_npl1"
"-1.64366052806313","1.76158321359827","-2.05086932675712","400","urban","poor_npl1"
"-1.2127331960585","1.38278362945519","-2.01675009813062","450","urban","poor_npl1"
"-0.753630188374519","1.06096500560515","-2.02351893183186","500","urban","poor_npl1"
"-10.5894525358016","9.36063936546425","-1.12263428902633","100","full","poor_npl1"
"-7.82810221758978","7.52379502415237","-1.2242576352448","150","full","poor_npl1"
"-6.76250497518925","6.47603557604854","-1.13116455635864","200","full","poor_npl1"
"-5.94218679577639","5.75076610540995","-1.31530224855588","250","full","poor_npl1"
"-5.31448354748295","4.83002009712864","-1.17545153476179","300","full","poor_npl1"
"-4.77489033359824","4.73165337737034","-1.15386206858351","350","full","poor_npl1"
"-4.6848626885247","4.48575229233788","-1.14164821117738","400","full","poor_npl1"
"-4.01070342891243","3.99861933800505","-1.18458494114311","450","full","poor_npl1"
"-3.63609250176949","3.66074529861381","-1.15068319410303","500","full","poor_npl1"
