"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.741935483870968","0.774193548387097","0.878787878787879","0.964285714285714","1","0","0","0.0256410256410256","0.0555555555555556","0.0588235294117647","100","rural","poor_npl1"
"3","10","0.678571428571429","0.709610215053763","0.821428571428571","0.931034482758621","0.958333333333333","0","0","0.0372685185185185","0.0735294117647059","0.0845070422535211","100","rural","poor_npl1"
"4","15","0.44","0.478260869565217","0.625","0.777777777777778","0.793103448275862","0.0277682648401826","0.0375","0.0869565217391304","0.145236559139785","0.154929577464789","100","rural","poor_npl1"
"5","20","0.354663394109397","0.384615384615385","0.535714285714286","0.678642857142857","0.708333333333333","0.085705574912892","0.0999295774647887","0.169014084507042","0.243243243243243","0.260895445134576","100","rural","poor_npl1"
"6","25","0.214231601731602","0.241379310344828","0.384615384615385","0.535714285714286","0.565253623188406","0.180555555555556","0.197368421052632","0.276619433198381","0.366269676884838","0.380314121571534","100","rural","poor_npl1"
"7","30","0.125","0.153653846153846","0.285714285714286","0.413793103448276","0.444540229885057","0.271428571428571","0.289855072463768","0.376811594202899","0.464836967007525","0.48","100","rural","poor_npl1"
"8","35","0.0499404761904762","0.0740740740740741","0.178571428571429","0.3","0.321457373271889","0.383561643835616","0.402597402597403","0.493150684931507","0.586708333333333","0.602999226006192","100","rural","poor_npl1"
"9","40","0.032258064516129","0.0369708994708995","0.125","0.241379310344828","0.259259259259259","0.479452054794521","0.493141038008875","0.58974358974359","0.671887807377049","0.698489694385217","100","rural","poor_npl1"
"10","45","0","0","0.0555555555555556","0.147113289760349","0.166666666666667","0.571383363471971","0.591549295774648","0.68","0.763888888888889","0.77781862745098","100","rural","poor_npl1"
"11","50","0","0","0.0333333333333333","0.0952380952380952","0.107242063492063","0.675675675675676","0.695652173913043","0.774647887323944","0.846153846153846","0.859160431338028","100","rural","poor_npl1"
"12","55","0","0","0","0.0769230769230769","0.0909090909090909","0.756756756756757","0.772687400318979","0.846153846153846","0.907894736842105","0.917846884666372","100","rural","poor_npl1"
"13","60","0","0","0","0.0540540540540541","0.0689655172413793","0.82089552238806","0.828549107142857","0.894736842105263","0.947368421052632","0.957761150234742","100","rural","poor_npl1"
"14","65","0","0","0","0.0434782608695652","0.05","0.88","0.891891891891892","0.942857142857143","0.975","0.986111111111111","100","rural","poor_npl1"
"15","70","0","0","0","0.04","0.0434782608695652","0.911764705882353","0.918918918918919","0.959459459459459","0.9875","1","100","rural","poor_npl1"
"16","75","0","0","0","0.0357142857142857","0.04","0.928571428571429","0.939259685462217","0.972602739726027","1","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.956505754475703","0.958904109589041","0.986301369863014","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.971014492753623","0.972583713850837","1","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.975586600802717","0.985074626865672","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","0.984848484848485","0.985714285714286","1","1","1","100","rural","poor_npl1"
"21","5","0.830882352941177","0.839403297432494","0.875862068965517","0.910966514459665","0.917255550307038","0.0112986392933874","0.0138121546961326","0.0229226361031519","0.0336134453781513","0.0358126721763085","500","rural","poor_npl1"
"22","10","0.773049645390071","0.780470506832728","0.82089552238806","0.862384716732543","0.870759894867038","0.0223463687150838","0.0248584539518743","0.0366197183098592","0.0494573608209972","0.0512146658373073","500","rural","poor_npl1"
"23","15","0.565217391304348","0.579310344827586","0.62589928057554","0.673921095008052","0.684934203430051","0.0651558073654391","0.068870523415978","0.0873239436619718","0.105821579637736","0.108507666293631","500","rural","poor_npl1"
"24","20","0.472842286275794","0.482014388489209","0.531983087834152","0.584507042253521","0.593223163841808","0.141303595086113","0.145934362934363","0.170391061452514","0.195973776808318","0.199459833795014","500","rural","poor_npl1"
"25","25","0.325925925925926","0.333333333333333","0.382352941176471","0.433083989501312","0.442748091603053","0.24258140687294","0.247855595109116","0.276712328767123","0.305567033976125","0.313351498637602","500","rural","poor_npl1"
"26","30","0.230769230769231","0.237762237762238","0.282525721871889","0.328249971516463","0.3385","0.338981863932013","0.344817845314631","0.3746593600796","0.40668995798121","0.410958904109589","500","rural","poor_npl1"
"27","35","0.132801011029412","0.140740740740741","0.179310344827586","0.220593306288032","0.23015873015873","0.450922778047596","0.457610776485969","0.490304709141274","0.522866047231901","0.528767123287671","500","rural","poor_npl1"
"28","40","0.0882253577106518","0.0948905109489051","0.129496402877698","0.162962962962963","0.169117647058824","0.546510039395095","0.554315957023478","0.584745762711864","0.616901408450704","0.624341216216216","500","rural","poor_npl1"
"29","45","0.0307692307692308","0.0357142857142857","0.0601503759398496","0.0855357142857143","0.0896551724137931","0.640209096459096","0.644799710969607","0.674544989061118","0.70704925686717","0.712338976129487","500","rural","poor_npl1"
"30","50","0.0133333333333333","0.0142857142857143","0.0307692307692308","0.05","0.054421768707483","0.736111111111111","0.741748981355723","0.76967111081993","0.796841068333654","0.804544611645506","500","rural","poor_npl1"
"31","55","0.00694444444444444","0.00719424460431655","0.0217391304347826","0.0381679389312977","0.0422535211267606","0.813888888888889","0.818696105594123","0.841225626740947","0.865384615384615","0.870056497175141","500","rural","poor_npl1"
"32","60","0","0.006527621664377","0.0148148148148148","0.0296296296296296","0.0312561515748031","0.868419209789179","0.871848399495806","0.890756302521008","0.911357340720222","0.915736807648975","500","rural","poor_npl1"
"33","65","0","0","0.00757575757575758","0.0211267605633803","0.0222222222222222","0.918988740747696","0.922651933701657","0.937929249090106","0.953174477038113","0.956295968099247","500","rural","poor_npl1"
"34","70","0","0","0.00709219858156028","0.0148148148148148","0.0151515151515152","0.941340782122905","0.944281912824264","0.957627118644068","0.970599937587767","0.974649667668935","500","rural","poor_npl1"
"35","75","0","0","0","0.00763358778625954","0.0078125","0.957740493955233","0.95966652136007","0.969945355191257","0.980824537764803","0.983335635359116","500","rural","poor_npl1"
"36","80","0","0","0","0","0","0.97540815180777","0.977650501541399","0.985875706214689","0.991958179811042","0.994475138121547","500","rural","poor_npl1"
"37","85","0","0","0","0","0","0.986149584487535","0.986486486486487","0.991847826086957","0.997282608695652","1","500","rural","poor_npl1"
"38","90","0","0","0","0","0","0.991620111731844","0.991757106529834","0.997183098591549","1","1","500","rural","poor_npl1"
"39","95","0","0","0","0","0","0.994349882364239","0.99441262538535","0.997245179063361","1","1","500","rural","poor_npl1"
"40","5","0.857142857142857","0.875","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","0.857142857142857","0.875","1","1","1","0","0","0","0.0111111111111111","0.0112359550561798","100","urban","poor_npl1"
