"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.82270706666456","9.7819780344549","4.05228658325537","100","rural","poor_npl1"
"-7.88182572209735","7.49771367175425","4.07403072892612","150","rural","poor_npl1"
"-6.58182651554342","6.48864640610666","3.96073313459858","200","rural","poor_npl1"
"-5.85060533211954","5.68233664614719","3.88858493592682","250","rural","poor_npl1"
"-5.3947231998331","4.79336292244431","3.87658775572121","300","rural","poor_npl1"
"-4.62660293704875","4.45986595997821","3.71854186601396","350","rural","poor_npl1"
"-4.00698969946959","3.92907227286854","3.94781099457006","400","rural","poor_npl1"
"-3.79748589819913","3.74189876657254","3.98172010498326","450","rural","poor_npl1"
"-3.28719883707024","3.47613831271212","3.91151044985181","500","rural","poor_npl1"
"-6.1756504644582","4.79267757389473","-1.06577224483747","100","urban","poor_npl1"
"-4.4253383702654","3.72044937202787","-1.10332055627562","150","urban","poor_npl1"
"-3.84906710842268","3.26559505726604","-1.12804944295461","200","urban","poor_npl1"
"-2.74839502169703","2.737585025297","-1.13431986809027","250","urban","poor_npl1"
"-2.19038795287384","2.47399937540845","-1.10058294644765","300","urban","poor_npl1"
"-2.11292237288223","2.16374525346856","-1.13713177556369","350","urban","poor_npl1"
"-1.53462899873433","1.87860021496231","-1.10989966098241","400","urban","poor_npl1"
"-1.20773754323222","1.47449632957092","-1.07921433662793","450","urban","poor_npl1"
"-0.819822653455693","1.05248087042098","-1.09414391603583","500","urban","poor_npl1"
"-8.99439064507133","9.15302575256366","2.52029722818593","100","full","poor_npl1"
"-8.13860260785756","7.59756887356175","2.60516402850276","150","full","poor_npl1"
"-6.44903885424757","6.36519234734534","2.70136194824527","200","full","poor_npl1"
"-5.44424368941187","5.23335862860529","2.48469819833053","250","full","poor_npl1"
"-4.90436798687575","4.69690743162975","2.64518582018172","300","full","poor_npl1"
"-4.53321747404352","4.37652013739509","2.64998837121963","350","full","poor_npl1"
"-4.18890577467273","3.72389128554196","2.50254809178411","400","full","poor_npl1"
"-3.91649070982083","4.23785374313153","2.54671347145246","450","full","poor_npl1"
"-3.55604413091437","3.41634636311791","2.51010304003813","500","full","poor_npl1"
