"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.95","0.956521739130435","1","1","1","0","0","0","0.0135135135135135","0.0138888888888889","100","rural","poor_npl1"
"3","10","0.894736842105263","0.909090909090909","0.96875","1","1","0","0","0","0.0140845070422535","0.0144927536231884","100","rural","poor_npl1"
"4","15","0.814814814814815","0.84","0.933333333333333","1","1","0","0","0.0126582278481013","0.0289855072463768","0.0389738550922761","100","rural","poor_npl1"
"5","20","0.75","0.769230769230769","0.888888888888889","0.966666666666667","1","0","0.0125","0.0394736842105263","0.0810810810810811","0.0921359649122807","100","rural","poor_npl1"
"6","25","0.6","0.619047619047619","0.761904761904762","0.892857142857143","0.92","0.0281592331768388","0.0399736842105263","0.0857142857142857","0.146666666666667","0.157142857142857","100","rural","poor_npl1"
"7","30","0.448180076628352","0.478260869565217","0.62962962962963","0.777777777777778","0.807692307692308","0.105263157894737","0.115942028985507","0.185185185185185","0.256756756756757","0.273972602739726","100","rural","poor_npl1"
"8","35","0.25","0.28","0.434782608695652","0.590993265993266","0.612965260545906","0.202702702702703","0.223611111111111","0.305555555555556","0.388888888888889","0.410958904109589","100","rural","poor_npl1"
"9","40","0.110964912280702","0.130434782608696","0.266666666666667","0.413936781609195","0.448318965517241","0.356164383561644","0.378378378378378","0.465753424657534","0.556971066907776","0.575008561643836","100","rural","poor_npl1"
"10","45","0.04","0.0498809523809524","0.16","0.291666666666667","0.318181818181818","0.486833214793741","0.506329113924051","0.592105263157895","0.68","0.695652173913043","100","rural","poor_npl1"
"11","50","0","0","0.0714285714285714","0.157894736842105","0.18531746031746","0.619718309859155","0.631538461538461","0.716216216216216","0.797305850153951","0.814285714285714","100","rural","poor_npl1"
"12","55","0","0","0.0357142857142857","0.1","0.111111111111111","0.723076923076923","0.7352382725242","0.810126582278481","0.876712328767123","0.890248078850651","100","rural","poor_npl1"
"13","60","0","0","0","0.0740740740740741","0.0857453416149068","0.805546536796537","0.819381313131313","0.88","0.933333333333333","0.942857142857143","100","rural","poor_npl1"
"14","65","0","0","0","0.0555555555555556","0.0740740740740741","0.849294312992943","0.860759493670886","0.917808219178082","0.960526315789474","0.971428571428571","100","rural","poor_npl1"
"15","70","0","0","0","0.0476190476190476","0.0626041666666666","0.885686813186813","0.896103896103896","0.945945945945946","0.985085601404741","0.986486486486487","100","rural","poor_npl1"
"16","75","0","0","0","0.0344827586206897","0.0416666666666667","0.917808219178082","0.925925925925926","0.961538461538462","0.987819396051103","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.940252583237658","0.945908922621251","0.974683544303797","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.96","0.971014492753623","0.987179487179487","1","1","100","rural","poor_npl1"
