"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.22045118814872","9.45453737055889","1.17377496955925","100","rural","poor_npl1"
"-7.4179685248278","7.19209461446812","1.35166386465219","150","rural","poor_npl1"
"-6.76078674537781","6.2944656800935","1.12199670526855","200","rural","poor_npl1"
"-5.5695561307666","5.4248097382243","1.32463771372367","250","rural","poor_npl1"
"-5.00651885440843","4.74873120564243","1.10045986894684","300","rural","poor_npl1"
"-4.49390181360122","4.34890907633001","1.09488563058258","350","rural","poor_npl1"
"-3.97773932775205","3.90742758369551","1.15853221593039","400","rural","poor_npl1"
"-3.50983693995885","3.73318951553425","1.1993996287724","450","rural","poor_npl1"
"-3.26281135162413","3.00259277705659","1.21962785101033","500","rural","poor_npl1"
"-5.27735602972258","4.60077938599823","-1.5200670548541","100","urban","poor_npl1"
"-3.96871405679059","3.90703988204775","-1.44571921552443","150","urban","poor_npl1"
"-3.38781056430457","3.20827747366172","-1.46914548841436","200","urban","poor_npl1"
"-2.95250278530356","2.69830916798905","-1.40089850873644","250","urban","poor_npl1"
"-2.31316366043448","2.1966357580891","-1.44906495755403","300","urban","poor_npl1"
"-1.89413170528693","2.05877987356794","-1.46998941328334","350","urban","poor_npl1"
"-1.52642925420393","1.54495485789396","-1.36783860221358","400","urban","poor_npl1"
"-1.1016245105996","1.22686137828906","-1.40881700506634","450","urban","poor_npl1"
"-0.75038934761474","0.907949770465777","-1.44384368939319","500","urban","poor_npl1"
"-9.19035613386461","8.10127279744298","0.412054531591923","100","full","poor_npl1"
"-7.10692471071032","6.6738834239401","0.403612025493789","150","full","poor_npl1"
"-6.85784205580049","6.14066549983488","0.321726718599454","200","full","poor_npl1"
"-5.96793209131037","5.19668932718137","0.487064185830408","250","full","poor_npl1"
"-4.69677547686658","4.71715828634243","0.502712008653995","300","full","poor_npl1"
"-4.46027089638386","4.12651456141323","0.516821399036147","350","full","poor_npl1"
"-4.06363352860521","3.85176508599812","0.547564802922559","400","full","poor_npl1"
"-3.60505407106325","3.81937411945733","0.443646503255098","450","full","poor_npl1"
"-3.35917224953658","3.26392742476064","0.439620917399619","500","full","poor_npl1"
