"","stable_coef_names","poor_npl1"
"1","consumed181",5
"2","consumed201",6
"3","hh_cook1",5
"4","hh_disposal1",3
"5","hh_kitchen1",4
"6","hh_light1",4
"7","hh_roof1",3
"8","hh_size1",13
"9","hh_size2",7
"10","hh_toilet1",5
"11","hh_toiletshared1",0
"12","hh_toiletshared2",0
"13","hhead_attended1",2
"14","hhead_maxgrade1",6
"15","hhead_readwrite1",4
"16","hmany041",5
"17","hmany042",6
"18","hmany051",4
"19","hmany052",5
"20","hmany061",5
"21","hmany091",5
"22","hmany311",5
"23","purchase061",6
"24","purchased071",3
"25","region1",0
"26","region2",5
"27","region4",4
"28","region5",1
