"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.937449596774194","0.954545454545455","1","1","1","0","0","0","0","0","100","rural","poor_npl1"
"3","10","0.909090909090909","0.923076923076923","1","1","1","0","0","0","0.012987012987013","0.0138888888888889","100","rural","poor_npl1"
"4","15","0.827586206896552","0.857142857142857","0.935483870967742","1","1","0","0","0","0.0277777777777778","0.0289855072463768","100","rural","poor_npl1"
"5","20","0.76","0.782608695652174","0.89039039039039","0.96551724137931","1","0","0","0.0136986301369863","0.0410958904109589","0.0441341088674276","100","rural","poor_npl1"
"6","25","0.625","0.647058823529412","0.785714285714286","0.896551724137931","0.92","0","0.0131578947368421","0.0410958904109589","0.0811366160681229","0.0921052631578947","100","rural","poor_npl1"
"7","30","0.476050420168067","0.5","0.655172413793103","0.8","0.826086956521739","0.0434476423759951","0.0555555555555556","0.106666666666667","0.171428571428571","0.184642857142857","100","rural","poor_npl1"
"8","35","0.310278514588859","0.346087533156499","0.5","0.652173913043478","0.680045454545455","0.125","0.135045045045045","0.205680902497985","0.283880308880309","0.297297297297297","100","rural","poor_npl1"
"9","40","0.2","0.230769230769231","0.379310344827586","0.533333333333333","0.551819923371647","0.217934782608696","0.23372175769436","0.320512820512821","0.414350649350649","0.428571428571429","100","rural","poor_npl1"
"10","45","0.136215415019763","0.156129807692308","0.3","0.44","0.464285714285714","0.338011199728491","0.355263157894737","0.442857142857143","0.533333333333333","0.547945205479452","100","rural","poor_npl1"
"11","50","0.04","0.0689655172413793","0.172413793103448","0.296296296296296","0.321428571428571","0.472159090909091","0.486842105263158","0.584415584415584","0.666666666666667","0.685779220779221","100","rural","poor_npl1"
"12","55","0","0.0303030303030303","0.105263157894737","0.214285714285714","0.233333333333333","0.591504153123871","0.609341032608696","0.693888888888889","0.777777777777778","0.79173801369863","100","rural","poor_npl1"
"13","60","0","0","0.0384615384615385","0.115384615384615","0.130434782608696","0.735294117647059","0.75","0.824324324324324","0.89041095890411","0.901408450704225","100","rural","poor_npl1"
"14","65","0","0","0.0303030303030303","0.0833333333333333","0.0952380952380952","0.805546536796537","0.819444444444444","0.881578947368421","0.934210526315789","0.944463470319635","100","rural","poor_npl1"
"15","70","0","0","0","0.0645161290322581","0.0741452991452991","0.866666666666667","0.875","0.928571428571429","0.972222222222222","0.974691455696203","100","rural","poor_npl1"
"16","75","0","0","0","0.0344827586206897","0.04","0.893307692307692","0.901408450704225","0.945205479452055","0.985915492957746","0.987012987012987","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.916666666666667","0.92535447761194","0.960526315789474","0.988690476190476","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.942007672634271","0.945945945945946","0.984375","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.957746478873239","0.962476265822785","0.986842105263158","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"21","5","0.970364842454395","0.975399674840807","0.985714285714286","1","1","0","0","0","0","0","500","rural","poor_npl1"
"22","10","0.956826712543009","0.9609375","0.977272727272727","0.992484008528785","0.993008207070707","0","0","0","0.00280112044817927","0.00281710034216599","500","rural","poor_npl1"
"23","15","0.900826446280992","0.907656529516995","0.933823529411765","0.961240310077519","0.963242003005582","0.00265957446808511","0.00272479564032698","0.00826446280991736","0.0140056022408964","0.0163498905614866","500","rural","poor_npl1"
"24","20","0.844948320413437","0.852337177426978","0.883889450623526","0.917296340023613","0.923612436386768","0.00561797752808989","0.00815106928243195","0.0161290322580645","0.0244598536903211","0.0251396648044693","500","rural","poor_npl1"
"25","25","0.727924465240642","0.735985714285714","0.781021897810219","0.823943661971831","0.83206106870229","0.0276989179841141","0.0309815635385346","0.0437757317164458","0.0560287751464222","0.0575381981032666","500","rural","poor_npl1"
"26","30","0.593958347195422","0.601449275362319","0.654135338345865","0.705905695611578","0.719704545454545","0.0870683721463806","0.0911476644902059","0.10989010989011","0.130666666666667","0.135875603864734","500","rural","poor_npl1"
"27","35","0.438848920863309","0.447988059701493","0.5","0.560339678984696","0.57037037037037","0.176622568649886","0.182065217391304","0.206478027742161","0.231866127526232","0.237060709328202","500","rural","poor_npl1"
"28","40","0.314085820895522","0.323296703296703","0.372715187770023","0.428571428571429","0.436532738095238","0.282191780821918","0.287245132897011","0.318681318681319","0.347957415957569","0.353606967046532","500","rural","poor_npl1"
"29","45","0.236630702650718","0.244444444444444","0.292307692307692","0.34402972972973","0.352952233524989","0.402203108156665","0.408444835680751","0.440724657981977","0.472378953321443","0.478293448643526","500","rural","poor_npl1"
"30","50","0.12781954887218","0.133802816901408","0.172797100665332","0.214285714285714","0.221374045801527","0.543956043956044","0.550135501355014","0.580381471389646","0.612474686560052","0.618164135733033","500","rural","poor_npl1"
"31","55","0.0703029392482517","0.0769230769230769","0.110294117647059","0.142857142857143","0.14790107834507","0.660269932276435","0.664061474737533","0.693150684931507","0.722078413563427","0.728296399204843","500","rural","poor_npl1"
"32","60","0.0166532258064516","0.0218978102189781","0.0431654676258993","0.0647716609321238","0.068189601494396","0.793473706582463","0.797703178887389","0.821138211382114","0.844698305381107","0.850136239782016","500","rural","poor_npl1"
"33","65","0.0072992700729927","0.00757575757575758","0.0266666666666667","0.0431811072880826","0.046875","0.85558583106267","0.859504132231405","0.879501937761406","0.901639344262295","0.905666717386894","500","rural","poor_npl1"
"34","70","0","0","0.0152671755725191","0.0303030303030303","0.032258064516129","0.904109589041096","0.907596108281009","0.924932975871314","0.94118431372549","0.945355191256831","500","rural","poor_npl1"
"35","75","0","0","0","0.008","0.00813174730107957","0.924114086249558","0.927576601671309","0.942465753424658","0.957041394866793","0.959568733153639","500","rural","poor_npl1"
"36","80","0","0","0","0","0","0.945942283747162","0.947802197802198","0.96100278551532","0.97289972899729","0.975279778123784","500","rural","poor_npl1"
"37","85","0","0","0","0","0","0.96448087431694","0.966846237431322","0.976063829787234","0.986338797814208","0.988765614211286","500","rural","poor_npl1"
"38","90","0","0","0","0","0","0.979997126436782","0.980713589942621","0.986719764095039","0.99460988899516","0.997175141242938","500","rural","poor_npl1"
"39","95","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"40","5","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"42","15","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"43","20","0.833333333333333","0.857142857142857","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"44","25","0.833333333333333","0.857142857142857","1","1","1","0","0","0","0.0108755375059723","0.0111111111111111","100","urban","poor_npl1"
"45","30","0.833333333333333","0.857142857142857","1","1","1","0","0","0","0.0112359550561798","0.0212765957446809","100","urban","poor_npl1"
"46","35","0.75","0.8","1","1","1","0","0","0.0108695652173913","0.0326086956521739","0.0333333333333333","100","urban","poor_npl1"
"47","40","0.571428571428571","0.625","0.857142857142857","1","1","0","0","0.0222222222222222","0.0537634408602151","0.0555555555555556","100","urban","poor_npl1"
"48","45","0.5","0.6","0.833333333333333","1","1","0.0106382978723404","0.0108695652173913","0.0425531914893617","0.0752688172043011","0.0777996254681648","100","urban","poor_npl1"
"49","50","0.373958333333333","0.428571428571429","0.714285714285714","1","1","0.0217391304347826","0.0319148936170213","0.0652173913043478","0.106382978723404","0.112385613344145","100","urban","poor_npl1"
"50","55","0.333333333333333","0.4","0.666666666666667","1","1","0.0416666666666667","0.04393215480172","0.0851063829787234","0.129032258064516","0.136842105263158","100","urban","poor_npl1"
"51","60","0.2","0.25","0.571428571428571","0.833333333333333","1","0.074468085106383","0.0851063829787234","0.135416666666667","0.189473684210526","0.2","100","urban","poor_npl1"
"52","65","0.166666666666667","0.2","0.5","0.8","0.833333333333333","0.0957446808510638","0.10752688172043","0.164835164835165","0.223469997609371","0.234105467856326","100","urban","poor_npl1"
"53","70","0","0","0.3","0.6","0.666666666666667","0.166666666666667","0.180851063829787","0.252747252747253","0.319148936170213","0.326315789473684","100","urban","poor_npl1"
"54","75","0","0","0.166666666666667","0.444444444444444","0.5","0.28086565180621","0.293478260869565","0.370786516853933","0.446808510638298","0.456521739130435","100","urban","poor_npl1"
"55","80","0","0","0.1","0.285714285714286","0.333333333333333","0.406540930979133","0.419354838709677","0.494623655913978","0.571502976190476","0.585215565509518","100","urban","poor_npl1"
"56","85","0","0","0","0.2","0.25","0.56043956043956","0.576086956521739","0.652173913043478","0.721649484536082","0.736899313501144","100","urban","poor_npl1"
"57","90","0","0","0","0.142857142857143","0.166666666666667","0.670124113475177","0.685362725940401","0.75","0.815316736792894","0.831578947368421","100","urban","poor_npl1"
"58","95","0","0","0","0","0","0.870967741935484","0.877777777777778","0.922222222222222","0.957446808510638","0.967041925465838","100","urban","poor_npl1"
"59","5","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"60","10","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"61","15","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"62","20","0.970588235294118","0.970588235294118","0.973684210526316","1","1","0","0","0","0","0","500","urban","poor_npl1"
"63","25","0.970588235294118","0.970588235294118","0.973684210526316","1","1","0","0","0.00215982721382289","0.00217391304347826","0.00217864923747277","500","urban","poor_npl1"
"64","30","0.970588235294118","0.970588235294118","0.973684210526316","1","1","0.00214592274678112","0.0021551724137931","0.00431965442764579","0.00434782608695652","0.00435729847494553","500","urban","poor_npl1"
"65","35","0.941176470588235","0.942857142857143","0.948717948717949","0.973684210526316","0.974358974358974","0.00869518060926153","0.010752688172043","0.0130151843817787","0.0151843817787419","0.0152173913043478","500","urban","poor_npl1"
"66","40","0.828571428571429","0.833333333333333","0.853658536585366","0.891891891891892","0.897435897435897","0.0215982721382289","0.0217391304347826","0.0279569892473118","0.0303687635574837","0.0303687635574837","500","urban","poor_npl1"
"67","45","0.805555555555556","0.805555555555556","0.83130081300813","0.868421052631579","0.885714285714286","0.0365571784577046","0.0367965367965368","0.0431965442764579","0.0475161987041037","0.0476190476190476","500","urban","poor_npl1"
"68","50","0.666666666666667","0.675675675675676","0.710526315789474","0.756756756756757","0.763196594427245","0.0581896551724138","0.058695652173913","0.0652173913043478","0.0714285714285714","0.0717391304347826","500","urban","poor_npl1"
"69","55","0.638888888888889","0.648648648648649","0.69047619047619","0.735294117647059","0.742857142857143","0.0757575757575758","0.0777537796976242","0.0847826086956522","0.091116193530133","0.0928725701943845","500","urban","poor_npl1"
