"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-10.4569851143725","10.0665043890369","1.988369361233","100","rural","poor_npl1"
"-7.8855166144599","7.5971093862587","2.04891493652772","150","rural","poor_npl1"
"-6.67777733197814","6.57811637019925","1.89095260987038","200","rural","poor_npl1"
"-5.79270364909462","5.28363374401888","2.06964872238757","250","rural","poor_npl1"
"-5.21542022117331","5.04134124765878","1.94940309783183","300","rural","poor_npl1"
"-4.64663074510305","4.50872865487437","2.21379361514939","350","rural","poor_npl1"
"-4.17875149814123","3.93063693076258","2.08470610622603","400","rural","poor_npl1"
"-3.64755544525376","3.87589270997028","1.92705594804484","450","rural","poor_npl1"
"-3.57140675250547","3.50548903919466","2.0710776056694","500","rural","poor_npl1"
"-6.24708770397138","5.47995045531851","-0.591262401725498","100","urban","poor_npl1"
"-4.9054168562416","4.58006535430723","-0.181488099031885","150","urban","poor_npl1"
"-3.86635780524933","3.49393142468105","-0.268453227497284","200","urban","poor_npl1"
"-3.38843221463988","3.36423551901528","-0.31932018294336","250","urban","poor_npl1"
"-2.5663243582654","2.73299334360735","-0.301071590414881","300","urban","poor_npl1"
"-2.36122873031819","2.44881131544981","-0.330956093819685","350","urban","poor_npl1"
"-1.76075752412733","2.01318118578586","-0.330272043375136","400","urban","poor_npl1"
"-1.44494439693846","1.70654420643633","-0.336723634222529","450","urban","poor_npl1"
"-0.969068184147418","1.29696732180855","-0.330818028509849","500","urban","poor_npl1"
"-10.6016616831816","8.55171007234851","1.42565928827636","100","full","poor_npl1"
"-8.1482855238555","6.84037764317798","1.25005269268754","150","full","poor_npl1"
"-6.81478849464488","6.41461798989315","1.28887493224613","200","full","poor_npl1"
"-6.10469288438879","5.36524888209641","1.31279279865451","250","full","poor_npl1"
"-5.79994196106577","5.33313497046342","1.34190855040298","300","full","poor_npl1"
"-4.84135978129901","4.5416231760098","1.42709093920808","350","full","poor_npl1"
"-4.6562026505804","4.33143822065802","1.40249275511764","400","full","poor_npl1"
"-3.89977841475192","3.91327421478781","1.34990280105204","450","full","poor_npl1"
"-3.78628986735555","3.61899373782199","1.3705794553937","500","full","poor_npl1"
