"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-11.3667583724516","8.81361223797877","1.1376327330317","100","rural","poor_npl1"
"-7.94899355327059","7.39802812845298","1.37857668154654","150","rural","poor_npl1"
"-6.80506375217737","6.34795780534945","0.957191309290069","200","rural","poor_npl1"
"-5.78582286890219","6.03356054701911","1.04655397411217","250","rural","poor_npl1"
"-5.3853273716894","4.86319333431468","1.10039719145722","300","rural","poor_npl1"
"-4.47161604279471","4.57419453046033","1.26600962393031","350","rural","poor_npl1"
"-3.97358316789142","4.07308950278429","1.05854731711857","400","rural","poor_npl1"
"-3.74184453490366","3.69489465031359","1.26817478104359","450","rural","poor_npl1"
"-3.21114900467327","3.27839283527369","1.1809559416938","500","rural","poor_npl1"
"-6.42455727697261","5.23682505511839","1.81917530287479","100","urban","poor_npl1"
"-4.39550307221396","4.11159724908011","1.84877022666681","150","urban","poor_npl1"
"-3.53130269950239","3.38277603582844","1.72188302542012","200","urban","poor_npl1"
"-3.03084362456822","2.79703046247375","1.74119939459619","250","urban","poor_npl1"
"-2.44708726126612","2.38614853909708","1.90149739604559","300","urban","poor_npl1"
"-2.06684197376852","2.06197432292551","1.7906785999305","350","urban","poor_npl1"
"-1.59008730600066","1.79716955516124","1.80913547225348","400","urban","poor_npl1"
"-1.35917295748195","1.42168466433398","1.81958772870784","450","urban","poor_npl1"
"-0.904060466516506","1.06388473674035","1.80362616521491","500","urban","poor_npl1"
"-9.26107000504483","8.36220834096144","1.35203432453527","100","full","poor_npl1"
"-7.75793853027374","6.71449557026599","1.42637645197064","150","full","poor_npl1"
"-6.58686023069475","6.2519693126125","1.52760867797891","200","full","poor_npl1"
"-5.41311621574481","4.95725820733807","1.12438388009655","250","full","poor_npl1"
"-4.91353937044491","4.74391735275441","1.22030464609052","300","full","poor_npl1"
"-4.49011054989454","4.21541808701796","1.44971141617683","350","full","poor_npl1"
"-4.13643996574981","4.15897425695522","1.3354976294751","400","full","poor_npl1"
"-3.96004363332408","3.58193913361543","1.39457709913758","450","full","poor_npl1"
"-3.69121903379416","3.50630934029155","1.4577029909808","500","full","poor_npl1"
"-6.10230326984951","4.04229893524399","0.063616322209312","100","rural","poor_npl2"
"-4.42557826498215","3.36164869997141","0.365762509554655","150","rural","poor_npl2"
"-3.72510933887403","3.13495765715473","0.19934000798919","200","rural","poor_npl2"
"-3.14268634154815","2.67067156516113","0.322619732323623","250","rural","poor_npl2"
"-2.76899324514077","2.363134946305","0.232378871654392","300","rural","poor_npl2"
"-2.33099277965456","2.19663110857551","0.279928540865925","350","rural","poor_npl2"
"-2.21364019279892","2.02752326853856","0.246619394598414","400","rural","poor_npl2"
"-1.92212571165751","1.84036008291463","0.292086740578451","450","rural","poor_npl2"
"-1.79522735954936","1.6575020948599","0.274535698316179","500","rural","poor_npl2"
"-4.493510584985","2.44590467158772","-1.32572691707743","100","urban","poor_npl2"
"-3.05023692065471","2.0694441517751","-1.30367285066639","150","urban","poor_npl2"
"-2.25219985071366","1.92418272643183","-1.39021264462062","200","urban","poor_npl2"
"-1.83961821378652","1.65747167331649","-1.372968606875","250","urban","poor_npl2"
"-1.46313550381455","1.50559288508116","-1.29807778012287","300","urban","poor_npl2"
"-1.19282375134482","1.33317624917793","-1.32349580716381","350","urban","poor_npl2"
"-0.889217768770779","1.13230695786166","-1.31640394950409","400","urban","poor_npl2"
"-0.631272906033205","0.95107200534657","-1.32587121777036","450","urban","poor_npl2"
"-0.390349678706996","0.788131948310068","-1.31130222205849","500","urban","poor_npl2"
"-5.86246465030878","3.62301657277873","-0.204855578442781","100","full","poor_npl2"
"-4.62361102084065","3.21884615666319","-0.144224729990268","150","full","poor_npl2"
"-3.91362931339173","2.83945680308521","-0.00618572371203183","200","full","poor_npl2"
"-3.18508382953169","2.53010013484355","-0.215729851968158","250","full","poor_npl2"
"-2.9028858215168","2.23867454097739","-0.150339388844891","300","full","poor_npl2"
"-2.63217538063802","2.17790827125686","-0.139263182548917","350","full","poor_npl2"
"-2.34608907333759","2.1206647760817","-0.180537481768764","400","full","poor_npl2"
"-1.99666538704939","1.93507997469129","-0.154123791150027","450","full","poor_npl2"
"-1.82670124568197","1.77342299514665","-0.154492364088116","500","full","poor_npl2"
"-13.0815599310242","11.8279514158836","-2.05530884547168","100","rural","poor_150npl1"
"-10.6182665044565","9.80926276535947","-2.01626643604155","150","rural","poor_150npl1"
"-7.98137363477273","8.13507615383313","-2.01635937818543","200","rural","poor_150npl1"
"-7.47949309419261","7.1429053799537","-1.92305740887581","250","rural","poor_150npl1"
"-6.27328905785165","6.14389111123268","-2.01954044311466","300","rural","poor_150npl1"
"-5.72310838901736","5.46902687365413","-1.90160875724847","350","rural","poor_150npl1"
"-5.18726158596508","5.28225918002674","-2.06593651712346","400","rural","poor_150npl1"
"-4.66484387277745","4.57662117745866","-1.8485200715476","450","rural","poor_150npl1"
"-4.48483689623652","4.25274647115299","-1.89576707091704","500","rural","poor_150npl1"
"-9.33544954178559","8.68996102847307","5.31442694361369","100","urban","poor_150npl1"
"-7.66266880075341","6.48070898376752","5.33084539834707","150","urban","poor_150npl1"
"-6.09015370777545","5.63562646724607","5.35775861394124","200","urban","poor_150npl1"
"-4.88318522536119","4.57575268630176","5.39798520844091","250","urban","poor_150npl1"
"-3.64548953586716","3.66605935341299","5.49205497002504","300","urban","poor_150npl1"
"-3.35912144126787","3.60214959932837","5.34245564869158","350","urban","poor_150npl1"
"-2.95003449828243","2.58071458536838","5.40732548151385","400","urban","poor_150npl1"
"-2.07936596319586","2.28326618458844","5.34254763052181","450","urban","poor_150npl1"
"-1.48540466969901","1.69418230400791","5.32286543335235","500","urban","poor_150npl1"
