"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.894736842105263","0.91304347826087","0.96875","1","1","0","0","0.0138888888888889","0.0422535211267606","0.0506491398896462","100","rural","poor_npl1"
"3","10","0.851851851851852","0.870967741935484","0.954545454545455","1","1","0","0","0.028169014084507","0.0657894736842105","0.075","100","rural","poor_npl1"
"4","15","0.551681034482759","0.571428571428571","0.72","0.857142857142857","0.875","0.0958580155497964","0.111043360433604","0.171428571428571","0.246376811594203","0.263176169590643","100","rural","poor_npl1"
"5","20","0.478260869565217","0.515151515151515","0.666666666666667","0.800322580645161","0.838741935483871","0.116859589685677","0.125","0.194444444444444","0.271493506493506","0.287504280821918","100","rural","poor_npl1"
"6","25","0.129032258064516","0.151439393939394","0.28125","0.419439728353141","0.454545454545455","0.397260273972603","0.408450704225352","0.5","0.581081081081081","0.605695660449181","100","rural","poor_npl1"
"7","30","0.129032258064516","0.151439393939394","0.28125","0.419439728353141","0.454545454545455","0.397260273972603","0.408450704225352","0.5","0.581081081081081","0.605695660449181","100","rural","poor_npl1"
"8","35","0","0","0.0833333333333333","0.185185185185185","0.206932471264368","0.714236790606654","0.728338945005612","0.8","0.873239436619718","0.884642857142857","100","rural","poor_npl1"
"9","40","0","0","0.0769230769230769","0.178571428571429","0.2","0.732394366197183","0.743572418572419","0.814814814814815","0.885714285714286","0.898555310952119","100","rural","poor_npl1"
"10","45","0","0","0","0.0666666666666667","0.08","0.91044776119403","0.918918918918919","0.96","0.987179487179487","1","100","rural","poor_npl1"
"11","50","0","0","0","0","0","0.973684210526316","0.985294117647059","1","1","1","100","rural","poor_npl1"
"12","55","0","0","0","0","0","0.985507246376812","0.986111111111111","1","1","1","100","rural","poor_npl1"
"13","60","0","0","0","0","0","0.986301369863014","0.986842105263158","1","1","1","100","rural","poor_npl1"
"14","65","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"15","70","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"16","75","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"21","5","0.948895717045942","0.953488372093023","0.971223021582734","0.991735537190083","0.992369281983585","0.00810756173963721","0.00840102057536106","0.0166204986149584","0.0251431857659265","0.027175764127473","500","rural","poor_npl1"
"22","10","0.915368217054264","0.921240015861327","0.9453125","0.969465648854962","0.971223021582734","0.0190722737234925","0.021505376344086","0.032345013477089","0.0432491027612979","0.0453333333333333","500","rural","poor_npl1"
"23","15","0.659416264090177","0.669291338582677","0.715328467153285","0.757825100806452","0.769246031746032","0.145110983750739","0.148745283237262","0.173313045979622","0.197831978319783","0.201657458563536","500","rural","poor_npl1"
"24","20","0.59574076971214","0.604838709677419","0.656716417910448","0.703138241525424","0.711864406779661","0.165310514449682","0.171662125340599","0.196629213483146","0.222520107238606","0.227781339031339","500","rural","poor_npl1"
"25","25","0.227254971590909","0.238095238095238","0.282608695652174","0.326094665433241","0.333333333333333","0.459010763826338","0.464659590610678","0.497237569060773","0.529745975483681","0.536784741144414","500","rural","poor_npl1"
"26","30","0.227254971590909","0.238095238095238","0.282608695652174","0.326094665433241","0.333333333333333","0.459010763826338","0.464659590610678","0.497237569060773","0.529745975483681","0.536784741144414","500","rural","poor_npl1"
"27","35","0.0538461538461538","0.0583941605839416","0.0866141732283465","0.116279069767442","0.1209738514174","0.767952156736979","0.774972826086957","0.8","0.824797843665768","0.828885107762113","500","rural","poor_npl1"
"28","40","0.0510856341902042","0.0555555555555556","0.0827067669172932","0.111111111111111","0.116291801052453","0.7847317802243","0.789617486338798","0.815508021390374","0.838373840035351","0.842981907527362","500","rural","poor_npl1"
"29","45","0","0.00709219858156028","0.015748031496063","0.0310198643410853","0.032520325203252","0.941329411764706","0.944590643274854","0.957746478873239","0.971514018389018","0.97289972899729","500","rural","poor_npl1"
"30","50","0","0","0","0","0","0.989304812834225","0.991665506035283","0.994623655913978","1","1","500","rural","poor_npl1"
"31","55","0","0","0","0","0","0.994444444444444","0.994490358126722","0.997289972899729","1","1","500","rural","poor_npl1"
"32","60","0","0","0","0","0","0.997206703910615","0.997222222222222","1","1","1","500","rural","poor_npl1"
"33","65","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"34","70","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"35","75","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"36","80","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"37","85","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"38","90","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"39","95","0","0","0","0","0","1","1","1","1","1","500","rural","poor_npl1"
"40","5","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"42","15","0.857142857142857","0.875","1","1","1","0","0","0","0.0113636363636364","0.021505376344086","100","urban","poor_npl1"
"43","20","0.857142857142857","0.875","1","1","1","0","0","0","0.021505376344086","0.0222222222222222","100","urban","poor_npl1"
"44","25","0.666666666666667","0.714285714285714","0.894444444444444","1","1","0","0","0.0319148936170213","0.0568181818181818","0.0652173913043478","100","urban","poor_npl1"
"45","30","0.666666666666667","0.714285714285714","0.894444444444444","1","1","0","0.0105263157894737","0.032258064516129","0.0645161290322581","0.0666853932584269","100","urban","poor_npl1"
"46","35","0.428571428571429","0.5","0.75","1","1","0.0444444444444444","0.0555250305250305","0.1","0.150619448340346","0.163088270425227","100","urban","poor_npl1"
"47","40","0.299642857142857","0.375","0.666666666666667","0.888888888888889","1","0.0989010989010989","0.112297128589263","0.166666666666667","0.22830615942029","0.239130434782609","100","urban","poor_npl1"
"48","45","0.142857142857143","0.2","0.5","0.75","0.818560606060606","0.271716485507246","0.282608695652174","0.354838709677419","0.433333333333333","0.447916666666667","100","urban","poor_npl1"
"49","50","0","0","0.222222222222222","0.5","0.5","0.51647465437788","0.527472527472527","0.606382978723404","0.681318681318681","0.69796875","100","urban","poor_npl1"
"50","55","0","0","0.2","0.5","0.5","0.628835819258609","0.641304347826087","0.711111111111111","0.782608695652174","0.797872340425532","100","urban","poor_npl1"
"51","60","0","0","0.142857142857143","0.333333333333333","0.4","0.802142857142857","0.810449438202247","0.869565217391304","0.917531837477259","0.925531914893617","100","urban","poor_npl1"
"52","65","0","0","0","0.166666666666667","0.2","0.89010989010989","0.898818947906027","0.936842105263158","0.969072164948454","0.978494623655914","100","urban","poor_npl1"
"53","70","0","0","0","0","0","0.977272727272727","0.977777777777778","0.989473684210526","1","1","100","urban","poor_npl1"
"54","75","0","0","0","0","0","1","1","1","1","1","100","urban","poor_npl1"
"55","80","0","0","0","0","0","1","1","1","1","1","100","urban","poor_npl1"
"56","85","0","0","0","0","0","1","1","1","1","1","100","urban","poor_npl1"
"57","90","0","0","0","0","0","1","1","1","1","1","100","urban","poor_npl1"
"58","95","0","0","0","0","0","1","1","1","1","1","100","urban","poor_npl1"
"59","5","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"60","10","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"61","15","0.972222222222222","0.972972972972973","0.975609756097561","1","1","0.00215971084382215","0.00216450216450216","0.00433839479392625","0.00437636761487965","0.0043859649122807","500","urban","poor_npl1"
"62","20","0.972222222222222","0.972972972972973","0.975609756097561","1","1","0.00217864923747277","0.00430988134964776","0.00650759219088937","0.00656455142231947","0.00657894736842105","500","urban","poor_npl1"
"63","25","0.864864864864865","0.868421052631579","0.888888888888889","0.925","0.926829268292683","0.0239130434782609","0.0259179265658747","0.0305010893246187","0.0347826086956522","0.0348583877995643","500","urban","poor_npl1"
"64","30","0.864864864864865","0.868421052631579","0.888888888888889","0.925","0.926829268292683","0.0260303687635575","0.0262553390729363","0.0326086956521739","0.0368763557483731","0.037037037037037","500","urban","poor_npl1"
"65","35","0.7","0.702702702702703","0.738095238095238","0.780487804878049","0.789473684210526","0.0911062906724512","0.0934782608695652","0.10239651416122","0.11038961038961","0.111597374179431","500","urban","poor_npl1"
"66","40","0.6","0.609756097560976","0.65","0.7","0.710526315789474","0.157315965179175","0.159737417943107","0.170995670995671","0.180434782608696","0.182608695652174","500","urban","poor_npl1"
"67","45","0.425","0.432432432432432","0.476190476190476","0.525","0.538461538461538","0.342794759825328","0.345648182927974","0.359307359307359","0.371739130434783","0.373913043478261","500","urban","poor_npl1"
"68","50","0.184210526315789","0.195121951219512","0.243243243243243","0.275","0.282051282051282","0.589244389901823","0.591703056768559","0.605206073752712","0.619580477040098","0.622277965122337","500","urban","poor_npl1"
