"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.6445278731693","10.0000919592663","3.22370212142197","100","rural","poor_npl1"
"-7.87886875361884","7.24907605221802","3.3484981426463","150","rural","poor_npl1"
"-6.34014418881116","6.30729031062318","2.94410761028347","200","rural","poor_npl1"
"-5.65014044559331","5.57386604031475","3.04308087061411","250","rural","poor_npl1"
"-5.11728100821184","4.85901040141651","3.11144630845686","300","rural","poor_npl1"
"-4.71563219081528","4.07466144693262","3.08113844549864","350","rural","poor_npl1"
"-4.45421684464576","4.46963878085269","3.15747594716397","400","rural","poor_npl1"
"-3.579291536577","3.50886741823387","3.19471995767568","450","rural","poor_npl1"
"-3.1513614717669","3.29823901437073","3.12396241034551","500","rural","poor_npl1"
"-6.52116203549781","5.24607276736513","-1.18272231211429","100","urban","poor_npl1"
"-4.61810629797173","3.94425996871495","-0.876604215791268","150","urban","poor_npl1"
"-3.83060770961263","3.43571965239416","-1.00519465412066","200","urban","poor_npl1"
"-2.96664168231016","2.93209359177772","-0.991804343357144","250","urban","poor_npl1"
"-2.75464324176087","2.58775469449769","-1.03396109504916","300","urban","poor_npl1"
"-2.21404225889596","2.20748042557138","-1.02027599173858","350","urban","poor_npl1"
"-1.67234848454257","1.83652161737399","-1.05463585889159","400","urban","poor_npl1"
"-1.33101911366711","1.62835281422703","-0.963519503994249","450","urban","poor_npl1"
"-0.961945464240282","1.26428423101764","-1.04446191053066","500","urban","poor_npl1"
"-9.20677661064793","8.58679902314572","2.08787508165755","100","full","poor_npl1"
"-7.67819707160096","6.93935309401299","1.84079187466036","150","full","poor_npl1"
"-6.84171938995398","6.1056626885065","2.1108697043367","200","full","poor_npl1"
"-6.16949498757814","5.38143971293307","1.92602582480248","250","full","poor_npl1"
"-5.12270084878404","4.85092852618736","1.84529678681754","300","full","poor_npl1"
"-4.24329811932611","4.36908428382915","1.94355335800554","350","full","poor_npl1"
"-4.25040461061093","3.90099324797","1.95030773937945","400","full","poor_npl1"
"-3.96530725096658","3.68786742335695","1.86917707128786","450","full","poor_npl1"
"-3.79700965169416","3.42292614559165","1.95524898287547","500","full","poor_npl1"
"-4.90673512455378","3.7834505998997","1.45471428850722","100","rural","poor_npl2"
"-3.68176311318488","3.16207129982768","1.42892373913395","150","rural","poor_npl2"
"-3.28239038413547","2.64496739050217","1.38375005989032","200","rural","poor_npl2"
"-2.69372797635728","2.39849718984402","1.41460083175584","250","rural","poor_npl2"
"-2.3306456169842","2.21160672497512","1.40341631231425","300","rural","poor_npl2"
"-2.06096615389198","1.92159951550034","1.44648149852132","350","rural","poor_npl2"
"-1.93528020798061","1.7036923725721","1.41834589569622","400","rural","poor_npl2"
"-1.61450313255449","1.60937530236265","1.451882602714","450","rural","poor_npl2"
"-1.57692236498307","1.30291944500775","1.43878524702956","500","rural","poor_npl2"
"-2.75468301809594","1.61041986181926","-0.62489307517592","100","urban","poor_npl2"
"-1.99660039914139","1.40267986233596","-0.496436059303481","150","urban","poor_npl2"
"-1.57528640852395","1.36212921543841","-0.540112904042623","200","urban","poor_npl2"
"-1.31288955834893","1.19929776018889","-0.565329594800848","250","urban","poor_npl2"
"-1.09088545805489","1.0266631535483","-0.546543254297601","300","urban","poor_npl2"
"-0.840624439396197","0.966048914565623","-0.572895207643917","350","urban","poor_npl2"
"-0.647040255847243","0.783594931803202","-0.568294058259279","400","urban","poor_npl2"
"-0.507903522988729","0.687430397298101","-0.541727157990742","450","urban","poor_npl2"
"-0.307135543276002","0.532144212880974","-0.563949118976081","500","urban","poor_npl2"
"-4.55909238846165","3.45555862144165","0.852518782810771","100","full","poor_npl2"
"-3.94281258995269","2.90361001222998","0.837146809001716","150","full","poor_npl2"
"-3.36036967663674","2.59652557144581","0.910176909210586","200","full","poor_npl2"
"-2.65940353424351","2.16592395701291","0.840489645229548","250","full","poor_npl2"
"-2.18158869747363","2.092070506525","0.880086584333104","300","full","poor_npl2"
"-2.15244084755222","1.9051907063042","0.827089393411266","350","full","poor_npl2"
"-1.99485005325918","1.76437455072182","0.854318489340478","400","full","poor_npl2"
"-1.8261539133362","1.67050213266399","0.838651138172349","450","full","poor_npl2"
"-1.6700321453991","1.48105745063236","0.843389677756444","500","full","poor_npl2"
"-12.4640715369009","12.1323961502309","4.37569011411576","100","rural","poor_150npl1"
"-9.60809620013763","9.69965592451296","4.45999627772245","150","rural","poor_150npl1"
"-8.57766725431566","7.56517831358939","4.13212145925556","200","rural","poor_150npl1"
"-6.77406027654378","7.01868244810587","4.28895469600782","250","rural","poor_150npl1"
"-6.10890232379772","5.57169610560615","4.23997484946876","300","rural","poor_150npl1"
"-5.37073447952574","5.61817678190983","4.28232100514964","350","rural","poor_150npl1"
"-5.13175180708853","5.13192554339959","4.34490664736729","400","rural","poor_150npl1"
"-4.52384937705917","4.33363862469327","4.22942486879361","450","rural","poor_150npl1"
"-3.9728869221132","3.88284438892541","4.19484094650685","500","rural","poor_150npl1"
"-8.18156210547749","8.05521535127305","-0.934045104998082","100","urban","poor_150npl1"
"-6.50260947130395","6.17274656807109","-0.71464290062016","150","urban","poor_150npl1"
"-5.20332576155366","5.04232192015186","-0.775950445211052","200","urban","poor_150npl1"
"-4.58955874964408","4.22701844401197","-0.743898511738514","250","urban","poor_150npl1"
"-3.63998773239566","3.68099589057445","-0.755266542392555","300","urban","poor_150npl1"
"-3.02771717040817","3.04235813839635","-0.808987763102523","350","urban","poor_150npl1"
"-2.65789846480547","2.81708921251057","-0.775916698927552","400","urban","poor_150npl1"
"-2.26091832883323","2.42590352756267","-0.692740398343103","450","urban","poor_150npl1"
"-1.49098005311256","1.54705033255172","-0.767643885699742","500","urban","poor_150npl1"
"-10.9738559960897","11.2407338788125","3.12336514251753","100","full","poor_150npl1"
"-9.6163701995728","9.29153980681114","2.59617811974824","150","full","poor_150npl1"
"-8.26362956948769","7.78262921917749","2.81798483342055","200","full","poor_150npl1"
"-7.00387118708757","7.49553292740059","2.75680799771214","250","full","poor_150npl1"
"-6.31272607628313","5.89308415142975","2.9823365650409","300","full","poor_150npl1"
"-5.37190454013606","5.84814080336286","2.83272102128885","350","full","poor_150npl1"
"-5.21848564049473","5.11722561313545","2.86518948021648","400","full","poor_150npl1"
"-4.93480206299128","5.17262684905876","2.91066219395508","450","full","poor_150npl1"
"-4.33682628652621","4.37423344745649","2.82319003213958","500","full","poor_150npl1"
"-11.6863566938367","11.7715701257995","2.84195112561608","100","rural","poor_200npl1"
"-9.38609718178432","9.45457615701562","2.8612277741935","150","rural","poor_200npl1"
"-8.14063738885091","7.53487088099406","2.50111947004009","200","rural","poor_200npl1"
"-6.79085654753052","7.22114721371538","2.80001809678246","250","rural","poor_200npl1"
"-6.13693306080538","6.1349220815333","2.72416751433729","300","rural","poor_200npl1"
"-5.60947612157549","5.28027349088135","2.73359667831591","350","rural","poor_200npl1"
"-5.07653728882105","4.88772164342105","2.78424649687776","400","rural","poor_200npl1"
"-4.43720664031491","4.25983886404402","2.86500110036259","450","rural","poor_200npl1"
"-4.13764319529608","3.95395488747383","2.68379767455436","500","rural","poor_200npl1"
"-10.7011566005112","10.5140530450812","-2.57967603242977","100","urban","poor_200npl1"
"-8.34731670913132","7.70306691805406","-2.75443268707162","150","urban","poor_200npl1"
"-6.6154606913207","6.7300275175598","-2.59127859978056","200","urban","poor_200npl1"
"-5.42614124626323","5.29829405761325","-2.66703319764333","250","urban","poor_200npl1"
"-4.45105605806004","4.50155255928714","-2.5689666002825","300","urban","poor_200npl1"
"-3.80006386925624","3.89835327204467","-2.68758426701243","350","urban","poor_200npl1"
"-3.26612781768445","3.29486519347458","-2.53525340192702","400","urban","poor_200npl1"
"-2.61152749039417","2.87423075696191","-2.57181896188042","450","urban","poor_200npl1"
"-2.10945987602428","2.0638057863937","-2.67093153664971","500","urban","poor_200npl1"
"-11.1899443939459","11.696785894563","1.23874337456907","100","full","poor_200npl1"
"-10.3036694295585","9.45901269965385","1.29625921389994","150","full","poor_200npl1"
"-7.99996949921021","8.12913988313677","1.29130249370268","200","full","poor_200npl1"
"-6.86690631872168","6.97792926089286","1.00499020177253","250","full","poor_200npl1"
"-6.57404768957015","6.34674414921052","1.3623126067816","300","full","poor_200npl1"
"-6.14113279716859","6.43022477509112","1.16407415223135","350","full","poor_200npl1"
"-5.66882528513046","5.79564761409299","1.30575762291605","400","full","poor_200npl1"
"-5.10841121106677","4.98089124600418","1.33217028293096","450","full","poor_200npl1"
"-4.66639206143137","4.79178241634688","1.17857763002958","500","full","poor_200npl1"
"-4.24688640066216","2.73981179444078","1.02327286662236","100","rural","poor_2011_100"
"-2.80024628828889","2.38183023618964","1.04182014271318","150","rural","poor_2011_100"
"-2.72385805817443","1.9209091279162","1.01188577578092","200","rural","poor_2011_100"
"-2.2361861515196","1.908103842865","1.00784451318333","250","rural","poor_2011_100"
"-1.85284596669543","1.67236512358588","1.00385625874782","300","rural","poor_2011_100"
"-1.67272969768965","1.48695759695992","1.0499467622534","350","rural","poor_2011_100"
"-1.47613294705721","1.34187764455558","1.01414176496489","400","rural","poor_2011_100"
"-1.37625242614249","1.33280307875628","1.03409903180212","450","rural","poor_2011_100"
"-1.17105433530124","1.13773585424316","1.03173254441854","500","rural","poor_2011_100"
"-2.37487383734226","1.18543630449956","-0.505657108184239","100","urban","poor_2011_100"
"-1.66975769863429","1.02742524794159","-0.40470501109917","150","urban","poor_2011_100"
"-1.32057890750207","1.02805293847021","-0.439790698291377","200","urban","poor_2011_100"
"-1.09910162776609","0.994336981719279","-0.474369933124459","250","urban","poor_2011_100"
"-0.814439297128068","0.893688189051153","-0.457025470261833","300","urban","poor_2011_100"
"-0.696149381518048","0.861367673774635","-0.486236297479977","350","urban","poor_2011_100"
"-0.510635787210441","0.677156821442983","-0.468513748588177","400","urban","poor_2011_100"
"-0.381455937042563","0.593405448980976","-0.459868965533458","450","urban","poor_2011_100"
"-0.229589875551223","0.499495909913905","-0.467541992760152","500","urban","poor_2011_100"
"-3.80119095338351","2.51315795231977","0.62039468536753","100","full","poor_2011_100"
"-3.12092514030869","2.04013895609332","0.55575865841647","150","full","poor_2011_100"
"-2.65112431543747","1.90179722313966","0.650867919637517","200","full","poor_2011_100"
"-2.21704160704836","1.65474074919312","0.60849132566459","250","full","poor_2011_100"
"-1.8822203897088","1.60587540951137","0.620995729012106","300","full","poor_2011_100"
"-1.81923304272677","1.46300883234319","0.5890745526435","350","full","poor_2011_100"
"-1.67279378016366","1.38489191965615","0.580124008320069","400","full","poor_2011_100"
"-1.52667748457343","1.20820331555278","0.607791889554735","450","full","poor_2011_100"
"-1.33955597629028","1.18858727038913","0.604965053900189","500","full","poor_2011_100"
"-9.17282540715634","8.64915863365767","2.00716564930855","100","rural","poor_2011_190"
"-7.92344437549211","6.99605157609139","1.96524796834225","150","rural","poor_2011_190"
"-6.43687936331704","6.14061450374781","1.63034744041904","200","rural","poor_2011_190"
"-4.98114831662937","4.86222178687116","1.69727494600206","250","rural","poor_2011_190"
"-5.02106057726387","5.00268161689354","1.75512415329823","300","rural","poor_2011_190"
"-4.21112642185403","4.08296873844331","1.68732865800247","350","rural","poor_2011_190"
"-3.98746405205026","4.23304527637767","1.82804695751962","400","rural","poor_2011_190"
"-3.64367040065807","3.32283341273794","1.76951135302337","450","rural","poor_2011_190"
"-3.01455642592552","2.81527629082032","1.76658033070108","500","rural","poor_2011_190"
"-5.09394961021463","3.86651074775716","-1.30207840888673","100","urban","poor_2011_190"
"-3.28403584771869","2.76244281273554","-1.09684109198701","150","urban","poor_2011_190"
"-2.71992517912272","2.43877510901059","-1.24847712584691","200","urban","poor_2011_190"
"-2.21979827407422","2.13863353877858","-1.18548580691155","250","urban","poor_2011_190"
"-2.03235483185106","2.02146316729704","-1.22070371142325","300","urban","poor_2011_190"
"-1.55331301270077","1.63736828450616","-1.20751035171557","350","urban","poor_2011_190"
"-1.21140524048789","1.47841858044137","-1.21322979417858","400","urban","poor_2011_190"
"-0.995883499430638","1.16675102723058","-1.14768605253801","450","urban","poor_2011_190"
"-0.733010020551405","0.902064093983548","-1.20467967900846","500","urban","poor_2011_190"
"-8.65967907430025","7.99502282570538","1.12378416227382","100","full","poor_2011_190"
"-7.27722598892462","6.58664003949181","0.805895327801727","150","full","poor_2011_190"
"-5.87448967248616","5.21329480457074","1.15432052504134","200","full","poor_2011_190"
"-5.44641366277969","5.51900355872084","0.947005101346692","250","full","poor_2011_190"
"-4.64212894119896","4.38159505570573","0.809666710613164","300","full","poor_2011_190"
"-4.19059304972839","3.94060662825854","0.81815185604937","350","full","poor_2011_190"
"-3.80274440769624","3.80233431719885","0.89849477657753","400","full","poor_2011_190"
"-3.87860690599645","3.40501832517438","0.752373338886829","450","full","poor_2011_190"
"-3.63279340910829","3.17112132964506","0.854823832502884","500","full","poor_2011_190"
"-12.4375799431727","11.6409513013512","3.79724331010371","100","rural","poor_2011_320"
"-9.72157251920688","9.36791330441793","3.85280490086196","150","rural","poor_2011_320"
"-8.24671581215961","7.56558721836","3.53537241046032","200","rural","poor_2011_320"
"-6.80418923220399","7.0028196270225","3.6525711023942","250","rural","poor_2011_320"
"-5.87334587181194","5.70117571369255","3.5991693208558","300","rural","poor_2011_320"
"-5.53161111568874","5.53148491295268","3.7227764408622","350","rural","poor_2011_320"
"-4.94203178227233","4.93829185244266","3.72738192691896","400","rural","poor_2011_320"
