"","stable_coef_names","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1","hh_cook1",10,7,9,10,13,8,9,13,15,16,19,19,7,11,12,10,10,10,13
"2","hh_light1",9,18,9,10,13,10,9,9,9,8,3,0,10,9,9,11,10,9,8
"3","hh_roof1",7,4,7,6,3,6,6,7,6,5,5,5,4,5,7,7,5,6,7
"4","hh_size1",19,28,18,16,21,22,19,15,14,14,13,9,34,19,15,18,19,17,14
"5","hh_size2",11,17,10,9,12,12,11,9,8,11,12,12,20,11,8,10,10,9,7
"6","hh_toilet1",6,8,5,6,6,5,5,7,7,7,6,4,1,5,7,6,4,6,7
"7","hhead_maxgrade1",11,4,11,10,7,10,12,11,12,12,16,15,11,10,11,10,11,10,12
"8","hmany041",8,5,7,8,6,6,7,7,9,10,13,14,0,7,7,7,6,8,7
"9","hmany042",13,11,9,9,15,13,10,7,8,8,9,9,15,10,7,12,10,10,7
"10","hmany311",8,0,7,8,0,8,7,8,9,9,11,13,2,7,9,9,6,8,9
"11","purchased071",7,6,16,16,3,8,16,14,12,11,5,0,7,13,14,7,14,16,14
"12","region1",0,14,0,0,19,0,0,2,4,5,4,5,2,0,3,0,0,0,3
"13","region2",10,15,9,9,10,10,10,8,8,8,9,9,9,11,8,10,10,9,9
"14","region4",7,5,4,4,11,9,4,7,7,7,9,9,9,4,7,7,4,4,7
"15","region5",4,9,1,0,7,5,1,0,0,0,0,2,0,1,0,4,1,0,0
