"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.952380952380952","0.956521739130435","1","1","1","0","0","0","0","0","100","rural","poor_npl1"
"3","10","0.9","0.92","0.970588235294118","1","1","0","0","0","0","0","100","rural","poor_npl1"
"4","15","0.85","0.869565217391304","0.958333333333333","1","1","0","0","0.0126582278481013","0.028169014084507","0.036596657633243","100","rural","poor_npl1"
"5","20","0.806290322580645","0.833333333333333","0.931034482758621","1","1","0","0","0.0138888888888889","0.0422535211267606","0.0519651401230348","100","rural","poor_npl1"
"6","25","0.687357954545455","0.72404214559387","0.851851851851852","0.952380952380952","0.962962962962963","0","0.012987012987013","0.0447761194029851","0.0909090909090909","0.0986267605633802","100","rural","poor_npl1"
"7","30","0.56","0.6","0.758620689655172","0.875","0.9","0.0428571428571429","0.0526315789473684","0.1","0.160493827160494","0.17147619047619","100","rural","poor_npl1"
"8","35","0.347826086956522","0.391183574879227","0.545454545454545","0.708333333333333","0.733333333333333","0.132525690999291","0.146579710144928","0.214285714285714","0.291698717948718","0.306692307692308","100","rural","poor_npl1"
"9","40","0.227272727272727","0.259199522102748","0.4","0.566666666666667","0.6","0.236823830409357","0.253521126760563","0.333333333333333","0.428571428571429","0.441558441558442","100","rural","poor_npl1"
"10","45","0.137931034482759","0.166666666666667","0.3","0.440058823529412","0.46671875","0.366197183098592","0.381514084507042","0.474358974358974","0.567967711301045","0.591575378195096","100","rural","poor_npl1"
"11","50","0.0370039682539683","0.0475108225108225","0.153846153846154","0.272727272727273","0.291727941176471","0.513513513513513","0.537259355396928","0.626666666666667","0.716302841302841","0.733359375","100","rural","poor_npl1"
"12","55","0","0","0.1","0.206896551724138","0.22736013986014","0.608095278823127","0.628205128205128","0.705882352941177","0.790169522756587","0.805257242757243","100","rural","poor_npl1"
"13","60","0","0","0.0434782608695652","0.129032258064516","0.148148148148148","0.740231507622812","0.753623188405797","0.82235130917288","0.892358974358974","0.905405405405405","100","rural","poor_npl1"
"14","65","0","0","0.0357142857142857","0.103448275862069","0.117705882352941","0.813333333333333","0.824324324324324","0.884057971014493","0.942897384305835","0.955882352941177","100","rural","poor_npl1"
"15","70","0","0","0","0.0714285714285714","0.0833333333333333","0.863620797011208","0.873239436619718","0.924242424242424","0.971448692152918","0.973684210526316","100","rural","poor_npl1"
"16","75","0","0","0","0.0384615384615385","0.0416666666666667","0.9","0.909031100478469","0.954884667571235","0.986842105263158","0.987349585872793","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.935897435897436","0.945167427701674","0.974025974025974","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.957142857142857","0.96","0.986486486486487","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.968185550082102","0.971428571428571","0.987179487179487","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","0.985294117647059","0.985915492957746","1","1","1","100","rural","poor_npl1"
"21","5","0.983739837398374","0.984","0.992307692307692","1","1","0","0","0","0","0","500","rural","poor_npl1"
"22","10","0.954198473282443","0.957965389545649","0.976095238095238","0.9921875","0.992593954248366","0","0","0","0","0","500","rural","poor_npl1"
"23","15","0.921254662246167","0.926829268292683","0.949213952345861","0.974380521439345","0.977099236641221","0.00267361853832442","0.00272479564032698","0.0105820105820106","0.016260162601626","0.0166216528162512","500","rural","poor_npl1"
"24","20","0.893919153365718","0.9","0.928","0.954198473282443","0.96","0.00799946808510638","0.00826219857353108","0.0169734314980794","0.0261130780692521","0.0272479564032698","500","rural","poor_npl1"
"25","25","0.804511278195489","0.811431942374565","0.849624060150376","0.88695652173913","0.893939393939394","0.032520325203252","0.0357045277127244","0.048583084432141","0.0613357203751066","0.0631673451584763","500","rural","poor_npl1"
"26","30","0.696417857142857","0.704545454545455","0.752780704835499","0.795081967213115","0.806465761177136","0.0813008130081301","0.0842391304347826","0.102209944751381","0.121706026584075","0.125683441707116","500","rural","poor_npl1"
"27","35","0.484126984126984","0.492537313432836","0.544745783278728","0.606060606060606","0.6171875","0.18578945079793","0.190860215053763","0.214764012224657","0.239560072745689","0.245334564643799","500","rural","poor_npl1"
"28","40","0.343248501084322","0.3555463728191","0.407407407407407","0.459269269269269","0.469031654186521","0.302450689872","0.308501773049645","0.338666666666667","0.366864809782609","0.37173534653055","500","rural","poor_npl1"
"29","45","0.238530345800988","0.25","0.299212598425197","0.349613821138211","0.356655844155844","0.433408878743236","0.442102425876011","0.475806451612903","0.504109589041096","0.510760114061665","500","rural","poor_npl1"
"30","50","0.109465003112092","0.116782238442822","0.155105586741513","0.193798449612403","0.2","0.586772242485803","0.594666666666667","0.623670062252405","0.655084823898211","0.658539837398374","500","rural","poor_npl1"
"31","55","0.064","0.0697674418604651","0.1015625","0.132838541666667","0.14064919800885","0.673833699332388","0.680326820678378","0.708446866485014","0.735849056603774","0.74133562005277","500","rural","poor_npl1"
"32","60","0.0238048368953881","0.0291970802919708","0.0514705882352941","0.0737856709168184","0.0781560019841269","0.796295055108728","0.801089918256131","0.825440794969881","0.848008376963351","0.853024435124957","500","rural","poor_npl1"
"33","65","0.0149253731343284","0.015748031496063","0.037037037037037","0.0555777777777778","0.0597014925373134","0.861099726775956","0.863988010899183","0.884408602150538","0.903853846153846","0.908602501473932","500","rural","poor_npl1"
"34","70","0","0.00740200054068667","0.0163934426229508","0.032","0.0336205668708161","0.903846153846154","0.906073741759589","0.923287671232877","0.939898899659028","0.942625085382514","500","rural","poor_npl1"
"35","75","0","0","0","0.00833333333333333","0.00847638707808199","0.935135135135135","0.937491485013624","0.951086956521739","0.96448571343488","0.96730467361687","500","rural","poor_npl1"
"36","80","0","0","0","0","0","0.962962962962963","0.965049053705475","0.975274725274725","0.984002127659574","0.986449864498645","500","rural","poor_npl1"
"37","85","0","0","0","0","0","0.975998395721925","0.977900552486188","0.984189695875573","0.992","0.994609526707823","500","rural","poor_npl1"
"38","90","0","0","0","0","0","0.983097397947004","0.983695652173913","0.989319073083779","0.994778067885117","0.997304763353911","500","rural","poor_npl1"
"39","95","0","0","0","0","0","0.994490358126722","0.994534770566659","0.997311827956989","1","1","500","rural","poor_npl1"
"40","5","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"41","10","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"42","15","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"43","20","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"44","25","1","1","1","1","1","0","0","0","0","0","100","urban","poor_npl1"
"45","30","1","1","1","1","1","0","0","0","0.0108695652173913","0.010989010989011","100","urban","poor_npl1"
"46","35","0.8325","0.857142857142857","1","1","1","0","0","0","0.0112359550561798","0.0212765957446809","100","urban","poor_npl1"
"47","40","0.666666666666667","0.75","1","1","1","0","0","0","0.021505376344086","0.021978021978022","100","urban","poor_npl1"
"48","45","0.666666666666667","0.713571428571429","0.916666666666667","1","1","0","0","0.010752688172043","0.032258064516129","0.032967032967033","100","urban","poor_npl1"
"49","50","0.4","0.5","0.8","1","1","0","0.0104166666666667","0.0319148936170213","0.0618556701030928","0.0645161290322581","100","urban","poor_npl1"
"50","55","0.4","0.5","0.777777777777778","1","1","0.0108695652173913","0.0208333333333333","0.0515463917525773","0.0851521390986044","0.0947368421052632","100","urban","poor_npl1"
"51","60","0.25","0.333333333333333","0.666666666666667","1","1","0.0214996568291009","0.03125","0.0645161290322581","0.10752688172043","0.115820268756999","100","urban","poor_npl1"
"52","65","0.166666666666667","0.25","0.571428571428571","0.857142857142857","1","0.0624838917525773","0.06589823220258","0.117021276595745","0.168539325842697","0.17780701754386","100","urban","poor_npl1"
"53","70","0","0.142857142857143","0.444444444444444","0.75","0.833333333333333","0.114583333333333","0.126315789473684","0.1875","0.25","0.263157894736842","100","urban","poor_npl1"
"54","75","0","0.111111111111111","0.4","0.714285714285714","0.8","0.199947916666667","0.216494845360825","0.29190074906367","0.369565217391304","0.382022471910112","100","urban","poor_npl1"
"55","80","0","0","0.25","0.571428571428571","0.666666666666667","0.314554073033708","0.329891423557798","0.410526315789474","0.48936170212766","0.5","100","urban","poor_npl1"
"56","85","0","0","0.1","0.333333333333333","0.375","0.542553191489362","0.56043956043956","0.635416666666667","0.712841945288754","0.726315789473684","100","urban","poor_npl1"
"57","90","0","0","0","0.25","0.333333333333333","0.702047586364676","0.712765957446808","0.776595744680851","0.840425531914894","0.851103023516237","100","urban","poor_npl1"
"58","95","0","0","0","0","0","0.884210526315789","0.89247311827957","0.935483870967742","0.96875","0.978494623655914","100","urban","poor_npl1"
"59","5","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"60","10","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"61","15","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"62","20","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"63","25","1","1","1","1","1","0","0","0","0","0","500","urban","poor_npl1"
"64","30","1","1","1","1","1","0","0","0.00214132762312634","0.00215982721382289","0.00215982721382289","500","urban","poor_npl1"
"65","35","0.966666666666667","0.966666666666667","0.970588235294118","1","1","0","0.00212765957446809","0.00427350427350427","0.00431034482758621","0.00431965442764579","500","urban","poor_npl1"
"66","40","0.9","0.903225806451613","0.916666666666667","0.96875","0.970588235294118","0.00213675213675214","0.00214592274678112","0.00639658848614072","0.00646551724137931","0.00647948164146868","500","urban","poor_npl1"
"67","45","0.870967741935484","0.875","0.896551724137931","0.941176470588235","0.946371371371371","0.00852878464818763","0.00858369098712446","0.012847965738758","0.0150537634408602","0.0150862068965517","500","urban","poor_npl1"
"68","50","0.724137931034483","0.733333333333333","0.774193548387097","0.828571428571429","0.84375","0.0256410256410256","0.0258620689655172","0.032258064516129","0.0366379310344828","0.0384635974304069","500","urban","poor_npl1"
"69","55","0.696969696969697","0.705882352941177","0.75","0.806451612903226","0.818262987012987","0.0429184549356223","0.0444361465495055","0.0495689655172414","0.0559139784946237","0.0576953961456103","500","urban","poor_npl1"
"70","60","0.588235294117647","0.59375","0.647058823529412","0.705882352941177","0.71875","0.0579399141630901","0.0594103664728146","0.0663811563169165","0.0731182795698925","0.0746268656716418","500","urban","poor_npl1"
"71","65","0.483870967741935","0.5","0.548387096774194","0.612903225806452","0.625","0.104689716312057","0.106826216900844","0.116379310344828","0.125799573560768","0.127429805615551","500","urban","poor_npl1"
"72","70","0.375","0.388799283154122","0.451612903225806","0.5","0.516129032258065","0.17025747432135","0.1727078891258","0.184549356223176","0.196120689655172","0.198304489585396","500","urban","poor_npl1"
"73","75","0.323529411764706","0.333333333333333","0.4","0.457142857142857","0.46875","0.27250767722362","0.275268817204301","0.289079229122056","0.302781567344874","0.305376344086021","500","urban","poor_npl1"
"74","80","0.181818181818182","0.194399641577061","0.25","0.3","0.3125","0.390557939914163","0.393162393162393","0.407725321888412","0.423326133909287","0.426439232409382","500","urban","poor_npl1"
"75","85","0.0571428571428571","0.0606060606060606","0.103448275862069","0.129032258064516","0.129032258064516","0.620171673819742","0.622844827586207","0.637931034482759","0.652452025586354","0.654584221748401","500","urban","poor_npl1"
"76","90","0.0303030303030303","0.032258064516129","0.0833333333333333","0.0967741935483871","0.1","0.764066244913884","0.767241379310345","0.778969957081545","0.792291220556745","0.795258620689655","500","urban","poor_npl1"
"77","95","0","0","0","0","0","0.924892703862661","0.926724137931034","0.933476394849785","0.941810344827586","0.943844492440605","500","urban","poor_npl1"
"78","5","0.9375","0.947368421052632","1","1","1","0","0","0","0","0","100","full","poor_npl1"
"79","10","0.888888888888889","0.91304347826087","1","1","1","0","0","0","0","0","100","full","poor_npl1"
"80","15","0.846153846153846","0.869565217391304","0.954545454545455","1","1","0","0","0","0.0246913580246914","0.025974025974026","100","full","poor_npl1"
"81","20","0.818181818181818","0.839666666666667","0.944444444444444","1","1","0","0","0.0119047619047619","0.0352941176470588","0.0375","100","full","poor_npl1"
"82","25","0.722222222222222","0.739130434782609","0.875","1","1","0","0","0.0256410256410256","0.0625","0.0714285714285714","100","full","poor_npl1"
"83","30","0.599772727272727","0.619047619047619","0.789473684210526","0.9375","0.954545454545455","0.0120481927710843","0.0229885057471264","0.0602409638554217","0.106666666666667","0.119047619047619","100","full","poor_npl1"
"84","35","0.38452380952381","0.411764705882353","0.6","0.789999999999999","0.826086956521739","0.0609756097560976","0.0731266529532765","0.125","0.1875","0.202384719710669","100","full","poor_npl1"
"85","40","0.260597826086957","0.294117647058824","0.470588235294118","0.666666666666667","0.6925","0.119047619047619","0.132530120481928","0.197674418604651","0.271437389770723","0.287541415662651","100","full","poor_npl1"
"86","45","0.176470588235294","0.2","0.368421052631579","0.55","0.583333333333333","0.188159041394336","0.206792687993353","0.280487804878049","0.362556818181818","0.375036764705882","100","full","poor_npl1"
