"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.739073226544622","0.761809523809524","0.878787878787879","0.962962962962963","1","0","0.0119047619047619","0.0379746835443038","0.075998052580331","0.083362676056338","100","rural","poor_npl1"
"3","10","0.739073226544622","0.761809523809524","0.878787878787879","0.962962962962963","1","0","0.0119047619047619","0.0379746835443038","0.075998052580331","0.083362676056338","100","rural","poor_npl1"
"4","15","0.428434065934066","0.458333333333333","0.6","0.75","0.781283967391304","0.124915540540541","0.137474315068493","0.208333333333333","0.287671232876712","0.302641547049442","100","rural","poor_npl1"
"5","20","0.307692307692308","0.333333333333333","0.5","0.653846153846154","0.689805097451274","0.175675675675676","0.188360507246377","0.266666666666667","0.356213307240704","0.371794871794872","100","rural","poor_npl1"
"6","25","0.307692307692308","0.333333333333333","0.5","0.652173913043478","0.681818181818182","0.189169604386996","0.2","0.28","0.36986301369863","0.383561643835616","100","rural","poor_npl1"
"7","30","0.0740740740740741","0.0909090909090909","0.206896551724138","0.333333333333333","0.370486111111111","0.436601661249549","0.4558730454207","0.545454545454545","0.634195781147001","0.648666198666199","100","rural","poor_npl1"
"8","35","0.0344827586206897","0.0415833333333333","0.148148148148148","0.269230769230769","0.294117647058824","0.51946819003781","0.539473684210526","0.623376623376623","0.712131589871316","0.726058530510585","100","rural","poor_npl1"
"9","40","0","0","0.0794736842105263","0.181818181818182","0.2","0.610332572832573","0.626430722891566","0.709723626558814","0.791666666666667","0.807705479452055","100","rural","poor_npl1"
"10","45","0","0","0","0.0833333333333333","0.0937872023809524","0.771373626373626","0.782608695652174","0.845070422535211","0.909149184149184","0.918918918918919","100","rural","poor_npl1"
"11","50","0","0","0","0","0","0.820486111111111","0.833333333333333","0.89041095890411","0.943701095461659","0.95","100","rural","poor_npl1"
"12","55","0","0","0","0","0","0.851336224283985","0.863605230386052","0.917808219178082","0.961038961038961","0.972611995557201","100","rural","poor_npl1"
"13","60","0","0","0","0","0","0.886075949367089","0.896103896103896","0.945205479452055","0.985294117647059","0.986666666666667","100","rural","poor_npl1"
"14","65","0","0","0","0","0","0.959459459459459","0.9625","0.986842105263158","1","1","100","rural","poor_npl1"
"15","70","0","0","0","0","0","0.959459459459459","0.96969696969697","0.987012987012987","1","1","100","rural","poor_npl1"
"16","75","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"17","80","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","1","1","1","1","1","100","rural","poor_npl1"
"21","5","0.829036458333333","0.837159182036889","0.875","0.909090909090909","0.915400763358779","0.0222841225626741","0.0248482927271081","0.0372340425531915","0.0489130434782609","0.0514905149051491","500","rural","poor_npl1"
"22","10","0.829036458333333","0.837159182036889","0.875","0.909090909090909","0.915400763358779","0.0222841225626741","0.0248482927271081","0.0372340425531915","0.0489130434782609","0.0514905149051491","500","rural","poor_npl1"
"23","15","0.546066211495713","0.556451612903226","0.607846153846154","0.661163689682751","0.671878125","0.1783618897412","0.182582040306759","0.209239130434783","0.234501347708895","0.239562764192238","500","rural","poor_npl1"
"24","20","0.439393939393939","0.448","0.5","0.555597326649958","0.566182897984369","0.232685314115573","0.237967535713745","0.26648714082751","0.292682926829268","0.29811008392342","500","rural","poor_npl1"
"25","25","0.436501278363694","0.44360599078341","0.496240601503759","0.553038362346873","0.560664983164983","0.245900507200435","0.251336191042073","0.280323450134771","0.307065217391304","0.313166785206259","500","rural","poor_npl1"
"26","30","0.156237192622951","0.16541057367829","0.2109375","0.256436965811966","0.264011570247934","0.508240632318501","0.513583284371328","0.544459418987721","0.575009894459103","0.580904450009632","500","rural","poor_npl1"
"27","35","0.106870229007634","0.113636363636364","0.153846153846154","0.191683333333333","0.198348747212384","0.590415586137797","0.596727987113674","0.626180173092054","0.656049604221636","0.661205464480874","500","rural","poor_npl1"
