"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.88565770244146","10.1675815543224","4.0133409751932","100","rural","poor_npl1"
"-7.92675894017533","7.63883544011182","4.01260748595704","150","rural","poor_npl1"
"-6.52291423504547","6.54270920955685","3.89945128256075","200","rural","poor_npl1"
"-5.93003868166765","5.6770439085682","3.82355315104022","250","rural","poor_npl1"
"-5.56852248326121","4.8864134631703","3.81684685522583","300","rural","poor_npl1"
"-4.76294424975195","4.53607265599857","3.66590625744358","350","rural","poor_npl1"
"-4.01663834641587","3.94075453235751","3.88922976755465","400","rural","poor_npl1"
"-3.8905659208985","3.85341036136172","3.92009220326201","450","rural","poor_npl1"
"-3.34822971127239","3.52155816224527","3.85291826134124","500","rural","poor_npl1"
"-6.32513767825296","4.74829722897815","-0.736586731900538","100","urban","poor_npl1"
"-4.48298161388194","3.82722581667261","-0.790496874914826","150","urban","poor_npl1"
"-3.88975903972265","3.30484152778612","-0.801707616050948","200","urban","poor_npl1"
"-2.81255431748691","2.80006856399903","-0.808197124962558","250","urban","poor_npl1"
"-2.32153543825063","2.47467100693537","-0.777424957685082","300","urban","poor_npl1"
"-2.08714778133097","2.24671587546095","-0.813245048623407","350","urban","poor_npl1"
"-1.60088581721058","1.89800849826465","-0.786759497834681","400","urban","poor_npl1"
"-1.22254401984768","1.50742692295765","-0.752741889324066","450","urban","poor_npl1"
"-0.822246642286195","1.05991332888372","-0.767051157161372","500","urban","poor_npl1"
"-9.14288133749615","9.23180671358927","2.57890126774804","100","full","poor_npl1"
"-8.33324169528073","7.70372254457613","2.62163019808876","150","full","poor_npl1"
"-6.51882841993271","6.48951190693729","2.72880385475571","200","full","poor_npl1"
"-5.49201051651244","5.3870217144882","2.52100821930697","250","full","poor_npl1"
"-4.93684119931632","4.58673123552881","2.69289067330256","300","full","poor_npl1"
"-4.60668354952643","4.42829200654711","2.69224567766126","350","full","poor_npl1"
"-4.32493956272741","3.81335789186052","2.54477848907089","400","full","poor_npl1"
"-3.86854149427699","4.14525277589709","2.59465497661155","450","full","poor_npl1"
"-3.59394625627093","3.40875563003758","2.54975012490305","500","full","poor_npl1"
