"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.923076923076923","0.9375","1","1","1","0","0","0","0.0140845070422535","0.0144927536231884","100","rural","poor_npl1"
"3","10","0.882352941176471","0.9","0.96551724137931","1","1","0","0","0","0.0273972602739726","0.0285714285714286","100","rural","poor_npl1"
"4","15","0.809478021978022","0.833333333333333","0.925925925925926","1","1","0","0","0.0136986301369863","0.0416666666666667","0.0493981481481481","100","rural","poor_npl1"
"5","20","0.736842105263158","0.761809523809524","0.875","0.964285714285714","1","0.0126542721518987","0.0133333333333333","0.05","0.0945945945945946","0.106692307692308","100","rural","poor_npl1"
"6","25","0.6","0.625","0.769230769230769","0.9","0.920076923076923","0.0384615384615385","0.0428571428571429","0.0945945945945946","0.153846153846154","0.162212585720048","100","rural","poor_npl1"
"7","30","0.454545454545455","0.481481481481481","0.64","0.777951388888889","0.81255787037037","0.103896103896104","0.118344155844156","0.184210526315789","0.253333333333333","0.271461038961039","100","rural","poor_npl1"
"8","35","0.272727272727273","0.296187363834423","0.448275862068966","0.6","0.636454545454545","0.226592105263158","0.23943661971831","0.324675324675325","0.40801282051282","0.430555555555556","100","rural","poor_npl1"
"9","40","0.125","0.148148148148148","0.28","0.432477477477477","0.454640151515151","0.338028169014085","0.354401168451801","0.445945945945946","0.535211267605634","0.555769230769231","100","rural","poor_npl1"
"10","45","0.0624080882352941","0.08","0.192307692307692","0.333333333333333","0.353046218487395","0.466666666666667","0.492269422120168","0.578947368421053","0.662162162162162","0.676056338028169","100","rural","poor_npl1"
"11","50","0","0","0.0952380952380952","0.2","0.230833333333333","0.608108108108108","0.623376623376623","0.712328767123288","0.794520547945205","0.805555555555556","100","rural","poor_npl1"
"12","55","0","0","0.0454545454545455","0.136363636363636","0.15","0.692307692307692","0.708860759493671","0.784615384615385","0.859154929577465","0.870162337662338","100","rural","poor_npl1"
"13","60","0","0","0","0.0740740740740741","0.0869565217391304","0.802631578947368","0.813333333333333","0.873417721518987","0.930603120243531","0.936766748996604","100","rural","poor_npl1"
"14","65","0","0","0","0.0714285714285714","0.08","0.851317567567567","0.8625","0.92","0.961038961038961","0.9701708847069","100","rural","poor_npl1"
"15","70","0","0","0","0.0476190476190476","0.052704678362573","0.9","0.907894736842105","0.948717948717949","0.986310625694187","0.9875","100","rural","poor_npl1"
"16","75","0","0","0","0.0344827586206897","0.0416666666666667","0.913553240740741","0.921031746031746","0.96","0.987341772151899","1","100","rural","poor_npl1"
