"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-9.96135881854014","10.2077898736844","2.23015483539017","100","rural","poor_npl1"
"-8.28341555734479","7.49817101446737","2.30174785580369","150","rural","poor_npl1"
"-6.73822325351884","6.59585139305988","1.89567080410869","200","rural","poor_npl1"
"-6.02183719422532","5.82912430079114","1.98746097279783","250","rural","poor_npl1"
"-5.32444165163293","4.91033827313752","2.05806306164495","300","rural","poor_npl1"
"-4.72832544548234","4.10932954299901","2.0435879119361","350","rural","poor_npl1"
"-4.63837753008783","4.61094706090551","2.1081725525424","400","rural","poor_npl1"
"-3.68150693476297","3.62261546774663","2.18108135696107","450","rural","poor_npl1"
"-3.15309257358716","3.40882125658021","2.10327215576518","500","rural","poor_npl1"
"-6.50939407501471","5.04983143725739","0.543144003358476","100","urban","poor_npl1"
"-4.6150790187222","3.99680866830432","0.838902349370214","150","urban","poor_npl1"
"-3.71183912878311","3.41707972349948","0.714000415784659","200","urban","poor_npl1"
"-2.96027737606899","2.89948763785729","0.726469547352934","250","urban","poor_npl1"
"-2.60911978367805","2.58976124718367","0.67943156803576","300","urban","poor_npl1"
"-2.14468274805925","2.13570480137428","0.693025378941561","350","urban","poor_npl1"
"-1.63406672691387","1.75544098516013","0.657639542986594","400","urban","poor_npl1"
"-1.30083025450896","1.62739858937408","0.747095262022907","450","urban","poor_npl1"
"-0.957247221423689","1.28712996289363","0.67120094748937","500","urban","poor_npl1"
"-9.8288526266377","8.72242609090796","1.84702229560479","100","full","poor_npl1"
"-7.82035409099989","7.20770329614686","1.59132411012646","150","full","poor_npl1"
"-6.84514896579456","6.21858646942328","1.85344910314652","200","full","poor_npl1"
"-6.44030319634416","5.75839067777993","1.68077482247991","250","full","poor_npl1"
"-5.24692707806681","4.82237088904264","1.57539795529575","300","full","poor_npl1"
"-4.47313673262122","4.49106104729359","1.71078619193117","350","full","poor_npl1"
"-4.421533724533","4.0703289293547","1.71463979895891","400","full","poor_npl1"
"-4.0673631857981","3.81982766957902","1.65086737978183","450","full","poor_npl1"
"-3.93164407398995","3.30690883000367","1.73670889958288","500","full","poor_npl1"
"-5.05004348473206","3.71397024483821","1.43905364117836","100","rural","poor_npl2"
"-3.73872143306165","3.13514837318011","1.40638707805589","150","rural","poor_npl2"
"-3.17862896231964","2.58482861608642","1.36995797746639","200","rural","poor_npl2"
"-2.7331251898141","2.44419611793243","1.39697563465648","250","rural","poor_npl2"
"-2.29893079350055","2.1610570754459","1.3843237270764","300","rural","poor_npl2"
"-2.02436996863422","1.97028222504563","1.42955293985564","350","rural","poor_npl2"
"-1.90638798875996","1.69675691707625","1.4000131162974","400","rural","poor_npl2"
"-1.63787394545209","1.60648181712176","1.44121103550492","450","rural","poor_npl2"
"-1.53077139371766","1.31176166913001","1.42798996753567","500","rural","poor_npl2"
"-2.75940471756456","1.62554557949456","-0.604986856789715","100","urban","poor_npl2"
"-2.01268682112569","1.42388881928258","-0.473492413191547","150","urban","poor_npl2"
"-1.56499519079115","1.35620512679067","-0.516395099463232","200","urban","poor_npl2"
"-1.327274632509","1.19145470991147","-0.542750558491119","250","urban","poor_npl2"
