"","stable_coef_names","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1","consumed181",11,13,6,0,17,12,7,0,0,1,0,1,15,7,0,10,8,2,0
"2","consumed201",17,19,14,17,23,16,15,11,8,10,13,11,15,14,10,21,14,17,11
"3","hh_cook1",2,2,3,3,9,0,2,13,22,22,25,24,2,6,14,3,5,3,16
"4","hh_light1",8,15,7,9,10,10,7,6,8,7,0,2,7,9,7,11,9,8,3
"5","hh_roof1",1,5,4,1,4,3,2,1,0,0,4,6,5,0,1,2,1,1,0
"6","hh_size1",39,34,27,26,27,35,28,29,22,19,16,12,37,31,24,33,28,28,24
"7","hh_size2",15,19,10,5,15,14,11,8,4,12,15,16,22,12,0,10,11,7,0
"8","hh_toilet1",0,5,0,2,3,0,0,0,3,4,6,6,0,1,0,0,0,2,0
"9","hhead_maxgrade1",18,0,14,12,3,11,16,14,17,17,21,21,11,13,16,14,15,13,19
"10","hmany311",0,2,1,1,3,4,1,2,4,7,11,14,2,0,2,3,1,0,1
"11","purchased071",4,4,23,29,0,8,23,23,16,12,3,0,7,19,26,3,20,26,26
