"","cutoff","2.5%_excl","5%_excl","50%_excl","95%_excl","97.5%_excl","2.5%_incl","5%_incl","50%_incl","95%_incl","97.5%_incl","obs","zone","povline"
"2","5","0.912944664031621","0.925925925925926","1","1","1","0","0","0","0.0138888888888889","0.0142857142857143","100","rural","poor_npl1"
"3","10","0.885686813186813","0.904761904761905","0.96551724137931","1","1","0","0","0","0.0147058823529412","0.0266666666666667","100","rural","poor_npl1"
"4","15","0.8","0.827511244377811","0.928571428571429","1","1","0","0","0.0266666666666667","0.0563782696177062","0.0666666666666667","100","rural","poor_npl1"
"5","20","0.718638392857143","0.75719696969697","0.875","0.960076923076923","0.96875","0.0138888888888889","0.025","0.0579710144927536","0.107713097713098","0.116883116883117","100","rural","poor_npl1"
"6","25","0.666666666666667","0.695652173913043","0.826086956521739","0.928694581280788","0.952435064935065","0.0399868421052632","0.05","0.0945945945945946","0.152777777777778","0.162547089041096","100","rural","poor_npl1"
"7","30","0.461458333333333","0.483870967741935","0.647058823529412","0.8","0.826124437781109","0.101449275362319","0.112676056338028","0.176842889054356","0.246915584415584","0.26027397260274","100","rural","poor_npl1"
"8","35","0.318039772727273","0.346153846153846","0.5","0.645161290322581","0.68","0.186666666666667","0.2","0.275","0.359025641025641","0.373375","100","rural","poor_npl1"
"9","40","0.21047149122807","0.239904761904762","0.387096774193548","0.538621794871795","0.583333333333333","0.273909001956947","0.285714285714286","0.36986301369863","0.457142857142857","0.474471830985915","100","rural","poor_npl1"
"10","45","0.0909090909090909","0.111111111111111","0.230769230769231","0.368421052631579","0.392857142857143","0.4","0.418918918918919","0.507246376811594","0.595040619686378","0.614285714285714","100","rural","poor_npl1"
"11","50","0.0370039682539683","0.0454545454545455","0.153846153846154","0.285714285714286","0.312642045454545","0.51469537815126","0.533333333333333","0.620950888192268","0.706717948717949","0.722222222222222","100","rural","poor_npl1"
"12","55","0","0","0.0857142857142857","0.187648809523809","0.210526315789474","0.633802816901408","0.653305555555555","0.733333333333333","0.815789473684211","0.831168831168831","100","rural","poor_npl1"
"13","60","0","0","0.0333333333333333","0.103448275862069","0.12","0.763805751173709","0.774982394366197","0.842857142857143","0.906728070175438","0.918918918918919","100","rural","poor_npl1"
"14","65","0","0","0","0.0714285714285714","0.0833333333333333","0.808808420628525","0.824324324324324","0.885714285714286","0.941260504201681","0.945963963963964","100","rural","poor_npl1"
"15","70","0","0","0","0.0714285714285714","0.0833333333333333","0.846153846153846","0.857142857142857","0.91304347826087","0.958361872146119","0.96974025974026","100","rural","poor_npl1"
"16","75","0","0","0","0","0","0.896103896103896","0.906666666666667","0.948717948717949","0.986301369863014","0.987341772151899","100","rural","poor_npl1"
"17","80","0","0","0","0","0","0.927509590792839","0.933333333333333","0.971428571428571","1","1","100","rural","poor_npl1"
"18","85","0","0","0","0","0","0.946666666666667","0.953059111445783","0.985714285714286","1","1","100","rural","poor_npl1"
"19","90","0","0","0","0","0","0.958904109589041","0.962025316455696","0.986842105263158","1","1","100","rural","poor_npl1"
"20","95","0","0","0","0","0","0.970577260755048","0.972222222222222","1","1","1","100","rural","poor_npl1"
"21","5","0.960629921259842","0.962106754568587","0.977443609022556","0.992481203007519","0.99280704008222","0","0","0.00268817204301075","0.00544959128065395","0.00550964187327824","500","rural","poor_npl1"
"22","10","0.945309824486301","0.948269476372925","0.968503937007874","0.985185185185185","0.992","0","0","0.00533333333333333","0.00837988826815642","0.0106951871657754","500","rural","poor_npl1"
"23","15","0.890493937894346","0.895817786069652","0.924812030075188","0.953488372093023","0.959024723443956","0.0136976944382065","0.0162118570183086","0.0266666666666667","0.0362167566642287","0.0385605883561013","500","rural","poor_npl1"
"24","20","0.822018765133172","0.828125","0.866666666666667","0.900826446280992","0.909109538002981","0.0422498146775389","0.0454545454545455","0.0604395604395604","0.0752716101103198","0.0775453040099783","500","rural","poor_npl1"
"25","25","0.770979852333876","0.777777777777778","0.820228192446043","0.860485338725986","0.868232939382387","0.0734411554070184","0.0762942779291553","0.0956284153005464","0.113585793752674","0.117021276595745","500","rural","poor_npl1"
